frame,res,X,Y
1,[[0.05000591 0.3527342 ]],1929,-166
2,[[0.04772275 0.16988368]],1307,-204
3,[[0.00578248 0.13635872]],1192,-78
4,[[0.01097927 0.14256436]],1217,-91
5,[[0.03210838 0.15959825]],1270,-157
6,[[0.05355037 0.192844  ]],1383,-221
7,[[0.03897317 0.24027583]],1539,-175
8,[[0.0531893 0.261416 ]],1614,-209
9,[[0.08290681 0.23541662]],1538,-311
10,[[0.08295038 0.24281323]],1563,-305
11,[[0.07607758 0.1979242 ]],1412,-294
12,[[0.04123043 0.23676199]],1525,-173
13,[[0.01674183 0.13892384]],1212,-106
14,[[0.06925696 0.12009229]],1172,-283
15,[[0.03680445 0.17163113]],1319,-168
16,[[0.06932814 0.21437246]],1475,-255
17,[[0.07364634 0.19141012]],1399,-278
18,[[-0.0103921   0.19523537]],1382,-14
19,[[0.0012302  0.13183074]],1178,-50
20,[[0.00053855 0.16960968]],1298,-48
21,[[-0.0025359   0.19584316]],1391,-32
22,[[0.01952842 0.1518963 ]],1249,-109
23,[[0.0884705  0.20320751]],1440,-331
24,[[0.07471072 0.12140349]],1171,-295
25,[[0.06238476 0.1710894 ]],1322,-249
26,[[0.03942594 0.12667555]],1176,-177
27,[[0.08401448 0.12535319]],1181,-325
28,[[0.06064979 0.14925946]],1250,-248
29,[[0.01572909 0.10330161]],1091,-114
30,[[-0.03033374  0.14960161]],1216,44
31,[[-0.04724317  0.19151765]],1360,97
32,[[-0.07010422  0.1438714 ]],1198,171
33,[[-0.03011625  0.11544087]],1124,39
34,[[-0.05681016  0.11635956]],1119,114
35,[[-0.09614768  0.08610956]],1016,239
36,[[-0.08793957  0.11154597]],1096,209
37,[[0.01019109 0.19844306]],1400,-76
38,[[-0.02016093  0.18519787]],1350,23
39,[[-0.03823866  0.21295448]],1433,83
40,[[-0.00319401  0.18294734]],1344,-38
41,[[-0.01634031  0.18076268]],1330,4
42,[[-0.04687243  0.18626902]],1338,105
43,[[-0.1196987   0.23191683]],1450,338
44,[[-0.0343458   0.17886472]],1318,52
45,[[-0.10444011  0.21475801]],1412,286
46,[[-0.02940822  0.27815875]],1657,59
47,[[-0.03766508  0.2182681 ]],1447,88
48,[[-0.06699521  0.21120828]],1413,166
49,[[-0.11658491  0.21849686]],1421,338
50,[[-0.09818279  0.2111963 ]],1404,259
51,[[-0.16772395  0.19510505]],1328,471
52,[[-0.18668552  0.21131013]],1375,538
53,[[-0.1568805   0.23457494]],1461,464
54,[[-0.1888937   0.19086096]],1314,534
55,[[-0.19349872  0.2105583 ]],1379,556
56,[[-0.16981912  0.16877687]],1247,473
57,[[-0.14292966  0.21001643]],1389,412
58,[[-0.16308261  0.17620742]],1283,452
59,[[-0.16245438  0.18372186]],1302,458
60,[[-0.14758304  0.19187498]],1326,407
61,[[-0.08768086  0.3944136 ]],2027,292
62,[[-0.07436154  0.27318722]],1614,200
63,[[-0.04597346  0.3108916 ]],1758,136
64,[[-0.05497015  0.2293262 ]],1473,119
65,[[-0.02856172  0.21878159]],1445,31
66,[[-0.04502265  0.24592392]],1540,116
67,[[-0.04456455  0.34009835]],1859,115
68,[[-0.06540352  0.31753564]],1766,183
69,[[-0.05569801  0.2394802 ]],1514,124
70,[[-0.0324893   0.24640733]],1540,51
71,[[-0.0674943   0.27574974]],1622,184
72,[[-0.01681181  0.18839774]],1353,-3
73,[[-0.10692674  0.1806603 ]],1303,278
74,[[-0.08640677  0.26057678]],1574,235
75,[[-0.08276371  0.22107647]],1440,214
76,[[-0.11496772  0.15962301]],1246,295
77,[[-0.11054689  0.17716105]],1290,285
78,[[-0.11228959  0.24985304]],1526,330
79,[[-0.0821835   0.23057091]],1461,232
80,[[-0.06563663  0.20737046]],1407,159
81,[[0.02271218 0.19483711]],1388,-117
82,[[0.02592283 0.17126516]],1302,-138
83,[[0.01390235 0.19467828]],1367,-91
84,[[-0.01398517  0.21308859]],1440,5
85,[[-0.10403224  0.27384382]],1606,289
86,[[-0.02008202  0.30665383]],1744,34
87,[[-0.03220084  0.2648129 ]],1603,76
88,[[-0.03281176  0.2684004 ]],1605,81
89,[[-0.05091716  0.23571211]],1501,132
90,[[-0.11068828  0.20466356]],1362,303
91,[[0.00678364 0.15180317]],1243,-80
92,[[-0.04323064  0.13955984]],1193,84
93,[[-0.00468234  0.12120923]],1144,-38
94,[[-0.00713994  0.16048521]],1265,-23
95,[[0.0039975  0.14847122]],1237,-63
96,[[0.00177214 0.20023543]],1404,-48
97,[[-0.0483517   0.30123428]],1720,127
98,[[-0.04215136  0.19834588]],1368,72
99,[[-0.00228419  0.26306295]],1601,-21
100,[[-0.00921605  0.22567025]],1484,-8
101,[[-0.08332035  0.28231794]],1649,246
102,[[-0.00498404  0.29567468]],1714,-21
103,[[-0.05153997  0.35812125]],1899,151
104,[[0.0430454  0.25785577]],1597,-180
105,[[0.01454036 0.31667137]],1780,-66
106,[[0.07421239 0.21469294]],1458,-288
107,[[0.05512311 0.22323915]],1488,-224
108,[[-0.01483463  0.23039949]],1497,-3
109,[[-0.0036668   0.20235412]],1404,-44
110,[[0.04360904 0.14657487]],1230,-198
111,[[0.01587037 0.1768641 ]],1325,-106
112,[[0.03000011 0.14374274]],1221,-156
113,[[0.05695572 0.23691183]],1536,-219
114,[[-0.04621195  0.10097909]],1079,74
115,[[-0.45053712  0.08346052]],930,1409
116,[[-0.5008711   0.01646515]],736,1570
117,[[-0.45092294  0.09392793]],956,1412
118,[[-0.2518497  -0.04314969]],606,707
