frame,res,X,Y
1,[[0.14962661 0.29501578]],1468,-444
2,[[0.12359928 0.34945393]],1636,-386
3,[[0.11526284 0.3358811 ]],1591,-359
4,[[0.13504304 0.2790733 ]],1426,-406
5,[[-0.38424253  0.25634426]],1286,1114
6,[[-0.666073  -0.5836786]],-1131,2164
7,[[-0.5276002   0.46793705]],1887,1730
8,[[-0.08084872  0.3666314 ]],1669,208
9,[[-0.02799884  0.5416231 ]],2255,60
10,[[0.05782317 0.48442087]],2073,-198
11,[[0.06147476 0.47330344]],2023,-195
12,[[0.06319673 0.45883983]],1982,-210
13,[[0.11227837 0.291423  ]],1446,-348
14,[[0.09709845 0.3006497 ]],1477,-302
15,[[0.12173744 0.29156396]],1448,-375
16,[[0.12293701 0.29458022]],1460,-377
17,[[0.11627558 0.2812262 ]],1416,-358
18,[[0.12505266 0.2357877 ]],1290,-379
19,[[0.08948158 0.267882  ]],1376,-276
20,[[0.10282791 0.30680263]],1497,-319
21,[[0.11837287 0.26220733]],1362,-358
22,[[0.10634565 0.27274832]],1393,-328
23,[[0.13698654 0.2541889 ]],1352,-412
24,[[0.09293775 0.24343215]],1307,-289
25,[[0.1251044  0.29675782]],1472,-384
26,[[0.14794414 0.32755774]],1563,-454
27,[[0.16016683 0.3259646 ]],1564,-490
28,[[0.1620373  0.30914274]],1508,-489
29,[[0.16565162 0.3085789 ]],1518,-502
30,[[0.1486012  0.29572174]],1475,-444
31,[[0.1443421  0.29510072]],1467,-441
32,[[0.156688   0.24236195]],1322,-464
33,[[0.14531699 0.3128006 ]],1521,-447
34,[[0.13810313 0.32145518]],1556,-423
35,[[0.14586666 0.29578727]],1475,-436
36,[[0.14110485 0.2713222 ]],1399,-421
37,[[0.15978971 0.3353792 ]],1593,-490
38,[[0.18966553 0.33787203]],1612,-576
39,[[0.14689258 0.3250841 ]],1555,-451
40,[[0.15953557 0.33942914]],1602,-491
41,[[0.12931812 0.40856975]],1820,-407
42,[[0.11240767 0.39579052]],1774,-357
43,[[0.10352441 0.37184185]],1692,-327
44,[[0.09308428 0.35142088]],1627,-295
45,[[0.08250336 0.36849296]],1678,-268
46,[[0.09012403 0.3584752 ]],1648,-286
47,[[0.09047223 0.3440227 ]],1608,-285
48,[[0.09675495 0.39306158]],1760,-312
49,[[0.07913565 0.33042878]],1560,-253
50,[[0.10437828 0.34368613]],1609,-326
51,[[0.11050263 0.32430738]],1551,-342
52,[[0.10772939 0.28692394]],1441,-325
53,[[0.12458457 0.2781919 ]],1419,-373
54,[[0.10909449 0.30379564]],1489,-337
55,[[0.11633874 0.26205635]],1359,-351
56,[[0.10071889 0.3006053 ]],1478,-313
57,[[0.21263622 0.32111314]],1561,-640
58,[[0.2751291 0.2902049]],1483,-831
59,[[0.27923733 0.27351218]],1441,-831
60,[[0.25236756 0.2852273 ]],1465,-748
61,[[-0.24874353  0.5233708 ]],2119,745
62,[[-0.24521574  0.55145913]],2230,754
63,[[-0.19001475  0.5041714 ]],2078,572
64,[[-0.19832125  0.46390864]],1924,562
65,[[-0.20711994  0.5539129 ]],2244,644
66,[[-0.1785538   0.55813956]],2269,559
67,[[-0.18724969  0.60234714]],2449,611
68,[[-0.18912789  0.64639556]],2606,634
69,[[-0.1592842   0.52175343]],2139,484
70,[[-0.10270135  0.5682773 ]],2327,324
71,[[-0.04925192  0.5173671 ]],2145,146
72,[[-0.12548354  0.5064072 ]],2088,376
73,[[-0.20275697  0.5676019 ]],2286,638
74,[[-0.1999267   0.53777206]],2177,614
75,[[-0.21360752  0.55765957]],2251,668
76,[[-0.20289648  0.5648197 ]],2271,645
77,[[-0.20356509  0.53872126]],2177,636
78,[[-0.19384693  0.5221471 ]],2133,590
79,[[-0.15336287  0.5337858 ]],2171,479
80,[[-0.13903783  0.46725255]],1947,420
81,[[-0.16805948  0.4476079 ]],1875,504
82,[[-0.17503113  0.43909132]],1845,521
83,[[-0.1938702   0.44616443]],1862,574
84,[[-0.20577562  0.44866   ]],1868,601
85,[[-0.21616827  0.522637  ]],2116,678
86,[[-0.2255926   0.47621834]],1969,669
87,[[-0.20439713  0.47030157]],1945,603
88,[[-0.17666486  0.48948723]],2013,531
89,[[-0.1985965   0.45356476]],1892,585
90,[[-0.16330977  0.44475123]],1872,472
91,[[-0.14374185  0.40522435]],1751,408
92,[[-0.15366429  0.42362604]],1816,442
93,[[-0.17511402  0.43187597]],1828,508
94,[[-0.12265563  0.387905  ]],1701,338
95,[[-0.11506954  0.41963217]],1804,329
96,[[-0.13204306  0.4335007 ]],1851,376
97,[[-0.11985645  0.49602884]],2056,366
98,[[-0.13292918  0.4682945 ]],1957,393
99,[[-0.1460856   0.51827013]],2141,457
100,[[-0.13672273  0.47915095]],1999,407
101,[[-0.176101   0.5447735]],2207,567
102,[[-0.14732115  0.52619666]],2150,470
103,[[-0.17563404  0.49755388]],2051,531
104,[[-0.17472222  0.502911  ]],2073,531
105,[[-0.17654486  0.5259166 ]],2150,546
106,[[-0.2198529   0.55077434]],2227,693
107,[[-0.21153708  0.58511347]],2368,690
108,[[-0.2104707   0.56241834]],2266,673
109,[[-0.2065933   0.87887174]],3819,957
110,[[-0.27813238  0.91172343]],3995,1277
111,[[-0.24045473  0.95531416]],4360,1182
112,[[-0.1627905   0.87982804]],3847,737
113,[[-0.20008315  0.9006901 ]],3980,915
114,[[-0.18342373  0.90867794]],4056,858
115,[[-0.1584426  0.8687389]],3787,708
116,[[-0.20901762  0.92216974]],4129,984
117,[[-0.18143655  0.85299736]],3667,770
118,[[-0.14089707  0.9002484 ]],4017,703
119,[[-0.1543036   0.90718573]],4057,757
120,[[-0.16380358  0.9524353 ]],4380,868
121,[[-0.11202342  0.78198534]],3276,449
122,[[-0.11646213  0.8140887 ]],3469,505
123,[[-0.16048397  0.8039532 ]],3394,656
124,[[-0.08351292  0.7826332 ]],3258,397
125,[[-0.10435501  0.80883116]],3452,473
126,[[-0.09522641  0.8176241 ]],3510,443
127,[[-0.13115937  0.83726716]],3592,610
128,[[-0.133717   0.8234159]],3488,593
129,[[-0.1512692   0.83973074]],3592,673
130,[[-0.14647225  0.8064445 ]],3393,597
131,[[-0.06316624  0.7513828 ]],3147,266
132,[[-0.07802308  0.7896621 ]],3360,338
133,[[-0.06973941  0.79438496]],3355,296
134,[[-0.11118222  0.764312  ]],3168,449
135,[[-0.10790511  0.7657425 ]],3178,437
136,[[-0.09735624  0.8312536 ]],3565,464
137,[[-0.10936806  0.8038957 ]],3401,473
138,[[-0.03404532  0.76393557]],3218,195
139,[[-0.08081662  0.7175765 ]],2950,316
140,[[0.03299908 0.7524009 ]],3186,-58
141,[[0.03568141 0.76629853]],3258,-56
142,[[0.057723   0.79563767]],3447,-138
143,[[-0.02437719  0.7954452 ]],3407,160
144,[[0.05552597 0.77667654]],3319,-141
145,[[0.04177131 0.72817445]],3065,-92
146,[[0.04788271 0.7410449 ]],3129,-93
147,[[0.09616917 0.72434366]],3063,-274
148,[[0.06314923 0.71098435]],2976,-161
149,[[0.09691687 0.6974155 ]],2931,-274
150,[[0.07731003 0.70937324]],2987,-213
151,[[0.08143613 0.6732183 ]],2819,-216
152,[[0.09814717 0.68112195]],2864,-276
153,[[0.10671788 0.69616723]],2940,-309
154,[[0.10544169 0.67265624]],2829,-302
155,[[0.09661329 0.64731365]],2712,-288
156,[[0.09499387 0.6936175 ]],2922,-266
157,[[0.10867918 0.81401086]],3568,-335
158,[[0.1375212 0.8119819]],3576,-454
159,[[0.09617408 0.84466195]],3766,-286
160,[[0.11842315 0.5080675 ]],2145,-333
161,[[0.07720208 0.24880539]],1322,-230
162,[[0.12053823 0.18510282]],1155,-349
163,[[0.10952958 0.2271395 ]],1269,-323
164,[[0.03045195 0.27476117]],1390,-99
165,[[0.01771563 0.23526388]],1280,-70
166,[[-0.04222417  0.20330685]],1179,92
167,[[0.00738688 0.1759246 ]],1110,-47
168,[[-0.02570361  0.18373775]],1129,44
169,[[-0.04429185  0.08036037]],843,83
170,[[-0.06741722  0.09438086]],882,142
171,[[-0.02572142  0.03784967]],737,30
172,[[-0.02933029  0.09376642]],885,45
173,[[-0.03588035  0.02373667]],698,54
174,[[-0.04059337  0.04439063]],752,70
175,[[-0.03441785  0.04508504]],755,53
176,[[-0.02854074  0.06566754]],810,40
177,[[-0.0197809  0.0852534]],863,18
178,[[0.00955832 0.03150211]],725,-63
179,[[0.00395973 0.04776937]],767,-48
180,[[0.01015448 0.06619541]],817,-63
181,[[-0.00601467  0.08443148]],865,-19
182,[[-0.02014641  0.11545311]],946,21
183,[[0.01313178 0.08124564]],858,-69
184,[[0.00135767 0.10010596]],908,-35
185,[[0.01983659 0.10989486]],937,-83
186,[[0.00994167 0.10322485]],917,-61
187,[[0.03462639 0.10807786]],934,-127
188,[[0.03299894 0.10150149]],916,-123
189,[[0.06139447 0.12006655]],971,-199
190,[[0.06540423 0.1433527 ]],1036,-206
191,[[0.04227935 0.13803391]],1016,-146
192,[[0.01200843 0.09429316]],893,-68
193,[[-0.00986602  0.18679903]],1141,4
194,[[-0.06182941  0.15468791]],1043,140
195,[[-0.02622022  0.192288  ]],1155,49
196,[[-0.00070016  0.16292301]],1077,-26
197,[[0.01407913 0.13076825]],992,-68
198,[[-0.01798071  0.24412616]],1302,29
199,[[-0.00654368  0.21904592]],1231,-5
200,[[0.00229191 0.16058081]],1073,-35
201,[[0.02815811 0.1319192 ]],997,-107
202,[[0.03076174 0.09155969]],889,-116
203,[[-0.00327049  0.04345258]],756,-30
204,[[0.01774687 0.04795151]],770,-86
205,[[-0.04040028  0.032083  ]],721,69
206,[[-0.06652877  0.04334651]],746,138
207,[[0.00243567 0.04017037]],747,-45
208,[[-0.0398613   0.07279458]],828,71
209,[[-0.02800211  0.09054084]],878,41
210,[[-0.02075698  0.10989872]],929,22
211,[[-0.03696166  0.13295133]],992,69
212,[[-0.05284692  0.06568536]],812,106
213,[[ 0.05294033 -0.17107423]],191,-196
214,[[ 0.05546907 -0.27003998]],-83,-227
215,[[ 0.00927087 -0.26661766]],-73,-86
216,[[ 0.06505895 -0.18734881]],144,-233
217,[[ 0.05247705 -0.32387865]],-240,-217
218,[[ 0.07457355 -0.30312675]],-175,-269
219,[[ 0.029955   -0.29682526]],-159,-144
220,[[ 0.05378131 -0.26875493]],-86,-218
221,[[ 0.05466829 -0.27817076]],-109,-210
222,[[ 0.05956322 -0.33553737]],-268,-231
223,[[ 0.04254263 -0.2073774 ]],86,-171
224,[[ 0.01822466 -0.1525556 ]],232,-102
225,[[ 0.05165719 -0.16545025]],200,-199
226,[[ 0.11464468 -0.1593852 ]],222,-372
227,[[ 0.05610305 -0.1674241 ]],197,-209
228,[[ 0.03911022 -0.12948819]],299,-158
229,[[ 0.03267963 -0.16318543]],207,-144
230,[[ 0.0112473 -0.1345446]],284,-80
