frame,res,X,Y
1,[[-0.11325307  0.1500569 ]],1130,324
2,[[-0.08914904  0.12806778]],1071,244
3,[[-0.21509583 -0.02582208]],596,600
4,[[-0.19097075 -0.06291308]],483,539
5,[[-0.19177291 -0.09105563]],403,536
6,[[-0.17980224 -0.01878765]],628,513
7,[[-0.15877113  0.05927386]],868,462
8,[[-0.15263589  0.07922514]],928,439
9,[[-0.13670029  0.13653114]],1096,399
10,[[-0.1145431   0.09986047]],992,318
11,[[-0.13389021  0.12791875]],1075,386
12,[[-0.10339609  0.1365799 ]],1104,295
13,[[-0.08476821  0.05659198]],868,216
14,[[-0.08109921  0.09442483]],980,213
15,[[-0.09948989  0.06891831]],900,262
16,[[-0.07583815  0.06116303]],883,189
17,[[-0.12713742  0.10407892]],996,352
18,[[-0.10782     0.10430405]],1004,297
19,[[-0.11836712  0.15134524]],1145,345
20,[[-0.11927956  0.1593117 ]],1168,349
21,[[-0.1009634   0.07137615]],907,267
22,[[-0.10346415  0.11768124]],1044,287
23,[[-0.1274662  0.1307147]],1078,364
24,[[-0.13751832  0.0755893 ]],910,376
25,[[-0.08976862  0.13194883]],1090,250
26,[[-0.08100864  0.11893581]],1053,219
27,[[-0.07751292  0.08460311]],951,200
28,[[-0.11163145  0.09967089]],989,307
29,[[-0.14294869  0.1371905 ]],1096,415
30,[[-0.12434423  0.1520919 ]],1145,364
31,[[-0.13480632  0.13732362]],1095,387
32,[[-0.12102586  0.15999344]],1164,351
33,[[-0.11230636  0.10938165]],1016,310
34,[[-0.09192467  0.11240692]],1029,250
35,[[-0.06698978  0.16425087]],1189,187
36,[[-0.10326624  0.16732483]],1195,303
37,[[-0.11759061  0.15868059]],1163,341
38,[[-0.13694867  0.14302601]],1112,397
39,[[-0.15359193  0.14631917]],1117,448
40,[[-0.15494306  0.16672437]],1176,456
41,[[-0.16973104  0.22832909]],1367,530
42,[[-0.16085882  0.16913183]],1186,480
43,[[-0.12049392  0.14512083]],1114,345
44,[[-0.11828023  0.1321057 ]],1079,338
45,[[-0.15106428  0.17758574]],1211,458
46,[[-0.15515514  0.15753463]],1148,461
47,[[-0.18213105  0.15496786]],1134,545
48,[[-0.17581613  0.13440156]],1078,516
49,[[-0.09101321  0.12627196]],1071,251
50,[[-0.08577216  0.13295394]],1097,239
51,[[-0.10581469  0.09335511]],970,286
52,[[-0.11743404  0.10708305]],1006,326
53,[[-0.10881975  0.11719703]],1047,301
54,[[-0.12452263  0.12704444]],1068,356
55,[[-0.11076004  0.11855159]],1044,312
56,[[-0.11527991  0.08310537]],935,315
57,[[-0.13673314  0.17219582]],1203,407
58,[[-0.09755394  0.09365527]],973,262
59,[[-0.08585025  0.15662564]],1164,245
60,[[-0.09717344  0.17619091]],1222,285
61,[[-0.05092133  0.10482564]],1015,124
62,[[-0.04890385  0.14116   ]],1122,127
63,[[-0.05519748  0.1348764 ]],1098,142
64,[[0.00227762 0.12502493]],1081,-29
65,[[-0.01661158  0.03410048]],815,5
66,[[-0.01996311 -0.00192198]],710,6
67,[[-0.00205921  0.00124597]],724,-45
68,[[0.00380108 0.04749838]],859,-52
69,[[-0.02550318  0.06931701]],914,38
70,[[-0.05348851  0.06781745]],906,123
71,[[-0.01012997  0.08345245]],960,-2
72,[[-0.01158892 -0.00655393]],699,-19
73,[[-0.04941424  0.14264038]],1128,125
