frame,res,X,Y
1,[[-0.42402524 -0.81593686]],-1818,1268
2,[[-0.41685134 -0.79677725]],-1715,1213
3,[[-0.411083  -0.7944435]],-1724,1199
4,[[-0.42545712 -0.81180924]],-1809,1278
5,[[-0.38627034 -0.8193916 ]],-1839,1141
6,[[-0.43360585 -0.8506987 ]],-1974,1342
7,[[-0.38964143 -0.7929621 ]],-1698,1129
8,[[-0.40382907 -0.80257684]],-1751,1202
9,[[-0.4182931  -0.81722534]],-1820,1270
10,[[-0.561228   -0.79569775]],-1800,1866
11,[[-0.75536996 -0.82105803]],-2054,3048
12,[[-0.8184005 -0.8691805]],-2378,3702
13,[[-0.89495707 -1.013318  ]],-3398,5159
14,[[-0.905486  -1.2080855]],-5615,7346
15,[[-0.84164596 -1.0520966 ]],-3668,4770
16,[[-0.74652004 -0.87960434]],-2386,3184
17,[[-0.7268352 -0.7235125]],-1557,2585
18,[[-0.69010323 -0.88765097]],-2342,2756
19,[[-0.6181769 -0.8078422]],-1865,2167
20,[[-0.5990447 -0.8920332]],-2345,2249
21,[[-0.59531933 -0.7773114 ]],-1697,1993
22,[[-0.6086388  -0.75381315]],-1595,2023
23,[[-0.55670094 -0.77740633]],-1704,1826
24,[[-0.5550795 -0.7877806]],-1728,1823
25,[[-0.56576586 -0.8224584 ]],-1952,1967
26,[[-0.58261955 -0.8296954 ]],-1951,2021
27,[[-0.5990354 -0.7706924]],-1671,2002
28,[[-0.52811617 -0.74963486]],-1580,1653
29,[[-0.5712565  -0.76071566]],-1624,1843
30,[[-0.52939224 -0.80008495]],-1816,1755
31,[[-0.5422519  -0.82383454]],-1892,1819
32,[[-0.50406986 -0.8290366 ]],-1959,1686
33,[[-0.516402   -0.80316454]],-1791,1673
34,[[-0.5284547  -0.82275677]],-1904,1763
35,[[-0.5187832  -0.84024715]],-1989,1747
36,[[-0.51405823 -0.81513417]],-1842,1672
37,[[-0.52346164 -0.7974787 ]],-1756,1664
38,[[-0.5189264 -0.7475524]],-1531,1597
39,[[-0.51016116 -0.8283859 ]],-1912,1652
40,[[-0.51637906 -0.72599864]],-1436,1565
41,[[-0.51141524 -0.73625475]],-1494,1560
42,[[-0.5529926  -0.74848765]],-1554,1728
43,[[-0.5314002  -0.76532775]],-1608,1677
44,[[-0.51791376 -0.7749862 ]],-1647,1632
45,[[-0.56536156 -0.77947736]],-1679,1822
46,[[-0.5790436  -0.80689204]],-1797,1944
47,[[-0.5763948  -0.76429045]],-1596,1856
48,[[-0.573195   -0.72220963]],-1421,1760
49,[[-0.37468964 -0.68458736]],-1228,991
50,[[-0.35128576 -0.6994033 ]],-1280,919
51,[[-0.35170946 -0.6908573 ]],-1236,906
52,[[-0.35048157 -0.61706084]],-987,871
53,[[-0.32443428 -0.6060842 ]],-940,788
54,[[-0.29804814 -0.5946813 ]],-891,698
55,[[-0.18835601 -0.50978386]],-593,355
56,[[-0.16720012 -0.4996037 ]],-550,293
57,[[-0.05648112 -0.43783364]],-365,15
58,[[-0.08147283 -0.38553464]],-218,89
59,[[-0.14017063 -0.4577226 ]],-421,234
60,[[-0.10339074 -0.44784886]],-399,140
61,[[ 0.0093391 -0.4525261]],-385,-163
62,[[ 0.05142359 -0.43682265]],-338,-269
63,[[ 0.01814008 -0.4358724 ]],-335,-181
64,[[ 0.03243121 -0.44842428]],-375,-222
65,[[ 0.02734629 -0.4686947 ]],-426,-209
66,[[ 0.03461865 -0.4426134 ]],-354,-226
67,[[ 0.02888973 -0.4553933 ]],-388,-215
68,[[ 0.03536532 -0.4524142 ]],-376,-232
69,[[-0.0096016  -0.47386557]],-452,-117
70,[[ 0.03461404 -0.43933117]],-342,-224
71,[[ 0.01540897 -0.4593395 ]],-399,-181
72,[[ 0.02588924 -0.4567268 ]],-390,-203
73,[[ 0.10143395 -0.43623686]],-310,-398
74,[[ 0.06427916 -0.43124112]],-292,-306
75,[[ 0.09646645 -0.41261888]],-249,-377
76,[[ 0.08355595 -0.4240995 ]],-280,-347
77,[[ 0.08179156 -0.40386355]],-228,-337
78,[[ 0.08095006 -0.4142372 ]],-255,-331
79,[[ 0.06733724 -0.42913312]],-301,-304
80,[[-0.15523279 -0.5151416 ]],-605,264
81,[[-0.29345483 -0.6280953 ]],-997,690
82,[[-0.30312663 -0.6208849 ]],-980,726
83,[[-0.34224465 -0.6527561 ]],-1105,852
84,[[-0.33899418 -0.6627585 ]],-1133,849
85,[[-0.445244   -0.74487936]],-1477,1263
86,[[-0.4277109 -0.7702322]],-1587,1240
87,[[-0.41475832 -0.7553762 ]],-1519,1177
88,[[-0.3834347  -0.78293717]],-1639,1083
89,[[-0.35267738 -0.74858075]],-1502,965
90,[[-0.3887346 -0.8017873]],-1763,1123
91,[[-0.4106582 -0.7674837]],-1595,1170
92,[[-0.37632918 -0.6931317 ]],-1281,1013
93,[[-0.4021567 -0.7532788]],-1533,1133
94,[[-0.39942318 -0.688265  ]],-1257,1074
95,[[-0.34842798 -0.7193209 ]],-1374,914
96,[[-0.3907653 -0.7171327]],-1383,1056
97,[[-0.44925466 -0.7074791 ]],-1379,1255
98,[[-0.42919207 -0.75686646]],-1572,1243
99,[[-0.4084131  -0.82063806]],-1875,1251
