,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,945,450,945,450,1114,419
1,1,919,453,919,453,1084,423
2,2,899,455,899,455,1061,425
3,3,895,449,895,449,1057,420
4,4,887,445,887,445,1049,416
5,5,905,452,905,452,1068,422
6,6,913,455,913,455,1076,425
7,7,925,464,925,464,1088,435
8,8,932,457,932,457,1098,427
9,9,930,460,930,460,1095,430
10,10,944,465,944,465,1109,435
11,11,951,465,951,465,1118,435
12,12,959,463,959,463,1128,432
13,13,970,463,970,463,1140,433
14,14,979,467,979,467,1150,436
15,15,984,468,984,468,1155,437
16,16,991,469,991,469,1163,438
17,17,997,472,997,472,1169,441
18,18,1002,475,1002,475,1175,443
19,19,1000,470,1000,470,1173,438
20,20,978,457,978,457,1151,425
21,21,953,454,953,454,1123,424
22,22,940,452,940,452,1108,421
23,23,924,447,924,447,1090,417
24,24,911,443,911,443,1077,413
25,25,903,447,903,447,1066,417
26,26,894,454,894,454,1056,425
27,27,892,460,892,460,1051,432
28,28,893,459,893,459,1052,430
29,29,894,458,894,458,1054,429
30,30,887,462,887,462,1045,434
31,31,883,463,883,463,1040,434
32,32,876,461,876,461,1033,433
33,33,874,471,874,471,1027,443
34,34,871,474,871,474,1023,447
35,35,873,472,873,472,1026,445
36,36,876,473,876,473,1030,445
37,37,885,469,885,469,1040,441
38,38,890,468,890,468,1047,440
39,39,886,469,886,469,1042,441
40,40,881,459,881,459,1039,431
41,41,883,454,883,454,1042,425
42,42,886,440,886,440,1048,411
43,43,879,431,879,431,1042,401
44,44,870,419,870,419,1032,389
45,45,880,409,880,409,1043,379
46,46,895,407,895,407,1060,376
47,47,886,405,886,405,1050,375
48,48,880,404,880,404,1042,373
49,49,877,399,877,399,1039,368
50,50,885,410,885,410,1048,380
51,51,891,422,891,422,1055,391
52,52,892,429,892,429,1056,399
53,53,887,428,887,428,1050,398
54,54,892,426,892,426,1056,396
55,55,892,430,892,430,1057,400
56,56,899,438,899,438,1064,408
57,57,907,432,907,432,1073,402
58,58,907,428,907,428,1074,397
59,59,904,424,904,424,1071,394
60,60,908,434,908,434,1074,403
61,61,910,438,910,438,1076,408
62,62,924,444,924,444,1091,414
63,63,939,444,939,444,1108,414
64,64,954,443,954,443,1127,412
65,65,949,439,949,439,1121,408
66,66,947,437,947,437,1119,406
67,67,949,437,949,437,1122,405
68,68,953,434,953,434,1126,403
69,69,950,435,950,435,1123,404
70,70,991,521,991,521,1139,492
71,71,959,592,959,592,1040,573
72,72,959,631,959,631,994,617
73,73,957,708,957,708,872,709
74,74,955,709,955,709,868,710
75,75,1017,698,1017,698,959,692
76,76,1042,658,1042,658,1053,643
77,77,1032,617,1032,617,1096,597
78,78,1025,579,1025,579,1131,554
79,79,1017,557,1017,557,1141,531
80,80,986,546,986,546,1113,521
81,81,969,534,969,534,1103,508
82,82,970,526,970,526,1111,499
83,83,976,523,976,523,1119,496
84,84,972,529,972,529,1110,503
85,85,972,521,972,521,1116,493
86,86,964,508,964,508,1114,480
87,87,963,495,963,495,1120,466
88,88,957,484,957,484,1118,454
89,89,957,468,957,468,1124,438
90,90,955,466,955,466,1122,436
