frame,res,X,Y
1,"[[-0.1143037 ]
 [-0.00796835]
 [-0.9934139 ]]",1262.0,-90.0
2,"[[-0.12503113]
 [ 0.04989305]
 [-0.99089752]]",1255.0,6.0
3,"[[-0.13377516]
 [ 0.04405129]
 [-0.99003217]]",1259.0,69.0
4,"[[-0.12730848]
 [ 0.00936983]
 [-0.99181891]]",1255.0,77.0
5,"[[-0.11420624]
 [ 0.02060386]
 [-0.99324338]]",1240.0,95.0
6,"[[-0.09421534]
 [ 0.05729524]
 [-0.99390177]]",1209.0,145.0
7,"[[-0.14009988]
 [ 0.01814348]
 [-0.98997113]]",1235.0,142.0
8,"[[-0.14783309]
 [ 0.03005918]
 [-0.98855542]]",1262.0,153.0
9,"[[-0.14614026]
 [-0.00119368]
 [-0.98926316]]",1280.0,129.0
10,"[[-0.16765076]
 [-0.01931954]
 [-0.98565713]]",1315.0,93.0
11,"[[-0.20083055]
 [-0.07166448]
 [-0.97700117]]",1376.0,13.0
12,"[[-0.20066865]
 [-0.08668545]
 [-0.97581644]]",1422.0,-61.0
13,"[[-0.20014172]
 [-0.11147557]
 [-0.97340459]]",1454.0,-141.0
14,"[[-0.19615635]
 [-0.10475841]
 [-0.9749607 ]]",1472.0,-191.0
15,"[[-0.20542335]
 [-0.11874434]
 [-0.97144276]]",1495.0,-242.0
16,"[[-0.2114791 ]
 [-0.1594465 ]
 [-0.96428907]]",1519.0,-323.0
17,"[[-0.19895165]
 [-0.1594835 ]
 [-0.96694532]]",1523.0,-381.0
18,"[[-0.18046275]
 [-0.12364502]
 [-0.97577923]]",1505.0,-384.0
19,"[[-0.19481648]
 [-0.14583127]
 [-0.96993803]]",1508.0,-411.0
20,"[[-0.18945282]
 [-0.16486712]
 [-0.96794962]]",1506.0,-450.0
21,"[[-0.15200568]
 [-0.16382028]
 [-0.97470877]]",1463.0,-476.0
22,"[[-0.1497713 ]
 [-0.16080447]
 [-0.9755565 ]]",1431.0,-491.0
23,"[[-0.13669402]
 [-0.15844779]
 [-0.97785942]]",1393.0,-500.0
24,"[[-0.14715953]
 [-0.15486549]
 [-0.97691389]]",1377.0,-504.0
25,"[[-0.12954573]
 [-0.15283247]
 [-0.97972452]]",1346.0,-505.0
26,"[[-0.12745638]
 [-0.14461906]
 [-0.98124421]]",1320.0,-496.0
27,"[[-0.12963528]
 [-0.14004908]
 [-0.98162159]]",1304.0,-485.0
28,"[[-0.12854404]
 [-0.13814388]
 [-0.98203498]]",1291.0,-475.0
29,"[[-0.12805059]
 [-0.14473753]
 [-0.98114937]]",1280.0,-474.0
30,"[[-0.12854588]
 [-0.14642915]
 [-0.98083355]]",1272.0,-475.0
31,"[[-0.12603713]
 [-0.1294967 ]
 [-0.98353711]]",1265.0,-458.0
32,"[[-0.13093021]
 [-0.12836165]
 [-0.98304657]]",1265.0,-445.0
33,"[[-0.12320861]
 [-0.13585766]
 [-0.9830373 ]]",1257.0,-443.0
34,"[[-0.08597017]
 [-0.13673065]
 [-0.98687074]]",1213.0,-442.0
35,"[[-0.08371453]
 [-0.1381903 ]
 [-0.98686135]]",1179.0,-444.0
36,"[[-0.0747802 ]
 [-0.15853557]
 [-0.98451734]]",1144.0,-466.0
37,"[[-0.09003375]
 [-0.17863929]
 [-0.97978667]]",1135.0,-505.0
38,"[[-0.08616741]
 [-0.18659735]
 [-0.9786504 ]]",1125.0,-542.0
39,"[[-0.0731942 ]
 [-0.17612874]
 [-0.98164213]]",1105.0,-558.0
40,"[[-0.07506724]
 [-0.17057829]
 [-0.98248051]]",1091.0,-563.0
41,"[[-0.07380628]
 [-0.17027457]
 [-0.98262872]]",1080.0,-567.0
42,"[[-0.09161541]
 [-0.16285999]
 [-0.9823865 ]]",1090.0,-562.0
43,"[[-0.08978565]
 [-0.15599358]
 [-0.98366892]]",1095.0,-551.0
44,"[[-0.08545128]
 [-0.15431797]
 [-0.98431908]]",1095.0,-541.0
45,"[[-0.08560047]
 [-0.1511815 ]
 [-0.98479273]]",1094.0,-530.0
46,"[[-0.07636377]
 [-0.1437434 ]
 [-0.98666428]]",1084.0,-515.0
47,"[[-0.07533279]
 [-0.13326413]
 [-0.98821336]]",1076.0,-493.0
48,"[[-0.07193077]
 [-0.13486822]
 [-0.98824922]]",1067.0,-479.0
49,"[[-0.06746601]
 [-0.1625927 ]
 [-0.98438405]]",1055.0,-497.0
50,"[[-0.07886288]
 [-0.16292471]
 [-0.98348166]]",1058.0,-510.0
51,"[[-0.07711216]
 [-0.1560917 ]
 [-0.98472793]]",1057.0,-513.0
52,"[[-0.11400792]
 [-0.1467796 ]
 [-0.98257719]]",1095.0,-505.0
53,"[[-0.20627775]
 [-0.19330963]
 [-0.95920846]]",1223.0,-552.0
54,"[[-0.21624193]
 [-0.19210971]
 [-0.95725299]]",1328.0,-586.0
55,"[[-0.20957444]
 [-0.17173993]
 [-0.96259231]]",1398.0,-589.0
56,"[[-0.21108097]
 [-0.16865396]
 [-0.96280874]]",1450.0,-588.0
57,"[[-0.20727898]
 [-0.18435218]
 [-0.96075476]]",1485.0,-603.0
58,"[[-0.22735851]
 [-0.20098782]
 [-0.95284416]]",1534.0,-635.0
59,"[[-0.23193558]
 [-0.20154204]
 [-0.95162319]]",1574.0,-657.0
60,"[[-0.23279681]
 [-0.18410417]
 [-0.95494047]]",1603.0,-654.0
61,"[[-0.24444102]
 [-0.20299115]
 [-0.94817888]]",1637.0,-672.0
62,"[[-0.23669582]
 [-0.19791305]
 [-0.95121265]]",1654.0,-680.0
63,"[[-0.2393403 ]
 [-0.2049675 ]
 [-0.94905455]]",1669.0,-694.0
64,"[[-0.23972042]
 [-0.20855688]
 [-0.94817622]]",1681.0,-708.0
65,"[[-0.24062505]
 [-0.21134765]
 [-0.94732875]]",1690.0,-721.0
66,"[[-0.24129936]
 [-0.21398329]
 [-0.94656525]]",1698.0,-734.0
67,"[[-0.24014289]
 [-0.21457413]
 [-0.94672559]]",1702.0,-743.0
68,"[[-0.19565495]
 [-0.18442016]
 [-0.96317618]]",1655.0,-716.0
69,"[[-0.17289139]
 [-0.15349846]
 [-0.97290636]]",1598.0,-663.0
70,"[[-0.17340403]
 [-0.15149553]
 [-0.97312905]]",1556.0,-621.0
71,"[[-0.17258742]
 [-0.14180054]
 [-0.97473391]]",1523.0,-581.0
72,"[[-0.15939578]
 [-0.11373036]
 [-0.98064183]]",1486.0,-522.0
73,"[[-0.16299707]
 [-0.16498635]
 [-0.97273401]]",1462.0,-532.0
74,"[[-0.15343969]
 [-0.14269757]
 [-0.97780042]]",1434.0,-515.0
75,"[[-0.15258052]
 [-0.13674502]
 [-0.97878495]]",1412.0,-495.0
76,"[[-0.1280852 ]
 [-0.10886659]
 [-0.98576987]]",1371.0,-452.0
77,"[[-0.13003128]
 [-0.11866567]
 [-0.98438322]]",1344.0,-432.0
78,"[[-0.13902275]
 [-0.13268193]
 [-0.98136037]]",1333.0,-431.0
79,"[[-0.13808597]
 [-0.12695204]
 [-0.98225019]]",1323.0,-425.0
80,"[[-0.14056594]
 [-0.14509415]
 [-0.9793819 ]]",1319.0,-439.0
81,"[[-0.13928135]
 [-0.14443009]
 [-0.97966354]]",1315.0,-450.0
82,"[[-0.1354205 ]
 [-0.13292512]
 [-0.98183104]]",1309.0,-445.0
83,"[[-0.13954823]
 [-0.14916618]
 [-0.9789156 ]]",1308.0,-458.0
84,"[[-0.13374537]
 [-0.1489368 ]
 [-0.97976018]]",1301.0,-467.0
85,"[[-0.1351544 ]
 [-0.16399975]
 [-0.9771578 ]]",1299.0,-491.0
86,"[[-0.12398076]
 [-0.15467491]
 [-0.98015532]]",1285.0,-498.0
87,"[[-0.12302969]
 [-0.1615233 ]
 [-0.97917002]]",1275.0,-511.0
88,"[[-0.12496811]
 [-0.15780061]
 [-0.97953149]]",1268.0,-516.0
89,"[[-0.1212652 ]
 [-0.15268251]
 [-0.98080722]]",1261.0,-514.0
90,"[[-0.13150907]
 [-0.16429995]
 [-0.97760467]]",1265.0,-525.0
91,"[[-0.1227333 ]
 [-0.15371831]
 [-0.98046276]]",1260.0,-522.0
92,"[[-0.12451698]
 [-0.15061036]
 [-0.98072016]]",1257.0,-517.0
93,"[[-0.12301396]
 [-0.16100673]
 [-0.97925706]]",1255.0,-524.0
94,"[[-0.11043236]
 [-0.15183332]
 [-0.98221756]]",1240.0,-520.0
95,"[[-0.11256616]
 [-0.14511214]
 [-0.98299101]]",1231.0,-508.0
96,"[[-0.10792799]
 [-0.14020232]
 [-0.98422297]]",1219.0,-495.0
97,"[[-0.08819086]
 [-0.10514382]
 [-0.99053882]]",1190.0,-448.0
98,"[[-0.06539915]
 [ 0.00954403]
 [-0.99781354]]",1146.0,-296.0
99,"[[-0.01051353]
 [ 0.07653012]
 [-0.99701184]]",1058.0,-115.0
100,"[[-0.05643245]
 [-0.0380723 ]
 [-0.99768025]]",1041.0,-101.0
101,"[[-0.12220195]
 [-0.06344705]
 [-0.99047522]]",1097.0,-118.0
102,"[[-0.13185234]
 [ 0.03838819]
 [-0.99052577]]",1147.0,-24.0
103,"[[-0.14455156]
 [ 0.03722235]
 [-0.98879692]]",1197.0,43.0
104,"[[-0.13598285]
 [-0.01483014]
 [-0.99060019]]",1224.0,38.0
105,"[[-0.11359256]
 [-0.04962941]
 [-0.99228708]]",1219.0,-2.0
106,"[[-0.12339836]
 [-0.052723  ]
 [-0.99095567]]",1227.0,-34.0
107,"[[-0.12372418]
 [-0.07203954]
 [-0.98969825]]",1233.0,-78.0
108,"[[-0.12457462]
 [-0.06694296]
 [-0.98994939]]",1239.0,-103.0
109,"[[-0.11790401]
 [-0.0488807 ]
 [-0.99182121]]",1236.0,-104.0
110,"[[-0.1214466 ]
 [-0.04380036]
 [-0.99163111]]",1238.0,-100.0
111,"[[-0.12582884]
 [-0.04228737]
 [-0.99115028]]",1243.0,-95.0
112,"[[-0.11450669]
 [-0.04330535]
 [-0.99247814]]",1236.0,-93.0
113,"[[-0.12025926]
 [-0.04488108]
 [-0.99172748]]",1236.0,-93.0
114,"[[-0.13081543]
 [-0.05866613]
 [-0.98966944]]",1247.0,-106.0
115,"[[-0.13111128]
 [-0.07635624]
 [-0.98842276]]",1256.0,-135.0
116,"[[-0.13812096]
 [-0.07915188]
 [-0.98724748]]",1270.0,-159.0
117,"[[-0.12533742]
 [-0.06828694]
 [-0.9897613 ]]",1267.0,-165.0
118,"[[-0.12324716]
 [-0.06285484]
 [-0.99038346]]",1263.0,-163.0
119,"[[-0.12386568]
 [-0.07689145]
 [-0.98931542]]",1261.0,-177.0
