frame,res,X,Y
1,"[[-0.06777299]
 [ 0.13469271]
 [-0.98856699]]",1259.0,287.0
2,"[[-0.0757888 ]
 [ 0.12971418]
 [-0.98865074]]",1189.0,275.0
3,"[[-0.0833688 ]
 [ 0.12340928]
 [-0.98884771]]",1142.0,262.0
4,"[[-0.07772674]
 [ 0.1281946 ]
 [-0.98869849]]",1104.0,256.0
5,"[[-0.07344489]
 [ 0.12839219]
 [-0.98900015]]",1074.0,251.0
6,"[[-0.07594534]
 [ 0.13155709]
 [-0.98839518]]",1054.0,250.0
7,"[[-0.07482684]
 [ 0.13109288]
 [-0.98854216]]",1038.0,249.0
8,"[[-0.06555263]
 [ 0.13639466]
 [-0.98848336]]",1021.0,252.0
9,"[[-0.06389768]
 [ 0.14450597]
 [-0.98743866]]",1007.0,260.0
10,"[[-0.06954012]
 [ 0.15107534]
 [-0.98607323]]",1000.0,271.0
11,"[[-0.0723619 ]
 [ 0.14899492]
 [-0.98618673]]",998.0,278.0
12,"[[-0.0627905 ]
 [ 0.15250835]
 [-0.98630551]]",989.0,285.0
13,"[[-0.07363583]
 [ 0.14225419]
 [-0.98708739]]",991.0,284.0
14,"[[-0.07260466]
 [ 0.14242852]
 [-0.98713863]]",992.0,282.0
15,"[[-0.07540171]
 [ 0.14609101]
 [-0.98639343]]",994.0,285.0
16,"[[-0.07000414]
 [ 0.13899471]
 [-0.98781572]]",992.0,281.0
17,"[[-0.06782114]
 [ 0.15008497]
 [-0.98634416]]",989.0,286.0
18,"[[-0.06825157]
 [ 0.15317105]
 [-0.98583992]]",987.0,292.0
19,"[[-0.06626375]
 [ 0.14704769]
 [-0.98690734]]",984.0,292.0
20,"[[-0.06779837]
 [ 0.15972484]
 [-0.98483062]]",984.0,301.0
21,"[[-0.0697171 ]
 [ 0.16466906]
 [-0.98388192]]",984.0,311.0
22,"[[-0.06526892]
 [ 0.16510998]
 [-0.98411313]]",981.0,318.0
23,"[[-0.06893261]
 [ 0.17104381]
 [-0.98284908]]",981.0,328.0
24,"[[-0.06454574]
 [ 0.17562425]
 [-0.98233903]]",978.0,338.0
25,"[[-0.06542058]
 [ 0.17951584]
 [-0.98157741]]",977.0,349.0
26,"[[-0.07122342]
 [ 0.17639941]
 [-0.98173849]]",981.0,356.0
27,"[[-0.07155534]
 [ 0.17909659]
 [-0.98122589]]",984.0,363.0
28,"[[-0.08116158]
 [ 0.17033929]
 [-0.98203733]]",993.0,362.0
29,"[[-0.06812332]
 [ 0.16900832]
 [-0.98325755]]",990.0,360.0
30,"[[-0.05908638]
 [ 0.1738433 ]
 [-0.98299914]]",982.0,362.0
31,"[[-0.05755503]
 [ 0.17615206]
 [-0.98267893]]",975.0,365.0
32,"[[-0.05353124]
 [ 0.17840888]
 [-0.9824992 ]]",968.0,369.0
33,"[[-0.056365  ]
 [ 0.17204944]
 [-0.98347444]]",964.0,366.0
34,"[[-0.05216283]
 [ 0.17676667]
 [-0.98286956]]",958.0,368.0
35,"[[-0.05409531]
 [ 0.18282498]
 [-0.98165611]]",955.0,373.0
36,"[[-0.04403424]
 [ 0.19524444]
 [-0.97976558]]",946.0,387.0
37,"[[-0.04330371]
 [ 0.1925329 ]
 [-0.98033457]]",938.0,394.0
38,"[[-0.03678086]
 [ 0.20323555]
 [-0.9784388 ]]",928.0,407.0
39,"[[-0.04085948]
 [ 0.19629744]
 [-0.97969272]]",924.0,412.0
40,"[[-0.04061905]
 [ 0.19463233]
 [-0.98003487]]",920.0,414.0
41,"[[-0.0382935 ]
 [ 0.18887491]
 [-0.98125424]]",916.0,411.0
42,"[[-0.04579774]
 [ 0.18890376]
 [-0.98092708]]",919.0,409.0
43,"[[-0.05414094]
 [ 0.16608983]
 [-0.98462324]]",926.0,392.0
44,"[[-0.05173576]
 [ 0.16509212]
 [-0.9849203 ]]",931.0,379.0
45,"[[-0.05494151]
 [ 0.16323906]
 [-0.98505555]]",936.0,369.0
46,"[[-0.05437051]
 [ 0.16294618]
 [-0.98513572]]",940.0,362.0
47,"[[-0.04934723]
 [ 0.17607375]
 [-0.9831393 ]]",939.0,365.0
48,"[[-0.05007753]
 [ 0.18472831]
 [-0.98151296]]",939.0,373.0
49,"[[-0.05972471]
 [ 0.18683494]
 [-0.98057415]]",945.0,381.0
50,"[[-0.05615656]
 [ 0.18915026]
 [-0.98034107]]",947.0,387.0
51,"[[-0.05586253]
 [ 0.18368082]
 [-0.98139734]]",949.0,389.0
52,"[[-0.06323433]
 [ 0.17094192]
 [-0.98324986]]",955.0,382.0
53,"[[-0.07314327]
 [ 0.16295403]
 [-0.98391872]]",967.0,371.0
54,"[[-0.07493941]
 [ 0.16335464]
 [-0.98371711]]",978.0,363.0
55,"[[-0.07420592]
 [ 0.1701642 ]
 [-0.98261774]]",985.0,362.0
