frame,res,X,Y
1,"[[ 0.69972889]
 [ 0.45487012]
 [-0.55088353]]",-3953.0,1904.0
2,"[[ 0.69872819]
 [ 0.4658334 ]
 [-0.54293477]]",-3669.0,1966.0
3,"[[ 0.69290147]
 [ 0.43932705]
 [-0.57173359]]",-3411.0,1951.0
4,"[[ 0.64409129]
 [ 0.2315716 ]
 [-0.72905487]]",-2996.0,1633.0
5,"[[ 0.66465834]
 [ 0.0992905 ]
 [-0.74052055]]",-2701.0,1275.0
6,"[[ 0.63833573]
 [ 0.08235065]
 [-0.76534036]]",-2439.0,996.0
7,"[[ 0.64657302]
 [ 0.09040704]
 [-0.757476  ]]",-2260.0,799.0
8,"[[ 0.62547163]
 [ 0.06998382]
 [-0.77710199]]",-2093.0,636.0
9,"[[ 0.61911931]
 [ 0.10682575]
 [-0.77799714]]",-1966.0,548.0
10,"[[ 0.73336528]
 [ 0.2102457 ]
 [-0.64650762]]",-2098.0,609.0
11,"[[ 0.81060373]
 [ 0.40409649]
 [-0.42382498]]",-2725.0,1078.0
12,"[[ 0.77708646]
 [ 0.45258508]
 [-0.43738241]]",-3094.0,1477.0
13,"[[ 0.80041025]
 [ 0.41845287]
 [-0.4292326 ]]",-3423.0,1728.0
14,"[[ 0.80800451]
 [ 0.41756401]
 [-0.41565491]]",-3722.0,1935.0
15,"[[ 0.80301944]
 [ 0.40309715]
 [-0.43894473]]",-3864.0,2027.0
16,"[[ 0.80146258]
 [ 0.41289563]
 [-0.43263719]]",-3981.0,2119.0
17,"[[ 0.79586151]
 [ 0.41951745]
 [-0.43658855]]",-4047.0,2191.0
18,"[[ 0.78657919]
 [ 0.43262288]
 [-0.44060256]]",-4070.0,2258.0
19,"[[ 0.81645454]
 [ 0.40852311]
 [-0.40805742]]",-4225.0,2316.0
20,"[[ 0.81148948]
 [ 0.42262944]
 [-0.40357055]]",-4342.0,2388.0
21,"[[ 0.81040274]
 [ 0.41961559]
 [-0.40886448]]",-4410.0,2428.0
22,"[[ 0.80770608]
 [ 0.40991328]
 [-0.42377115]]",-4411.0,2418.0
23,"[[ 0.81475044]
 [ 0.41347424]
 [-0.40647359]]",-4486.0,2448.0
24,"[[ 0.81824191]
 [ 0.40863604]
 [-0.40434732]]",-4558.0,2467.0
25,"[[ 0.81886004]
 [ 0.40811559]
 [-0.40362098]]",-4616.0,2483.0
26,"[[ 0.81775293]
 [ 0.40522847]
 [-0.40874201]]",-4632.0,2477.0
27,"[[ 0.83958862]
 [ 0.3920364 ]
 [-0.3760298 ]]",-4799.0,2507.0
28,"[[ 0.82026294]
 [ 0.42138001]
 [-0.38679142]]",-4839.0,2557.0
29,"[[ 0.80829178]
 [ 0.43754245]
 [-0.39398097]]",-4818.0,2606.0
30,"[[ 0.80874055]
 [ 0.43820156]
 [-0.392324  ]]",-4812.0,2648.0
31,"[[ 0.80186145]
 [ 0.44026398]
 [-0.40396266]]",-4764.0,2664.0
32,"[[ 0.80810142]
 [ 0.42107289]
 [-0.41190984]]",-4718.0,2633.0
33,"[[ 0.81420534]
 [ 0.41564548]
 [-0.40534984]]",-4720.0,2615.0
34,"[[ 0.81301637]
 [ 0.40771399]
 [-0.41566054]]",-4697.0,2576.0
35,"[[ 0.8121652 ]
 [ 0.41334605]
 [-0.41174353]]",-4689.0,2563.0
36,"[[ 0.83633853]
 [ 0.38349073]
 [-0.39175595]]",-4788.0,2533.0
37,"[[ 0.83936646]
 [ 0.39785147]
 [-0.37037569]]",-4949.0,2575.0
38,"[[ 0.83841384]
 [ 0.40340702]
 [-0.36650376]]",-5076.0,2623.0
39,"[[ 0.83193525]
 [ 0.4088906 ]
 [-0.37508962]]",-5120.0,2649.0
40,"[[ 0.83196149]
 [ 0.40921015]
 [-0.3746827 ]]",-5152.0,2669.0
41,"[[ 0.79947445]
 [ 0.43134204]
 [-0.41807254]]",-4971.0,2645.0
42,"[[ 0.79876712]
 [ 0.43004793]
 [-0.42074918]]",-4828.0,2621.0
43,"[[ 0.80745191]
 [ 0.42777214]
 [-0.40624181]]",-4783.0,2622.0
44,"[[ 0.81403265]
 [ 0.41914949]
 [-0.40207531]]",-4790.0,2623.0
45,"[[ 0.81116945]
 [ 0.42008931]
 [-0.40685267]]",-4775.0,2618.0
46,"[[ 0.8019675 ]
 [ 0.42201479]
 [-0.42279032]]",-4686.0,2584.0
47,"[[ 0.78549837]
 [ 0.45677461]
 [-0.41755151]]",-4603.0,2620.0
48,"[[ 0.79764644]
 [ 0.44196256]
 [-0.41040133]]",-4585.0,2634.0
49,"[[ 0.79875678]
 [ 0.45150923]
 [-0.39765188]]",-4614.0,2683.0
50,"[[ 0.80285742]
 [ 0.44305934]
 [-0.39889645]]",-4644.0,2706.0
51,"[[ 0.79449627]
 [ 0.46664093]
 [-0.38861539]]",-4685.0,2782.0
52,"[[ 0.78703564]
 [ 0.46712126]
 [-0.40295488]]",-4655.0,2810.0
53,"[[ 0.80408547]
 [ 0.4510916 ]
 [-0.38725048]]",-4728.0,2840.0
54,"[[ 0.79455407]
 [ 0.45699326]
 [-0.39980118]]",-4723.0,2848.0
