frame,res,X,Y
1,"[[ 0.65936973]
 [ 0.52681104]
 [-0.53637831]]",-2962.0,2595.0
2,"[[ 0.65678627]
 [ 0.52047   ]
 [-0.54565811]]",-2972.0,2585.0
3,"[[ 0.65627727]
 [ 0.51965178]
 [-0.5470486 ]]",-2978.0,2576.0
4,"[[ 0.66197116]
 [ 0.50594268]
 [-0.5530065 ]]",-2985.0,2545.0
5,"[[ 0.66253723]
 [ 0.506564  ]
 [-0.55175839]]",-2992.0,2525.0
6,"[[ 0.669252  ]
 [ 0.49602827]
 [-0.55322484]]",-3007.0,2495.0
7,"[[ 0.66856683]
 [ 0.5035448 ]
 [-0.54723033]]",-3027.0,2490.0
8,"[[ 0.66901861]
 [ 0.50624169]
 [-0.54418144]]",-3047.0,2495.0
9,"[[ 0.65319861]
 [ 0.54302444]
 [-0.52768933]]",-3065.0,2574.0
10,"[[ 0.67068032]
 [ 0.5034344 ]
 [-0.54474004]]",-3074.0,2550.0
11,"[[ 0.68221079]
 [ 0.48134084]
 [-0.550363  ]]",-3087.0,2492.0
12,"[[ 0.68246806]
 [ 0.48149329]
 [-0.5499105 ]]",-3100.0,2453.0
13,"[[ 0.68177678]
 [ 0.44613147]
 [-0.57978197]]",-3061.0,2341.0
14,"[[ 0.67813556]
 [ 0.4276289 ]
 [-0.59771706]]",-3000.0,2218.0
15,"[[ 0.67674321]
 [ 0.38646079]
 [-0.62663122]]",-2910.0,2048.0
16,"[[ 0.68048251]
 [ 0.40235327]
 [-0.61241767]]",-2867.0,1954.0
17,"[[ 0.67530222]
 [ 0.37849452]
 [-0.63301564]]",-2799.0,1838.0
18,"[[ 0.67622513]
 [ 0.38424957]
 [-0.62854741]]",-2756.0,1764.0
19,"[[ 0.69074806]
 [ 0.36445378]
 [-0.62453228]]",-2747.0,1687.0
20,"[[ 0.69809156]
 [ 0.36966625]
 [-0.61320064]]",-2766.0,1646.0
21,"[[ 0.69176637]
 [ 0.37887932]
 [-0.61474365]]",-2771.0,1628.0
22,"[[ 0.62866605]
 [ 0.40126637]
 [-0.66615636]]",-2633.0,1604.0
23,"[[ 0.58963239]
 [ 0.36454017]
 [-0.72072471]]",-2437.0,1512.0
24,"[[ 0.54161082]
 [ 0.38096198]
 [-0.74935017]]",-2214.0,1445.0
25,"[[ 0.54181001]
 [ 0.40334137]
 [-0.73739925]]",-2062.0,1427.0
26,"[[ 0.53365237]
 [ 0.37488327]
 [-0.75807499]]",-1932.0,1375.0
27,"[[ 0.53319549]
 [ 0.37189997]
 [-0.75986379]]",-1838.0,1335.0
