frame,res,X,Y
1,"[[ 0.63116496]
 [ 0.46428171]
 [-0.62134797]]",-2585.0,1903.0
2,"[[ 0.64300269]
 [ 0.42266863]
 [-0.63866954]]",-2377.0,1762.0
3,"[[ 0.65822483]
 [ 0.36531668]
 [-0.65824296]]",-2216.0,1589.0
4,"[[ 0.66894153]
 [ 0.36460371]
 [-0.64775101]]",-2113.0,1464.0
5,"[[ 0.64968006]
 [ 0.31509965]
 [-0.69182948]]",-1978.0,1304.0
6,"[[ 0.63766196]
 [ 0.28059774]
 [-0.71739259]]",-1847.0,1146.0
7,"[[ 0.63095527]
 [ 0.25520352]
 [-0.73264357]]",-1732.0,1003.0
8,"[[ 0.6308931 ]
 [ 0.2332875 ]
 [-0.73996679]]",-1642.0,879.0
9,"[[ 0.69388289]
 [ 0.33698437]
 [-0.63637102]]",-1725.0,922.0
10,"[[ 0.715778  ]
 [ 0.40611094]
 [-0.56809837]]",-1897.0,1072.0
11,"[[ 0.73545931]
 [ 0.43660516]
 [-0.51814625]]",-2124.0,1264.0
12,"[[ 0.74504862]
 [ 0.43859476]
 [-0.50253079]]",-2330.0,1423.0
13,"[[ 0.73833508]
 [ 0.46878509]
 [-0.48487302]]",-2505.0,1598.0
14,"[[ 0.75509319]
 [ 0.44201183]
 [-0.4842105 ]]",-2661.0,1694.0
15,"[[ 0.75469082]
 [ 0.44341801]
 [-0.48355168]]",-2776.0,1767.0
16,"[[ 0.73987567]
 [ 0.46370994]
 [-0.48739828]]",-2834.0,1843.0
17,"[[ 0.74115911]
 [ 0.46447085]
 [-0.48471641]]",-2879.0,1900.0
18,"[[ 0.75207658]
 [ 0.44292667]
 [-0.48805408]]",-2916.0,1908.0
19,"[[ 0.75231305]
 [ 0.44168875]
 [-0.48881093]]",-2940.0,1910.0
20,"[[ 0.75258997]
 [ 0.45873625]
 [-0.47240808]]",-2993.0,1956.0
21,"[[ 0.74470226]
 [ 0.46295826]
 [-0.48071633]]",-3007.0,1985.0
22,"[[ 0.7437495 ]
 [ 0.46870967]
 [-0.47660038]]",-3025.0,2020.0
23,"[[ 0.73952618]
 [ 0.46828527]
 [-0.48353897]]",-3018.0,2036.0
24,"[[ 0.73337203]
 [ 0.47781143]
 [-0.4835925 ]]",-3002.0,2059.0
25,"[[ 0.72340046]
 [ 0.51180447]
 [-0.46340907]]",-3017.0,2148.0
26,"[[ 0.72033496]
 [ 0.51686224]
 [-0.46256996]]",-3024.0,2220.0
27,"[[ 0.72679557]
 [ 0.54720179]
 [-0.4151366 ]]",-3154.0,2402.0
28,"[[ 0.7591923 ]
 [ 0.52446355]
 [-0.38544134]]",-3397.0,2569.0
29,"[[ 0.81513527]
 [ 0.14124374]
 [-0.56178706]]",-3262.0,1989.0
30,"[[ 0.73703402]
 [ 0.03213589]
 [-0.67509121]]",-2935.0,1434.0
31,"[[ 0.76161619]
 [ 0.16858312]
 [-0.62571601]]",-2778.0,1174.0
32,"[[ 0.77587106]
 [ 0.26652135]
 [-0.5718308 ]]",-2751.0,1111.0
33,"[[ 0.7586249 ]
 [ 0.42722933]
 [-0.49189772]]",-2852.0,1325.0
34,"[[ 0.75093549]
 [ 0.42058276]
 [-0.50912281]]",-2879.0,1452.0
35,"[[ 0.74574655]
 [ 0.46278295]
 [-0.47926406]]",-2938.0,1628.0
36,"[[ 0.75468634]
 [ 0.44973564]
 [-0.47768858]]",-2994.0,1740.0
37,"[[ 0.74155099]
 [ 0.47487056]
 [-0.4739199 ]]",-3022.0,1857.0
38,"[[ 0.74659566]
 [ 0.47253132]
 [-0.46830446]]",-3058.0,1946.0
39,"[[ 0.74599441]
 [ 0.45922551]
 [-0.48229065]]",-3054.0,1974.0
40,"[[ 0.74768414]
 [ 0.4580648 ]
 [-0.48077547]]",-3054.0,1994.0
41,"[[ 0.75130167]
 [ 0.46943279]
 [-0.46387353]]",-3097.0,2047.0
42,"[[ 0.74929142]
 [ 0.46962669]
 [-0.46691877]]",-3120.0,2081.0
43,"[[ 0.754246  ]
 [ 0.45749939]
 [-0.47096419]]",-3137.0,2087.0
44,"[[ 0.74648514]
 [ 0.46499522]
 [-0.47596153]]",-3130.0,2095.0
45,"[[ 0.75573773]
 [ 0.44957119]
 [-0.47617877]]",-3134.0,2078.0
46,"[[ 0.73866896]
 [ 0.4751383 ]
 [-0.47813364]]",-3116.0,2101.0
47,"[[ 0.74067069]
 [ 0.4662612 ]
 [-0.48374314]]",-3097.0,2101.0
48,"[[ 0.74026415]
 [ 0.47007521]
 [-0.48066441]]",-3087.0,2109.0
49,"[[ 0.7410806 ]
 [ 0.47497517]
 [-0.47455046]]",-3091.0,2128.0
50,"[[ 0.7452703 ]
 [ 0.46367141]
 [-0.47914613]]",-3088.0,2121.0
51,"[[ 0.75587979]
 [ 0.45225648]
 [-0.47340239]]",-3108.0,2106.0
52,"[[ 0.75632839]
 [ 0.45607506]
 [-0.46900203]]",-3138.0,2110.0
53,"[[ 0.75284491]
 [ 0.46911888]
 [-0.46168389]]",-3168.0,2140.0
54,"[[ 0.76066835]
 [ 0.46182975]
 [-0.45617643]]",-3208.0,2156.0
55,"[[ 0.75038945]
 [ 0.47125887]
 [-0.46349838]]",-3208.0,2171.0
56,"[[ 0.74383527]
 [ 0.48143338]
 [-0.4636065 ]]",-3194.0,2194.0
57,"[[ 0.7523048 ]
 [ 0.46641923]
 [-0.4652855 ]]",-3194.0,2189.0
58,"[[ 0.75469164]
 [ 0.46551597]
 [-0.46231527]]",-3202.0,2187.0
59,"[[ 0.75554933]
 [ 0.47094979]
 [-0.45535865]]",-3223.0,2201.0
60,"[[ 0.7496364 ]
 [ 0.48683834]
 [-0.44836781]]",-3247.0,2245.0
61,"[[ 0.75796787]
 [ 0.46460083]
 [-0.45785454]]",-3255.0,2231.0
62,"[[ 0.75379417]
 [ 0.46605597]
 [-0.46323447]]",-3245.0,2217.0
63,"[[ 0.74802367]
 [ 0.46604653]
 [-0.47250525]]",-3210.0,2194.0
64,"[[ 0.75349233]
 [ 0.46317084]
 [-0.46660698]]",-3202.0,2180.0
65,"[[ 0.76077813]
 [ 0.44360998]
 [-0.47373708]]",-3189.0,2133.0
66,"[[ 0.75044352]
 [ 0.46140149]
 [-0.47322636]]",-3171.0,2125.0
67,"[[ 0.75180726]
 [ 0.45387602]
 [-0.47831203]]",-3149.0,2103.0
68,"[[ 0.75576334]
 [ 0.44335456]
 [-0.48193206]]",-3127.0,2066.0
69,"[[ 0.75060108]
 [ 0.46007183]
 [-0.47426989]]",-3120.0,2071.0
70,"[[ 0.74392955]
 [ 0.45868518]
 [-0.48598018]]",-3083.0,2058.0
71,"[[ 0.7566469 ]
 [ 0.4536881 ]
 [-0.47079993]]",-3104.0,2062.0
72,"[[ 0.76007054]
 [ 0.45044869]
 [-0.46838953]]",-3128.0,2062.0
73,"[[ 0.74849559]
 [ 0.47070408]
 [-0.46711029]]",-3135.0,2092.0
74,"[[ 0.75145794]
 [ 0.4634003 ]
 [-0.46965   ]]",-3137.0,2100.0
75,"[[ 0.75334605]
 [ 0.46600868]
 [-0.46401039]]",-3153.0,2117.0
76,"[[ 0.7546635 ]
 [ 0.46783117]
 [-0.46001848]]",-3174.0,2136.0
77,"[[ 0.74530181]
 [ 0.48229545]
 [-0.46034369]]",-3182.0,2174.0
78,"[[ 0.73802363]
 [ 0.49080575]
 [-0.46306678]]",-3172.0,2209.0
79,"[[ 0.74143535]
 [ 0.48137728]
 [-0.46749282]]",-3159.0,2216.0
80,"[[ 0.74435353]
 [ 0.47334973]
 [-0.47103912]]",-3143.0,2203.0
81,"[[ 0.7550213 ]
 [ 0.45298757]
 [-0.47407288]]",-3141.0,2164.0
82,"[[ 0.74490214]
 [ 0.46714201]
 [-0.47633932]]",-3118.0,2150.0
83,"[[ 0.74544372]
 [ 0.47737183]
 [-0.46522016]]",-3125.0,2167.0
84,"[[ 0.75056889]
 [ 0.47440741]
 [-0.45998255]]",-3146.0,2183.0
85,"[[ 0.74785051]
 [ 0.45256341]
 [-0.48570153]]",-3114.0,2137.0
86,"[[ 0.75542839]
 [ 0.37595511]
 [-0.53664299]]",-3007.0,1958.0
87,"[[ 0.72963617]
 [ 0.29183984]
 [-0.61843397]]",-2789.0,1684.0
88,"[[ 0.74047577]
 [ 0.31900843]
 [-0.59154819]]",-2675.0,1527.0
89,"[[ 0.73991241]
 [ 0.36480019]
 [-0.56519947]]",-2629.0,1480.0
90,"[[ 0.77278679]
 [ 0.36124499]
 [-0.52182624]]",-2700.0,1474.0
91,"[[ 0.76653706]
 [ 0.39398016]
 [-0.50714946]]",-2771.0,1523.0
92,"[[ 0.76815706]
 [ 0.40486738]
 [-0.49600114]]",-2841.0,1581.0
93,"[[ 0.78580646]
 [ 0.40739291]
 [-0.46533775]]",-2978.0,1660.0
94,"[[ 0.78308323]
 [ 0.39203871]
 [-0.48279012]]",-3036.0,1678.0
95,"[[ 0.78759313]
 [ 0.41021953]
 [-0.45980105]]",-3134.0,1740.0
96,"[[ 0.79204185]
 [ 0.41173437]
 [-0.45071556]]",-3234.0,1800.0
97,"[[ 0.79368871]
 [ 0.42151755]
 [-0.4386128 ]]",-3342.0,1873.0
98,"[[ 0.79472682]
 [ 0.42027345]
 [-0.43792638]]",-3424.0,1926.0
99,"[[ 0.81512902]
 [ 0.39406493]
 [-0.42459099]]",-3548.0,1944.0
100,"[[ 0.82520194]
 [ 0.38122233]
 [-0.41678686]]",-3674.0,1947.0
101,"[[ 0.85817376]
 [ 0.33356271]
 [-0.39022265]]",-3899.0,1910.0
102,"[[ 0.87572957]
 [ 0.30819026]
 [-0.37164026]]",-4160.0,1867.0
103,"[[ 0.8712721 ]
 [ 0.33115288]
 [-0.36224674]]",-4384.0,1889.0
104,"[[ 0.87090504]
 [ 0.31874767]
 [-0.37406462]]",-4493.0,1865.0
