frame,res,X,Y
1,"[[ 0.0337506 ]
 [ 0.2951855 ]
 [-0.95484366]]",796.0,610.0
2,"[[-0.03517882]
 [ 0.28736616]
 [-0.95717456]]",838.0,614.0
3,"[[-0.01068572]
 [ 0.29053528]
 [-0.95680461]]",852.0,621.0
4,"[[ 6.09086773e-04]
 [ 2.91447667e-01]
 [-9.56586581e-01]]",854.0,625.0
5,"[[-0.00714287]
 [ 0.29794585]
 [-0.95455605]]",861.0,634.0
6,"[[-0.00674586]
 [ 0.28561114]
 [-0.95832185]]",867.0,630.0
7,"[[-0.01667829]
 [ 0.29199898]
 [-0.9562732 ]]",879.0,634.0
8,"[[-0.01084915]
 [ 0.28802148]
 [-0.95756249]]",882.0,633.0
9,"[[-0.00619592]
 [ 0.29154975]
 [-0.9565356 ]]",880.0,636.0
10,"[[ 0.01524135]
 [ 0.30644007]
 [-0.95176793]]",860.0,652.0
11,"[[ 0.01093344]
 [ 0.2922071 ]
 [-0.95629257]]",849.0,649.0
12,"[[ 0.00946691]
 [ 0.29153089]
 [-0.95651457]]",842.0,648.0
13,"[[-0.00432325]
 [ 0.27957823]
 [-0.96011318]]",849.0,637.0
14,"[[-0.00296353]
 [ 0.28424644]
 [-0.95874667]]",852.0,632.0
15,"[[-0.0129894 ]
 [ 0.2880108 ]
 [-0.95753906]]",863.0,631.0
16,"[[-0.01731083]
 [ 0.28401671]
 [-0.95866305]]",874.0,628.0
17,"[[-0.01312252]
 [ 0.28523328]
 [-0.95836829]]",879.0,627.0
18,"[[-0.00648817]
 [ 0.28687454]
 [-0.95794619]]",877.0,628.0
19,"[[-0.00534048]
 [ 0.28867511]
 [-0.95741222]]",875.0,630.0
20,"[[-0.01716664]
 [ 0.27729896]
 [-0.96063031]]",882.0,621.0
21,"[[-0.01230735]
 [ 0.2881184 ]
 [-0.9575157 ]]",884.0,623.0
22,"[[-0.01468513]
 [ 0.2881408 ]
 [-0.95747545]]",887.0,625.0
23,"[[-0.00988228]
 [ 0.28821681]
 [-0.95751418]]",885.0,627.0
24,"[[-0.00990934]
 [ 0.28614277]
 [-0.95813575]]",884.0,627.0
25,"[[-0.0137968 ]
 [ 0.2921389 ]
 [-0.95627638]]",885.0,631.0
26,"[[-0.03077932]
 [ 0.2915399 ]
 [-0.95606335]]",901.0,634.0
27,"[[-0.01968862]
 [ 0.28907385]
 [-0.95710431]]",904.0,632.0
28,"[[-0.01804035]
 [ 0.29808609]
 [-0.9543685 ]]",904.0,639.0
29,"[[-0.0037737 ]
 [ 0.30283966]
 [-0.95303405]]",894.0,649.0
30,"[[-0.00905308]
 [ 0.29042124]
 [-0.95685607]]",890.0,645.0
31,"[[ 0.01118003]
 [ 0.28752334]
 [-0.95770838]]",871.0,639.0
32,"[[ 0.00424423]
 [ 0.28858749]
 [-0.95744412]]",863.0,635.0
33,"[[-0.00111993]
 [ 0.29291462]
 [-0.95613795]]",861.0,635.0
34,"[[ 0.00735858]
 [ 0.28998892]
 [-0.95700171]]",853.0,633.0
35,"[[ 0.00801472]
 [ 0.28845862]
 [-0.95745882]]",847.0,632.0
36,"[[ 0.01163692]
 [ 0.29855945]
 [-0.95432009]]",839.0,640.0
37,"[[ 0.0117618 ]
 [ 0.29770064]
 [-0.95458682]]",833.0,645.0
38,"[[ 0.00670353]
 [ 0.30120253]
 [-0.95353663]]",833.0,653.0
39,"[[ 0.0072843 ]
 [ 0.29639901]
 [-0.95503642]]",832.0,654.0
40,"[[ 0.0057609 ]
 [ 0.29331322]
 [-0.95599904]]",833.0,652.0
41,"[[ 0.0072653 ]
 [ 0.29157032]
 [-0.9565218 ]]",832.0,649.0
42,"[[ 0.0049524 ]
 [ 0.28903391]
 [-0.95730605]]",833.0,643.0
43,"[[ 0.00477199]
 [ 0.28214535]
 [-0.9593598 ]]",834.0,633.0
44,"[[ 0.00260565]
 [ 0.2792067 ]
 [-0.96022749]]",837.0,623.0
45,"[[ 0.01381802]
 [ 0.29567761]
 [-0.95518784]]",829.0,630.0
46,"[[ 0.01991427]
 [ 0.29395115]
 [-0.95561297]]",819.0,636.0
47,"[[ 0.0185795 ]
 [ 0.29938092]
 [-0.95395276]]",812.0,645.0
