frame,res,X,Y
1,"[[ 0.66981919]
 [ 0.29192602]
 [-0.68273087]]",-2579.0,1747.0
2,"[[ 0.58793651]
 [ 0.04249991]
 [-0.80778983]]",-2350.0,1322.0
3,"[[ 0.64952227]
 [ 0.14238581]
 [-0.74689163]]",-2316.0,1123.0
4,"[[ 0.67230861]
 [ 0.26728675]
 [-0.69033248]]",-2389.0,1145.0
5,"[[ 0.70205509]
 [ 0.30541691]
 [-0.64330332]]",-2554.0,1239.0
6,"[[ 0.71917698]
 [ 0.3801873 ]
 [-0.58158583]]",-2798.0,1460.0
7,"[[ 0.71517876]
 [ 0.35974213]
 [-0.59925366]]",-2925.0,1568.0
8,"[[ 0.68278709]
 [ 0.16578872]
 [-0.71155877]]",-2812.0,1334.0
9,"[[ 0.70889952]
 [ 0.34542929]
 [-0.61493095]]",-2898.0,1441.0
10,"[[ 0.70374153]
 [ 0.39718688]
 [-0.58905895]]",-2999.0,1615.0
11,"[[ 0.70697453]
 [ 0.42210923]
 [-0.56745997]]",-3117.0,1801.0
12,"[[ 0.70503197]
 [ 0.39420043]
 [-0.58952179]]",-3154.0,1869.0
13,"[[ 0.70445326]
 [ 0.37068753]
 [-0.60525726]]",-3154.0,1873.0
14,"[[ 0.70896993]
 [ 0.41519951]
 [-0.57006228]]",-3225.0,1976.0
15,"[[ 0.70674431]
 [ 0.37926721]
 [-0.5972176 ]]",-3222.0,1971.0
16,"[[ 0.70702506]
 [ 0.41085089]
 [-0.57560152]]",-3251.0,2029.0
17,"[[ 0.70022796]
 [ 0.34088699]
 [-0.62727734]]",-3187.0,1933.0
18,"[[ 0.7053303]
 [ 0.3879641]
 [-0.59329  ]]",-3196.0,1953.0
19,"[[ 0.70979236]
 [ 0.41424351]
 [-0.56973426]]",-3249.0,2029.0
20,"[[ 0.70582936]
 [ 0.36451481]
 [-0.60739927]]",-3213.0,1976.0
21,"[[ 0.70504031]
 [ 0.38359322]
 [-0.59646828]]",-3202.0,1973.0
22,"[[ 0.70392995]
 [ 0.37629935]
 [-0.6023964 ]]",-3180.0,1954.0
23,"[[ 0.70629949]
 [ 0.3813857 ]
 [-0.59639415]]",-3180.0,1953.0
24,"[[ 0.70620867]
 [ 0.37010288]
 [-0.60356704]]",-3166.0,1930.0
25,"[[ 0.70844538]
 [ 0.3991921 ]
 [-0.58202303]]",-3198.0,1976.0
26,"[[ 0.70768284]
 [ 0.38069908]
 [-0.59519174]]",-3201.0,1972.0
27,"[[ 0.70638619]
 [ 0.39980377]
 [-0.5841023 ]]",-3216.0,2006.0
28,"[[ 0.69875997]
 [ 0.33741052]
 [-0.63078415]]",-3145.0,1905.0
29,"[[ 0.70130489]
 [ 0.33324196]
 [-0.63017557]]",-3094.0,1826.0
30,"[[ 0.70985486]
 [ 0.37868048]
 [-0.59389155]]",-3120.0,1856.0
31,"[[ 0.70844307]
 [ 0.37638662]
 [-0.59702724]]",-3132.0,1873.0
32,"[[ 0.7109565 ]
 [ 0.41195428]
 [-0.56994257]]",-3195.0,1964.0
33,"[[ 0.7075499 ]
 [ 0.36811036]
 [-0.60321464]]",-3180.0,1937.0
34,"[[ 0.70725351]
 [ 0.3787573 ]
 [-0.59693833]]",-3180.0,1939.0
35,"[[ 0.70654162]
 [ 0.36295204]
 [-0.607507  ]]",-3160.0,1908.0
36,"[[ 0.70624184]
 [ 0.3674289 ]
 [-0.60515987]]",-3150.0,1894.0
37,"[[ 0.70850079]
 [ 0.37074117]
 [-0.60048116]]",-3152.0,1891.0
38,"[[ 0.70879555]
 [ 0.38271837]
 [-0.59256689]]",-3171.0,1915.0
39,"[[ 0.70941132]
 [ 0.37749491]
 [-0.59517491]]",-3182.0,1925.0
40,"[[ 0.70741896]
 [ 0.37961051]
 [-0.59619987]]",-3185.0,1933.0
41,"[[ 0.71090117]
 [ 0.38081426]
 [-0.59126985]]",-3195.0,1942.0
42,"[[ 0.70779144]
 [ 0.39144642]
 [-0.58804845]]",-3200.0,1964.0
43,"[[ 0.71128842]
 [ 0.39768618]
 [-0.5795813 ]]",-3222.0,1997.0
44,"[[ 0.71260917]
 [ 0.40632435]
 [-0.57191669]]",-3249.0,2039.0
45,"[[ 0.70973889]
 [ 0.38260135]
 [-0.5915124 ]]",-3234.0,2019.0
46,"[[ 0.70977739]
 [ 0.3871892 ]
 [-0.58847309]]",-3227.0,2014.0
47,"[[ 0.71151262]
 [ 0.37961703]
 [-0.59130423]]",-3219.0,1996.0
48,"[[ 0.70859866]
 [ 0.35415915]
 [-0.61029438]]",-3178.0,1931.0
49,"[[ 0.71653507]
 [ 0.38321568]
 [-0.58285781]]",-3204.0,1948.0
50,"[[ 0.71452532]
 [ 0.37584924]
 [-0.59007704]]",-3209.0,1944.0
51,"[[ 0.71633432]
 [ 0.39718338]
 [-0.57368154]]",-3243.0,1987.0
52,"[[ 0.71120934]
 [ 0.36841235]
 [-0.59870996]]",-3217.0,1954.0
53,"[[ 0.70395398]
 [ 0.34316946]
 [-0.62183882]]",-3151.0,1877.0
54,"[[ 0.70183901]
 [ 0.31968019]
 [-0.63657409]]",-3083.0,1781.0
55,"[[ 0.71193573]
 [ 0.38503071]
 [-0.58728091]]",-3128.0,1841.0
56,"[[ 0.70570549]
 [ 0.34409497]
 [-0.61933708]]",-3103.0,1803.0
57,"[[ 0.7032254 ]
 [ 0.33070542]
 [-0.62937108]]",-3065.0,1750.0
58,"[[ 0.68984302]
 [ 0.32657816]
 [-0.64611401]]",-2999.0,1696.0
