frame,res,X,Y
1,"[[-0.09682822]
 [ 0.24599475]
 [-0.96442256]]",700.0,663.0
2,"[[-0.09503117]
 [ 0.23136942]
 [-0.96821344]]",728.0,665.0
3,"[[-0.07194648]
 [ 0.24021773]
 [-0.96804914]]",730.0,675.0
4,"[[-0.08203654]
 [ 0.2279786 ]
 [-0.97020398]]",743.0,670.0
5,"[[-0.07111154]
 [ 0.19541728]
 [-0.97813866]]",743.0,635.0
6,"[[-0.07702132]
 [ 0.18889995]
 [-0.97897116]]",749.0,603.0
7,"[[-0.07363375]
 [ 0.22011125]
 [-0.97269168]]",753.0,610.0
8,"[[-0.17970131]
 [ 0.18664182]
 [-0.96585313]]",854.0,583.0
9,"[[-0.23197895]
 [ 0.13646582]
 [-0.96310064]]",977.0,518.0
10,"[[-0.2616029 ]
 [ 0.12083132]
 [-0.95758222]]",1097.0,457.0
11,"[[-0.27602897]
 [ 0.13210177]
 [-0.9520279 ]]",1200.0,424.0
12,"[[-0.29628995]
 [ 0.12806753]
 [-0.94647291]]",1295.0,396.0
13,"[[-0.30862943]
 [ 0.13699351]
 [-0.94126545]]",1379.0,386.0
14,"[[-0.30468184]
 [ 0.12133122]
 [-0.94469451]]",1437.0,363.0
15,"[[-0.31868724]
 [ 0.11112934]
 [-0.94132285]]",1495.0,338.0
16,"[[-0.30002226]
 [ 0.1369209 ]
 [-0.94405472]]",1521.0,344.0
17,"[[-0.30627225]
 [ 0.1272674 ]
 [-0.94339828]]",1545.0,339.0
18,"[[-0.29830258]
 [ 0.11213665]
 [-0.94786125]]",1554.0,321.0
19,"[[-0.29814185]
 [ 0.12679588]
 [-0.94606249]]",1562.0,320.0
20,"[[-0.27820097]
 [ 0.13502443]
 [-0.95098508]]",1547.0,326.0
21,"[[-0.29080473]
 [ 0.1304971 ]
 [-0.94784129]]",1551.0,327.0
22,"[[-0.28642655]
 [ 0.12071452]
 [-0.95046717]]",1549.0,318.0
23,"[[-0.28812226]
 [ 0.11406807]
 [-0.95077549]]",1551.0,305.0
24,"[[-0.28272909]
 [ 0.11694443]
 [-0.95204425]]",1546.0,299.0
25,"[[-0.27733762]
 [ 0.13173091]
 [-0.95169891]]",1538.0,309.0
26,"[[-0.26992635]
 [ 0.12588553]
 [-0.95461647]]",1527.0,311.0
27,"[[-0.26817243]
 [ 0.11515916]
 [-0.95646323]]",1517.0,303.0
28,"[[-0.27092167]
 [ 0.1158034 ]
 [-0.95561029]]",1514.0,298.0
29,"[[-0.27224384]
 [ 0.09933603]
 [-0.95708706]]",1512.0,278.0
30,"[[-0.28092384]
 [ 0.08941065]
 [-0.95555614]]",1521.0,255.0
31,"[[-0.28021718]
 [ 0.10245279]
 [-0.95445364]]",1528.0,252.0
32,"[[-0.27874253]
 [ 0.10277244]
 [-0.954851  ]]",1533.0,250.0
33,"[[-0.27165015]
 [ 0.12682962]
 [-0.95400233]]",1534.0,274.0
34,"[[-0.28431466]
 [ 0.10779687]
 [-0.95265157]]",1550.0,274.0
35,"[[-0.28911687]
 [ 0.11919791]
 [-0.94984383]]",1569.0,286.0
36,"[[-0.25660273]
 [ 0.12230041]
 [-0.95874796]]",1552.0,300.0
37,"[[-0.27581407]
 [ 0.08814498]
 [-0.95716094]]",1564.0,278.0
38,"[[-0.28776414]
 [ 0.07322297]
 [-0.954898  ]]",1586.0,247.0
39,"[[-0.26205996]
 [ 0.08746368]
 [-0.96107996]]",1576.0,239.0
40,"[[-0.27383712]
 [ 0.10152188]
 [-0.95640292]]",1586.0,250.0
41,"[[-0.25799264]
 [ 0.12737648]
 [-0.95771344]]",1579.0,286.0
42,"[[-0.25963433]
 [ 0.14772681]
 [-0.95434103]]",1578.0,335.0
43,"[[-0.26395442]
 [ 0.12833211]
 [-0.95595969]]",1586.0,353.0
44,"[[-0.27278982]
 [ 0.12033469]
 [-0.95451835]]",1605.0,359.0
45,"[[-0.25012186]
 [ 0.11758082]
 [-0.96104829]]",1595.0,361.0
46,"[[-0.26624114]
 [ 0.10907815]
 [-0.95771479]]",1608.0,353.0
47,"[[-0.25784928]
 [ 0.11945359]
 [-0.95877244]]",1609.0,358.0
48,"[[-0.23373015]
 [ 0.11458201]
 [-0.96552637]]",1588.0,356.0
49,"[[-0.20860741]
 [ 0.15027344]
 [-0.96638545]]",1549.0,392.0
50,"[[-0.20794255]
 [ 0.16414286]
 [-0.9642702 ]]",1524.0,433.0
51,"[[-0.19976407]
 [ 0.13927301]
 [-0.96989553]]",1497.0,436.0
52,"[[-0.19611797]
 [ 0.14700344]
 [-0.9694987 ]]",1476.0,445.0
53,"[[-0.19454553]
 [ 0.14238849]
 [-0.97050376]]",1461.0,446.0
54,"[[-0.21903966]
 [ 0.12993578]
 [-0.9670255 ]]",1479.0,435.0
55,"[[-0.20789965]
 [ 0.12544866]
 [-0.97007235]]",1484.0,424.0
56,"[[-0.23087892]
 [ 0.09128064]
 [-0.96869127]]",1513.0,381.0
57,"[[-0.21373492]
 [ 0.07764894]
 [-0.97380081]]",1518.0,337.0
58,"[[-0.18897689]
 [ 0.1060199 ]
 [-0.97624153]]",1500.0,335.0
59,"[[-0.18469035]
 [ 0.1057967 ]
 [-0.97708573]]",1484.0,334.0
60,"[[-0.1936911 ]
 [ 0.09379747]
 [-0.97656838]]",1484.0,322.0
61,"[[-0.1790319 ]
 [ 0.10064897]
 [-0.97868144]]",1472.0,320.0
62,"[[-0.19045889]
 [ 0.11096891]
 [-0.97540315]]",1478.0,330.0
63,"[[-0.2155419 ]
 [ 0.09367563]
 [-0.97199103]]",1514.0,319.0
64,"[[-0.19484807]
 [ 0.1063167 ]
 [-0.97505435]]",1522.0,324.0
65,"[[-0.1757429 ]
 [ 0.10230106]
 [-0.97910619]]",1511.0,321.0
66,"[[-0.17744834]
 [ 0.11857651]
 [-0.97696044]]",1509.0,336.0
67,"[[-0.17348286]
 [ 0.0989287 ]
 [-0.9798555 ]]",1508.0,327.0
68,"[[-0.17094666]
 [ 0.09630974]
 [-0.98056192]]",1509.0,317.0
69,"[[-0.15590211]
 [ 0.11635138]
 [-0.98089596]]",1500.0,332.0
70,"[[-0.13029826]
 [ 0.10868459]
 [-0.98549989]]",1472.0,334.0
71,"[[-0.10770505]
 [ 0.10636477]
 [-0.98847669]]",1433.0,331.0
72,"[[-0.08776765]
 [ 0.12647199]
 [-0.98807979]]",1391.0,351.0
73,"[[-0.06733709]
 [ 0.15711111]
 [-0.98528261]]",1347.0,395.0
74,"[[-0.05800784]
 [ 0.17887363]
 [-0.98216053]]",1310.0,450.0
75,"[[-0.06889539]
 [ 0.16387367]
 [-0.98407258]]",1301.0,473.0
76,"[[-0.07123153]
 [ 0.1539942 ]
 [-0.98550081]]",1303.0,479.0
77,"[[-0.06724884]
 [ 0.14418177]
 [-0.9872635 ]]",1305.0,473.0
78,"[[-0.06973437]
 [ 0.12090161]
 [-0.99021206]]",1314.0,446.0
79,"[[-0.07808294]
 [ 0.10242245]
 [-0.99167167]]",1335.0,408.0
80,"[[-0.06633889]
 [ 0.10196999]
 [-0.99257306]]",1343.0,382.0
81,"[[-0.07477563]
 [ 0.07963837]
 [-0.99401526]]",1363.0,342.0
82,"[[-0.07863451]
 [ 0.08941789]
 [-0.99288522]]",1385.0,324.0
83,"[[-0.07910119]
 [ 0.04109882]
 [-0.99601902]]",1405.0,262.0
84,"[[-0.08010355]
 [ 0.03749187]
 [-0.99608121]]",1425.0,215.0
85,"[[-0.08142079]
 [ 0.04782154]
 [-0.9955319 ]]",1447.0,193.0
86,"[[-0.07810594]
 [ 0.07277811]
 [-0.99428507]]",1464.0,205.0
87,"[[-0.07297516]
 [ 0.08615664]
 [-0.99360538]]",1475.0,229.0
88,"[[-0.08571932]
 [ 0.05459304]
 [-0.9948225 ]]",1499.0,215.0
89,"[[-0.07486964]
 [ 0.07202242]
 [-0.99458901]]",1510.0,225.0
90,"[[-0.07603482]
 [ 0.09232489]
 [-0.99282165]]",1524.0,257.0
91,"[[-0.09917856]
 [ 0.08949808]
 [-0.99103668]]",1563.0,280.0
92,"[[-0.07975031]
 [ 0.11150353]
 [-0.99055886]]",1573.0,324.0
