frame,res,X,Y
1,"[[-0.20638198]
 [ 0.15339692]
 [-0.96637253]]",595.0,586.0
2,"[[-0.22716034]
 [ 0.08079904]
 [-0.97049971]]",702.0,475.0
3,"[[-0.12189149]
 [ 0.19952125]
 [-0.97228275]]",707.0,479.0
4,"[[-0.12411063]
 [ 0.17985038]
 [-0.97583318]]",714.0,468.0
5,"[[-0.12321959]
 [ 0.19367867]
 [-0.97329621]]",720.0,469.0
6,"[[-0.14739686]
 [ 0.19024358]
 [-0.97060885]]",742.0,468.0
7,"[[-0.1541912 ]
 [ 0.18444162]
 [-0.97067315]]",763.0,463.0
8,"[[-0.14931942]
 [ 0.18429635]
 [-0.97146208]]",775.0,459.0
9,"[[-0.1640405 ]
 [ 0.16912041]
 [-0.97184824]]",794.0,445.0
10,"[[-0.15105393]
 [ 0.18236915]
 [-0.97155762]]",798.0,444.0
11,"[[-0.14829078]
 [ 0.16829507]
 [-0.97451866]]",800.0,433.0
12,"[[-0.12257391]
 [ 0.17056698]
 [-0.97769246]]",781.0,427.0
13,"[[-0.11060734]
 [ 0.1649412 ]
 [-0.98008184]]",760.0,418.0
14,"[[-0.12241626]
 [ 0.16532785]
 [-0.97861175]]",753.0,411.0
15,"[[-0.09946319]
 [ 0.19143405]
 [-0.9764528 ]]",731.0,426.0
16,"[[-0.1369095 ]
 [ 0.16327771]
 [-0.97703438]]",742.0,417.0
17,"[[-0.14166606]
 [ 0.14163262]
 [-0.97973003]]",754.0,394.0
18,"[[-0.17828832]
 [ 0.13353245]
 [-0.97487556]]",791.0,372.0
19,"[[-0.17286369]
 [ 0.13862594]
 [-0.97514153]]",814.0,361.0
20,"[[-0.16818091]
 [ 0.15779355]
 [-0.9730449 ]]",828.0,366.0
21,"[[-0.16694585]
 [ 0.12637139]
 [-0.97783401]]",837.0,346.0
22,"[[-0.20630062]
 [ 0.10779718]
 [-0.97253269]]",873.0,319.0
23,"[[-0.20759989]
 [ 0.09821016]
 [-0.97327131]]",901.0,292.0
24,"[[-0.20474984]
 [ 0.08532664]
 [-0.97508813]]",920.0,264.0
25,"[[-0.22176275]
 [ 0.10392201]
 [-0.96954706]]",948.0,256.0
26,"[[-0.22571195]
 [ 0.09793971]
 [-0.96925844]]",970.0,247.0
27,"[[-0.21333544]
 [ 0.10343745]
 [-0.97148787]]",977.0,244.0
28,"[[-0.22307693]
 [ 0.09390363]
 [-0.97026738]]",990.0,235.0
29,"[[-0.22672657]
 [ 0.09857637]
 [-0.96895705]]",1003.0,232.0
30,"[[-0.21381238]
 [ 0.09183455]
 [-0.97254855]]",1003.0,225.0
31,"[[-0.19874413]
 [ 0.10407803]
 [-0.97450938]]",992.0,229.0
32,"[[-0.25189731]
 [ 0.15653806]
 [-0.95500973]]",1025.0,272.0
33,"[[-0.22888708]
 [ 0.10815493]
 [-0.96742608]]",1032.0,267.0
34,"[[-0.23323517]
 [ 0.10602301]
 [-0.96662323]]",1039.0,261.0
35,"[[-0.21729504]
 [ 0.12374464]
 [-0.96823041]]",1033.0,270.0
36,"[[-0.22643221]
 [ 0.11824644]
 [-0.96682275]]",1035.0,272.0
37,"[[-0.19266787]
 [ 0.14134256]
 [-0.97103109]]",1012.0,290.0
38,"[[-0.18674054]
 [ 0.12254722]
 [-0.97473594]]",991.0,289.0
39,"[[-0.18704707]
 [ 0.11977041]
 [-0.97502228]]",977.0,287.0
40,"[[-0.17134147]
 [ 0.12919981]
 [-0.97670339]]",955.0,292.0
41,"[[-0.19046265]
 [ 0.10493278]
 [-0.97607023]]",953.0,279.0
42,"[[-0.18469604]
 [ 0.1101456 ]
 [-0.97660397]]",948.0,273.0
43,"[[-0.18619819]
 [ 0.13149   ]
 [-0.97367377]]",946.0,285.0
44,"[[-0.18550478]
 [ 0.12096044]
 [-0.97517001]]",944.0,286.0
45,"[[-0.17697894]
 [ 0.13188362]
 [-0.97533849]]",937.0,296.0
46,"[[-0.17851151]
 [ 0.13034481]
 [-0.97526605]]",933.0,301.0
47,"[[-0.20280477]
 [ 0.11624548]
 [-0.97229482]]",948.0,294.0
48,"[[-0.19160844]
 [ 0.13991363]
 [-0.97144757]]",950.0,306.0
49,"[[-0.21435167]
 [ 0.10323361]
 [-0.97128584]]",969.0,288.0
50,"[[-0.21007092]
 [ 0.09429821]
 [-0.97312797]]",979.0,268.0
51,"[[-0.20325167]
 [ 0.09083433]
 [-0.97490404]]",981.0,252.0
52,"[[-0.213212  ]
 [ 0.07476138]
 [-0.97414135]]",991.0,228.0
53,"[[-0.18860063]
 [ 0.11143224]
 [-0.97571136]]",980.0,238.0
54,"[[-0.1920836 ]
 [ 0.10805737]
 [-0.97541145]]",976.0,243.0
55,"[[-0.23076482]
 [ 0.08004962]
 [-0.96971112]]",1002.0,227.0
56,"[[-0.21226106]
 [ 0.09344614]
 [-0.97273484]]",1006.0,224.0
57,"[[-0.19383438]
 [ 0.07332209]
 [-0.9782904 ]]",994.0,206.0
58,"[[-0.1866695 ]
 [ 0.09234906]
 [-0.97807267]]",980.0,208.0
59,"[[-0.15720233]
 [ 0.10880585]
 [-0.98155424]]",948.0,221.0
60,"[[-0.14421215]
 [ 0.11158684]
 [-0.98323509]]",914.0,231.0
61,"[[-0.11994624]
 [ 0.1535079 ]
 [-0.98084057]]",872.0,270.0
62,"[[-0.14674889]
 [ 0.11160139]
 [-0.98285802]]",860.0,267.0
63,"[[-0.11051057]
 [ 0.08358363]
 [-0.99035407]]",826.0,245.0
64,"[[-0.09899644]
 [ 0.09600772]
 [-0.99044547]]",792.0,238.0
65,"[[-0.09641726]
 [ 0.11037129]
 [-0.98920265]]",765.0,244.0
66,"[[-0.08106576]
 [ 0.12161714]
 [-0.98926115]]",735.0,255.0
67,"[[-0.08609698]
 [ 0.10812547]
 [-0.99040204]]",716.0,253.0
68,"[[-0.09398927]
 [ 0.12764512]
 [-0.98735644]]",708.0,266.0
69,"[[-0.08102935]
 [ 0.12965579]
 [-0.98824269]]",693.0,277.0
70,"[[-0.08141966]
 [ 0.1589423 ]
 [-0.98392489]]",683.0,306.0
71,"[[-0.08666762]
 [ 0.12036245]
 [-0.98893964]]",679.0,300.0
72,"[[-0.09345572]
 [ 0.12049377]
 [-0.98830526]]",682.0,295.0
73,"[[-0.07826737]
 [ 0.13460796]
 [-0.98780308]]",673.0,302.0
74,"[[-0.07469339]
 [ 0.12337635]
 [-0.98954493]]",664.0,299.0
75,"[[-0.08094016]
 [ 0.11945782]
 [-0.9895345 ]]",662.0,294.0
76,"[[-0.11837875]
 [ 0.0896208 ]
 [-0.98891586]]",687.0,268.0
77,"[[-0.0839739 ]
 [ 0.11875417]
 [-0.98936638]]",681.0,270.0
78,"[[-0.08996437]
 [ 0.11337083]
 [-0.98947131]]",681.0,268.0
79,"[[-0.11138532]
 [ 0.09836595]
 [-0.98889709]]",697.0,256.0
80,"[[-0.08765914]
 [ 0.13357263]
 [-0.98715461]]",691.0,273.0
81,"[[-0.08963814]
 [ 0.15265476]
 [-0.98420604]]",688.0,299.0
82,"[[-0.10656674]
 [ 0.15386521]
 [-0.98232837]]",698.0,318.0
83,"[[-0.13595423]
 [ 0.14014645]
 [-0.98075248]]",726.0,323.0
84,"[[-0.15833913]
 [ 0.12735975]
 [-0.97913646]]",763.0,318.0
85,"[[-0.1918691 ]
 [ 0.10068478]
 [-0.9762422 ]]",815.0,295.0
86,"[[-0.18574237]
 [ 0.12559728]
 [-0.9745384 ]]",848.0,297.0
87,"[[-0.19101402]
 [ 0.09933629]
 [-0.97654797]]",876.0,279.0
88,"[[-0.20106295]
 [ 0.10738261]
 [-0.97367483]]",904.0,273.0
89,"[[-0.19603729]
 [ 0.113386  ]
 [-0.97401899]]",922.0,273.0
90,"[[-0.18747966]
 [ 0.12770212]
 [-0.973932  ]]",929.0,283.0
91,"[[-0.19772019]
 [ 0.12080049]
 [-0.9727867 ]]",941.0,285.0
92,"[[-0.18683716]
 [ 0.13182458]
 [-0.97350611]]",942.0,295.0
93,"[[-0.18760798]
 [ 0.09581168]
 [-0.9775599 ]]",943.0,276.0
94,"[[-0.140949  ]
 [ 0.11183113]
 [-0.98368042]]",909.0,273.0
95,"[[-0.13127817]
 [ 0.1061603 ]
 [-0.98564498]]",878.0,267.0
96,"[[-0.10135949]
 [ 0.10875638]
 [-0.98888741]]",833.0,265.0
97,"[[-0.08646438]
 [ 0.12385641]
 [-0.98852592]]",791.0,275.0
98,"[[-0.07844639]
 [ 0.13257676]
 [-0.98806354]]",753.0,288.0
99,"[[-0.07398826]
 [ 0.12607604]
 [-0.98925758]]",724.0,292.0
100,"[[-0.08929505]
 [ 0.11469276]
 [-0.98937959]]",713.0,287.0
101,"[[-0.06820726]
 [ 0.13408314]
 [-0.98861999]]",690.0,298.0
102,"[[-0.079042  ]
 [ 0.14613667]
 [-0.98610164]]",682.0,315.0
103,"[[-0.08273352]
 [ 0.13173883]
 [-0.98782592]]",678.0,317.0
104,"[[-0.08769659]
 [ 0.16187589]
 [-0.98290666]]",679.0,342.0
105,"[[-0.07801111]
 [ 0.18181347]
 [-0.98023371]]",673.0,373.0
106,"[[-0.08127484]
 [ 0.18093502]
 [-0.98013107]]",671.0,396.0
107,"[[-0.07382429]
 [ 0.17381057]
 [-0.98200808]]",665.0,407.0
108,"[[-0.07685477]
 [ 0.18329477]
 [-0.98004917]]",662.0,422.0
109,"[[-0.0693918 ]
 [ 0.19212156]
 [-0.97891475]]",655.0,440.0
110,"[[-0.07168484]
 [ 0.18859293]
 [-0.97943555]]",651.0,450.0
111,"[[-0.07754084]
 [ 0.18955732]
 [-0.97880307]]",653.0,458.0
112,"[[-0.07424289]
 [ 0.19242483]
 [-0.9784992 ]]",651.0,465.0
113,"[[-0.08667888]
 [ 0.17450429]
 [-0.98083384]]",659.0,457.0
114,"[[-0.09271881]
 [ 0.17784824]
 [-0.97968016]]",669.0,454.0
115,"[[-0.10252421]
 [ 0.18400359]
 [-0.97756405]]",684.0,456.0
116,"[[-0.1106123 ]
 [ 0.19206714]
 [-0.97512827]]",700.0,463.0
117,"[[-0.1010843 ]
 [ 0.18133343]
 [-0.97821273]]",706.0,460.0
118,"[[-0.10360885]
 [ 0.19713217]
 [-0.97488672]]",712.0,469.0
119,"[[-0.10564842]
 [ 0.19780639]
 [-0.97453119]]",718.0,477.0
120,"[[-0.08829061]
 [ 0.19265978]
 [-0.97728551]]",709.0,479.0
