frame,res,X,Y
1,"[[ 0.2600575 ]
 [ 0.37792991]
 [-0.88856012]]",-100.0,1104.0
2,"[[ 0.2585849 ]
 [ 0.37616641]
 [-0.88973742]]",-107.0,1121.0
3,"[[ 0.26274723]
 [ 0.37867509]
 [-0.88745089]]",-118.0,1137.0
4,"[[ 0.26016382]
 [ 0.37557849]
 [-0.88952548]]",-122.0,1145.0
5,"[[ 0.25725454]
 [ 0.37760089]
 [-0.88951541]]",-123.0,1152.0
6,"[[ 0.259238  ]
 [ 0.3768343 ]
 [-0.88926462]]",-125.0,1157.0
7,"[[ 0.25947032]
 [ 0.37775486]
 [-0.88880618]]",-127.0,1161.0
8,"[[ 0.24379004]
 [ 0.29355855]
 [-0.92433208]]",-107.0,1081.0
9,"[[ 0.26884945]
 [ 0.29005921]
 [-0.91846918]]",-116.0,1024.0
10,"[[ 0.24753218]
 [ 0.29584445]
 [-0.92260711]]",-105.0,987.0
11,"[[ 0.19618179]
 [ 0.3316781 ]
 [-0.92276884]]",-52.0,990.0
12,"[[ 0.17761622]
 [ 0.29549675]
 [-0.93868746]]",4.0,957.0
13,"[[ 0.20359686]
 [ 0.32308028]
 [-0.9242118 ]]",21.0,960.0
14,"[[ 0.22338349]
 [ 0.34168277]
 [-0.91288154]]",15.0,980.0
15,"[[ 0.24047807]
 [ 0.36294116]
 [-0.90024664]]",-8.0,1019.0
16,"[[ 0.24550046]
 [ 0.37033646]
 [-0.89586853]]",-29.0,1054.0
17,"[[ 0.24482134]
 [ 0.36560486]
 [-0.89799532]]",-43.0,1073.0
18,"[[ 0.24953312]
 [ 0.36072608]
 [-0.89867119]]",-58.0,1084.0
19,"[[ 0.24631167]
 [ 0.35619764]
 [-0.9013622 ]]",-64.0,1085.0
20,"[[ 0.25922177]
 [ 0.36533198]
 [-0.89405627]]",-81.0,1096.0
21,"[[ 0.26057917]
 [ 0.36842908]
 [-0.89238921]]",-97.0,1110.0
22,"[[ 0.25952908]
 [ 0.37107166]
 [-0.89159995]]",-108.0,1124.0
23,"[[ 0.26092307]
 [ 0.35692266]
 [-0.89695338]]",-114.0,1116.0
24,"[[ 0.25604819]
 [ 0.35296874]
 [-0.89991799]]",-115.0,1108.0
25,"[[ 0.2592431 ]
 [ 0.37324646]
 [-0.890775  ]]",-120.0,1125.0
