,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,781,504,781,504,827,462
1,1,776,522,776,522,819,482
2,2,767,537,767,537,808,498
3,3,763,545,763,545,803,508
4,4,763,553,763,553,801,517
5,5,761,558,761,558,799,523
6,6,760,562,760,562,796,528
7,7,773,473,773,473,821,427
8,8,760,399,760,399,809,347
9,9,768,359,768,359,815,306
10,10,819,386,819,386,867,334
11,11,870,370,870,370,915,319
12,12,887,382,887,382,933,331
13,13,883,403,883,403,930,354
14,14,864,441,864,441,912,394
15,15,846,475,846,475,894,431
16,16,834,492,834,492,881,449
17,17,820,499,820,499,867,457
18,18,815,497,815,497,861,455
19,19,799,503,799,503,845,461
20,20,785,513,785,513,829,472
21,21,775,525,775,525,818,486
22,22,769,513,769,513,813,471
23,23,767,503,767,503,813,459
24,24,764,521,764,521,807,480
25,25,754,532,754,532,796,493
26,26,756,533,756,533,797,494
27,27,758,532,758,532,799,492
28,28,753,532,753,532,795,492
29,29,748,540,748,540,788,502
30,30,753,520,753,520,796,479
31,31,754,519,754,519,797,478
32,32,757,498,757,498,802,454
33,33,762,460,762,460,810,411
34,34,749,480,749,480,796,434
35,35,752,471,752,471,800,423
36,36,755,483,755,483,802,437
37,37,755,480,755,480,802,434
38,38,751,471,751,471,799,424
39,39,748,466,748,466,796,419
40,40,744,472,744,472,792,424
41,41,743,480,743,480,791,433
42,42,742,487,742,487,788,442
43,43,747,486,747,486,793,440
44,44,752,476,752,476,799,430
45,45,760,477,760,477,808,430
46,46,765,476,765,476,812,430
47,47,768,483,768,483,815,437
48,48,776,472,776,472,824,425
49,49,777,464,777,464,826,417
50,50,779,456,779,456,828,408
51,51,784,442,784,442,833,393
52,52,790,461,790,461,839,413
53,53,786,468,786,468,834,422
54,54,791,466,791,466,840,419
55,55,796,460,796,460,844,412
56,56,801,459,801,459,850,411
57,57,794,465,794,465,842,418
58,58,795,455,795,455,844,407
59,59,790,449,790,449,839,400
60,60,782,447,782,447,831,399
61,61,771,442,771,442,820,393
62,62,765,444,765,444,814,395
63,63,760,451,760,451,808,402
64,64,755,453,755,453,804,404
65,65,781,328,781,328,825,275
66,66,723,281,723,281,763,231
67,67,665,361,665,361,715,309
68,68,674,422,674,422,723,371
