frame,res,X,Y
1,"[[-0.09522842]
 [ 0.21363029]
 [-0.97226213]]",1110.0,324.0
2,"[[-0.11776702]
 [ 0.19178766]
 [-0.97434512]]",1077.0,330.0
3,"[[-0.11972915]
 [ 0.20954839]
 [-0.97044031]]",1055.0,345.0
4,"[[-0.13552913]
 [ 0.19535681]
 [-0.97132259]]",1048.0,348.0
5,"[[-0.13567684]
 [ 0.19839238]
 [-0.97068649]]",1044.0,351.0
6,"[[-0.14528963]
 [ 0.18531706]
 [-0.97187886]]",1048.0,345.0
7,"[[-0.13843229]
 [ 0.19390317]
 [-0.97120444]]",1046.0,347.0
8,"[[-0.01354775]
 [ 0.25591717]
 [-0.96660378]]",971.0,387.0
9,"[[-0.0285749 ]
 [ 0.25254984]
 [-0.96716185]]",925.0,412.0
10,"[[-0.0276664 ]
 [ 0.26892023]
 [-0.96276502]]",891.0,441.0
11,"[[-0.03982418]
 [ 0.25132906]
 [-0.96708208]]",874.0,450.0
12,"[[-0.05219979]
 [ 0.25168748]
 [-0.96639981]]",869.0,458.0
13,"[[-0.03177482]
 [ 0.27159544]
 [-0.96188683]]",853.0,476.0
14,"[[-0.02519426]
 [ 0.24375549]
 [-0.96950942]]",838.0,473.0
15,"[[-0.01357714]
 [ 0.27052958]
 [-0.96261592]]",821.0,488.0
16,"[[ 0.00436317]
 [ 0.26482713]
 [-0.96428603]]",797.0,496.0
17,"[[-0.01239456]
 [ 0.26297664]
 [-0.96472258]]",791.0,500.0
18,"[[-0.00214137]
 [ 0.27001367]
 [-0.96285411]]",780.0,508.0
19,"[[ 0.01326559]
 [ 0.25598202]
 [-0.96659052]]",764.0,505.0
20,"[[-0.01781114]
 [ 0.28046502]
 [-0.95969898]]",771.0,519.0
21,"[[-0.00269492]
 [ 0.24789801]
 [-0.96878239]]",767.0,507.0
22,"[[-0.00256567]
 [ 0.2684388 ]
 [-0.96329332]]",765.0,512.0
23,"[[-0.00301662]
 [ 0.25547884]
 [-0.96680994]]",764.0,508.0
24,"[[-0.00761708]
 [ 0.26861381]
 [-0.96321784]]",766.0,513.0
25,"[[-0.02265702]
 [ 0.2538239 ]
 [-0.96698505]]",777.0,508.0
26,"[[-0.01913233]
 [ 0.25283695]
 [-0.96731972]]",783.0,504.0
27,"[[-0.03827944]
 [ 0.24245536]
 [-0.96940708]]",798.0,494.0
28,"[[-0.03605765]
 [ 0.27260105]
 [-0.96145126]]",808.0,507.0
29,"[[-0.10010947]
 [ 0.24805837]
 [-0.96355858]]",854.0,502.0
30,"[[-0.06536609]
 [ 0.2706598 ]
 [-0.9604533 ]]",868.0,516.0
31,"[[-0.01461252]
 [ 0.26101714]
 [-0.96522356]]",846.0,521.0
32,"[[-0.01586546]
 [ 0.33270377]
 [-0.94289792]]",831.0,573.0
33,"[[-0.06651747]
 [ 0.32276974]
 [-0.94413724]]",852.0,603.0
34,"[[-0.06887685]
 [ 0.31530077]
 [-0.94648899]]",868.0,618.0
35,"[[-0.04892227]
 [ 0.29481862]
 [-0.95430005]]",866.0,616.0
36,"[[-0.01681421]
 [ 0.27220429]
 [-0.96209257]]",845.0,599.0
37,"[[-0.05304137]
 [ 0.23271693]
 [-0.97109703]]",852.0,560.0
38,"[[-0.02281422]
 [ 0.22365224]
 [-0.97440196]]",839.0,525.0
39,"[[-0.01257237]
 [ 0.23719591]
 [-0.97138048]]",823.0,507.0
40,"[[-0.03262309]
 [ 0.23557366]
 [-0.9713088 ]]",824.0,493.0
41,"[[-0.01230986]
 [ 0.24252565]
 [-0.97006689]]",812.0,489.0
42,"[[-0.0223526 ]
 [ 0.25414527]
 [-0.96690772]]",810.0,493.0
43,"[[-0.00939845]
 [ 0.24844213]
 [-0.96860115]]",801.0,491.0
44,"[[-0.02547207]
 [ 0.25425022]
 [-0.96680298]]",804.0,494.0
45,"[[-0.00743135]
 [ 0.25065716]
 [-0.9680474 ]]",796.0,493.0
46,"[[-3.18400330e-04]
 [ 2.53511384e-01]
 [-9.67332351e-01]]",785.0,495.0
47,"[[-0.00691485]
 [ 0.25752669]
 [-0.96624644]]",782.0,498.0
48,"[[-0.01973631]
 [ 0.25588983]
 [-0.96650446]]",786.0,500.0
49,"[[-0.02301094]
 [ 0.24154177]
 [-0.97011756]]",791.0,491.0
50,"[[-0.0280953 ]
 [ 0.24520768]
 [-0.96906339]]",798.0,487.0
51,"[[-0.02197319]
 [ 0.26009811]
 [-0.96533215]]",800.0,494.0
52,"[[-0.01198181]
 [ 0.25639033]
 [-0.96649906]]",795.0,498.0
53,"[[-0.02598845]
 [ 0.25523161]
 [-0.96653061]]",800.0,499.0
54,"[[-0.02118717]
 [ 0.25467623]
 [-0.96679425]]",801.0,499.0
55,"[[-0.01854165]
 [ 0.2609322 ]
 [-0.96517905]]",800.0,503.0
56,"[[-0.01526554]
 [ 0.26774098]
 [-0.96336999]]",796.0,511.0
57,"[[-0.04359124]
 [ 0.26477179]
 [-0.96332534]]",811.0,514.0
58,"[[-0.04354569]
 [ 0.2548234 ]
 [-0.96600663]]",821.0,509.0
59,"[[-0.03659057]
 [ 0.24763505]
 [-0.96816218]]",824.0,502.0
