,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,603,691,603,691,567,749
1,1,567,681,567,681,521,745
2,2,545,687,545,687,488,762
3,3,543,670,543,670,489,737
4,4,506,710,506,710,427,811
5,5,496,724,496,724,409,836
6,6,506,649,506,649,444,717
7,7,485,543,485,543,446,569
8,8,459,507,459,507,423,525
9,9,454,498,454,498,419,514
10,10,445,481,445,481,412,493
11,11,448,475,448,475,419,483
12,12,447,453,447,453,425,453
13,13,530,406,530,406,546,373
14,14,662,370,662,370,709,311
15,15,727,396,727,396,775,335
16,16,826,411,826,411,877,346
17,17,858,400,858,400,910,334
18,18,891,406,891,406,942,340
19,19,895,433,895,433,944,368
20,20,914,418,914,418,964,353
21,21,887,443,887,443,936,380
22,22,949,434,949,434,997,370
23,23,961,390,961,390,1009,326
24,24,905,354,905,354,960,287
25,25,789,376,789,376,844,309
26,26,716,404,716,404,761,345
27,27,643,388,643,388,683,334
28,28,560,364,560,364,593,316
29,29,533,416,533,416,546,385
30,30,551,376,551,376,580,332
31,31,569,321,569,321,616,264
32,32,636,339,636,339,688,277
33,33,715,378,715,378,766,316
34,34,760,404,760,404,809,342
35,35,807,416,807,416,857,352
36,36,852,444,852,444,901,381
37,37,958,424,958,424,1006,360
38,38,1016,408,1016,408,1058,347
39,39,1034,448,1034,448,1074,388
40,40,1053,468,1053,468,1092,409
41,41,945,443,945,443,992,380
42,42,865,449,865,449,914,387
43,43,799,457,799,457,844,400
44,44,718,479,718,479,751,434
45,45,658,470,658,470,683,432
46,46,643,461,643,461,668,422
47,47,595,481,595,481,605,457
