,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,505,196,505,196,581,128
1,1,524,127,524,127,625,54
2,2,538,177,538,177,625,105
3,3,547,261,547,261,609,196
4,4,524,301,524,301,570,246
5,5,520,313,520,313,561,260
6,6,478,342,478,342,501,302
7,7,460,382,460,382,466,357
8,8,436,404,436,404,427,391
9,9,389,419,389,419,360,424
10,10,362,471,362,471,303,504
11,11,364,499,364,499,295,544
12,12,369,509,369,509,298,557
13,13,392,572,392,572,308,642
14,14,488,609,488,609,431,664
15,15,511,627,511,627,458,682
16,16,515,642,515,642,458,704
17,17,534,641,534,641,485,695
18,18,524,612,524,612,479,657
19,19,448,603,448,603,376,668
20,20,406,553,406,553,334,608
21,21,426,522,426,522,372,557
22,22,354,588,354,588,247,681
23,23,338,723,338,723,171,905
24,24,360,816,360,816,172,1053
25,25,350,753,350,753,179,950
26,26,363,685,363,685,224,830
27,27,381,685,381,685,251,822
28,28,420,651,420,651,320,752
29,29,424,592,424,592,346,661
30,30,405,628,405,628,306,723
31,31,413,616,413,616,323,701
32,32,479,746,479,746,378,879
33,33,522,825,522,825,420,990
34,34,483,866,483,866,350,1077
35,35,489,812,489,812,374,983
36,36,519,772,519,772,429,904
37,37,537,726,537,726,468,825
38,38,491,695,491,695,410,793
39,39,476,671,476,671,395,761
40,40,465,671,465,671,380,766
41,41,461,663,461,663,376,755
42,42,467,621,467,621,398,689
43,43,469,616,469,616,402,681
44,44,464,582,464,582,405,632
45,45,458,568,458,568,401,613
46,46,469,562,469,562,419,601
47,47,479,563,479,563,432,599
48,48,492,567,492,567,449,601
49,49,491,603,491,603,436,653
50,50,494,627,494,627,433,689
51,51,495,629,495,629,434,691
52,52,505,614,505,614,452,666
53,53,523,619,523,619,476,667
54,54,554,648,554,648,511,700
55,55,552,686,552,686,499,757
56,56,557,710,557,710,499,793
57,57,570,721,570,721,515,805
58,58,578,706,578,706,529,778
59,59,604,634,604,634,581,664
60,60,656,551,656,551,664,537
61,61,654,493,654,493,674,461
62,62,654,475,654,475,678,438
63,63,648,475,648,475,671,439
64,64,658,461,658,461,685,421
65,65,679,424,679,424,717,372
66,66,694,410,694,410,737,354
67,67,667,462,667,462,695,421
68,68,662,486,662,486,685,451
69,69,560,550,560,550,543,558
70,70,551,542,551,542,534,550
71,71,555,526,555,526,544,525
72,72,573,538,573,538,564,538
73,73,629,532,629,532,635,518
74,74,691,536,691,536,710,510
75,75,781,452,781,452,825,395
76,76,823,406,823,406,874,341
77,77,895,360,895,360,950,293
78,78,921,353,921,353,974,287
79,79,948,310,948,310,1000,247
80,80,1000,378,1000,378,1044,316
81,81,1034,417,1034,417,1074,357
82,82,1058,433,1058,433,1095,375
83,83,1080,434,1080,434,1115,378
84,84,1075,459,1075,459,1111,402
85,85,1082,444,1082,444,1117,387
86,86,1055,457,1055,457,1093,399
87,87,1079,419,1079,419,1113,363
88,88,1105,382,1105,382,1132,331
89,89,1127,359,1127,359,1148,314
90,90,1031,357,1031,357,1071,299
91,91,932,373,932,373,983,307
92,92,854,388,854,388,907,321
93,93,820,353,820,353,878,284
94,94,811,327,811,327,872,256
95,95,795,315,795,315,858,244
96,96,781,323,781,323,843,253
97,97,756,327,756,327,818,257
98,98,735,345,735,345,793,277
99,99,713,354,713,354,768,289
100,100,704,368,704,368,756,305
101,101,721,344,721,344,779,277
102,102,703,342,703,342,759,276
103,103,667,365,667,365,716,304
104,104,648,370,648,370,694,312
105,105,636,397,636,397,674,345
106,106,598,449,598,449,617,416
107,107,561,478,561,478,564,461
108,108,535,491,535,491,528,483
109,109,522,481,522,481,513,474
110,110,539,526,539,526,522,530
111,111,556,538,556,538,541,543
112,112,553,552,553,552,534,562
113,113,527,584,527,584,491,615
114,114,535,608,535,608,495,648
115,115,555,659,555,659,509,716
116,116,576,700,576,700,529,770
117,117,598,686,598,686,561,743
118,118,616,621,616,621,600,642
119,119,689,541,689,541,707,517
120,120,738,441,738,441,780,386
121,121,779,386,779,386,832,321
122,122,797,353,797,353,855,284
123,123,804,307,804,307,868,236
124,124,814,230,814,230,889,161
125,125,794,260,794,260,865,189
126,126,840,272,840,272,906,202
127,127,896,214,896,214,962,154
128,128,957,147,957,147,1017,108
129,129,965,158,965,158,1022,118
130,130,973,186,973,186,1027,142
131,131,955,202,955,202,1012,152
132,132,853,268,853,268,919,200
133,133,795,335,795,335,856,265
134,134,767,332,767,332,827,262
135,135,737,349,737,349,794,281
136,136,720,364,720,364,774,299
137,137,730,399,730,399,778,338
138,138,737,419,737,419,782,361
139,139,718,426,718,426,760,371
140,140,719,436,719,436,759,382
141,141,729,439,729,439,771,384
142,142,735,409,735,409,781,350
143,143,687,426,687,426,726,374
144,144,691,393,691,393,736,335
145,145,657,360,657,360,705,299
146,146,631,345,631,345,681,285
147,147,561,350,561,350,599,299
148,148,530,334,530,334,567,284
149,149,548,326,548,326,590,272
150,150,530,314,530,314,573,260
151,151,523,321,523,321,563,269
152,152,514,342,514,342,546,296
153,153,533,273,533,273,589,212
154,154,549,259,549,259,611,195
155,155,588,313,588,313,640,251
156,156,604,384,604,384,640,334
157,157,670,402,670,402,712,347
158,158,722,402,722,402,769,342
159,159,745,420,745,420,791,361
160,160,775,419,775,419,823,358
161,161,782,449,782,449,827,391
162,162,826,436,826,436,874,374
163,163,868,450,868,450,916,388
164,164,896,446,896,446,945,382
165,165,949,452,949,452,996,389
166,166,988,442,988,442,1033,379
167,167,1020,424,1020,424,1062,363
168,168,1048,425,1048,425,1086,366
169,169,1017,412,1017,412,1059,351
170,170,1057,424,1057,424,1094,365
171,171,1070,455,1070,455,1107,397
172,172,1073,504,1073,504,1111,448
173,173,1092,542,1092,542,1131,489
174,174,995,525,995,525,1040,469
175,175,922,514,922,514,967,459
176,176,848,502,848,502,891,449
177,177,792,481,792,481,834,428
178,178,729,468,729,468,766,419
179,179,692,444,692,444,728,395
180,180,626,441,626,441,652,401
181,181,588,472,588,472,599,446
182,182,591,469,591,469,603,442
183,183,581,466,581,466,592,441
184,184,551,432,551,432,564,402
185,185,515,438,515,438,517,417
186,186,502,445,502,445,498,430
187,187,492,451,492,451,484,440
188,188,474,464,474,464,457,462
189,189,458,490,458,490,427,502
190,190,510,467,510,467,503,457
191,191,534,472,534,472,531,459
192,192,558,463,558,463,564,441
193,193,588,459,588,459,602,430
194,194,611,478,611,478,625,451
195,195,633,474,633,474,653,441
196,196,628,473,628,473,648,440
197,197,623,467,623,467,642,434
198,198,635,471,635,471,656,437
199,199,661,493,661,493,682,460
200,200,732,562,732,562,754,537
201,201,762,575,762,575,788,548
202,202,782,584,782,584,810,557
203,203,809,599,809,599,839,572
204,204,842,665,842,665,872,653
205,205,868,710,868,710,899,709
206,206,882,732,882,732,914,736
207,207,896,748,896,748,931,754
208,208,956,752,956,752,1001,749
209,209,979,775,979,775,1027,776
210,210,986,709,986,709,1033,688
211,211,984,690,984,690,1031,665
212,212,1015,681,1015,681,1063,650
213,213,1000,684,1000,684,1048,655
214,214,962,693,962,693,1007,671
215,215,950,689,950,689,994,668
216,216,980,669,980,669,1026,639
217,217,863,711,863,711,893,710
218,218,758,697,758,697,767,713
219,219,673,648,673,648,668,666
220,220,643,649,643,649,628,675
221,221,609,662,609,662,581,704
222,222,575,688,575,688,529,754
223,223,551,712,551,712,491,798
224,224,548,711,548,711,486,798
225,225,529,717,529,717,458,813
226,226,516,735,516,735,434,846
227,227,495,736,495,736,404,856
228,228,498,740,498,740,407,862
229,229,504,749,504,749,414,874
230,230,476,714,476,714,383,829
231,231,485,659,485,659,412,740
232,232,507,584,507,584,464,621
233,233,505,538,505,538,475,556
234,234,506,507,506,507,484,513
235,235,517,505,517,505,500,508
236,236,538,499,538,499,528,493
237,237,534,501,534,501,524,498
238,238,521,532,521,532,498,543
239,239,511,583,511,583,469,619
240,240,513,627,513,627,459,682
241,241,513,624,513,624,461,677
242,242,526,651,526,651,471,713
243,243,539,691,539,691,479,769
244,244,582,682,582,682,541,741
245,245,599,695,599,695,560,756
246,246,650,656,650,656,637,683
247,247,659,621,659,621,655,631
248,248,594,658,594,658,562,702
249,249,553,675,553,675,503,741
250,250,534,657,534,657,481,720
251,251,551,595,551,595,521,624
252,252,484,584,484,584,432,629
253,253,415,572,415,572,341,633
254,254,371,566,371,566,279,641
255,255,344,576,344,576,236,667
256,256,260,583,260,583,108,712
257,257,197,602,197,602,0,773
258,258,156,599,156,599,-64,788
259,259,126,603,126,603,-115,811
260,260,182,574,182,574,-10,734
261,261,211,543,211,543,50,671
262,262,235,523,235,523,96,628
263,263,231,520,231,520,92,626
264,264,220,508,220,508,80,611
265,265,214,506,214,506,72,611
266,266,221,495,221,495,88,592
267,267,214,482,214,482,84,575
268,268,175,453,175,453,40,546
269,269,141,450,141,450,-12,556
270,270,139,477,139,477,-28,598
271,271,199,476,199,476,64,572
272,272,245,482,245,482,130,562
273,273,288,509,288,509,181,586
274,274,360,528,360,528,278,588
275,275,388,555,388,555,308,618
276,276,417,556,417,556,349,609
277,277,438,547,438,547,380,590
278,278,458,533,458,533,413,563
279,279,504,522,504,522,478,533
280,280,553,483,553,483,552,469
281,281,588,456,588,456,603,426
282,282,604,440,604,440,626,403
283,283,597,436,597,436,619,400
284,284,601,436,601,436,623,398
285,285,610,440,610,440,633,402
286,286,597,449,597,449,616,416
287,287,577,449,577,449,591,419
288,288,591,436,591,436,611,401
289,289,588,439,588,439,607,405
290,290,558,470,558,470,562,451
291,291,546,472,546,472,547,456
292,292,529,492,529,492,519,487
293,293,514,526,514,526,489,537
294,294,477,553,477,553,432,586
295,295,495,607,495,607,440,659
296,296,534,641,534,641,485,695
297,297,552,666,552,666,504,727
298,298,559,691,559,691,507,763
299,299,553,698,553,698,496,776
300,300,641,787,641,787,600,882
301,301,704,856,704,856,677,967
302,302,758,887,758,887,747,996
303,303,784,910,784,910,781,1024
304,304,807,931,807,931,810,1049
305,305,821,923,821,923,830,1031
306,306,828,920,828,920,839,1023
307,307,809,894,809,894,815,990
308,308,800,875,800,875,804,964
309,309,822,847,822,847,836,915
310,310,798,873,798,873,801,961
311,311,775,872,775,872,771,966
312,312,744,828,744,828,734,910
313,313,726,724,726,724,724,759
314,314,685,661,685,661,680,681
315,315,694,606,694,606,701,602
316,316,684,576,684,576,694,564
317,317,701,572,701,572,716,555
318,318,705,598,705,598,716,589
319,319,713,613,713,613,723,608
320,320,725,626,725,626,737,622
321,321,723,634,723,634,732,634
322,322,728,619,728,619,741,613
323,323,712,575,712,575,728,557
324,324,688,566,688,566,701,550
325,325,653,599,653,599,651,603
326,326,598,612,598,612,577,635
327,327,546,619,546,619,507,659
328,328,517,612,517,612,469,659
329,329,497,617,497,617,440,673
330,330,477,631,477,631,408,701
331,331,475,631,475,631,406,701
332,332,458,633,458,633,382,710
333,333,448,623,448,623,370,698
334,334,464,602,464,602,399,662
335,335,493,563,493,563,451,596
336,336,523,522,523,522,503,528
337,337,538,491,538,491,530,483
338,338,558,454,558,454,567,429
339,339,528,470,528,470,524,458
340,340,563,526,563,526,553,524
341,341,604,561,604,561,598,563
342,342,618,585,618,585,609,592
343,343,605,621,605,621,585,646
344,344,588,624,588,624,562,654
345,345,553,635,553,635,512,681
346,346,530,634,530,634,482,687
347,347,559,621,559,621,525,658
348,348,612,569,612,569,605,571
349,349,622,541,622,541,624,531
350,350,610,491,610,491,621,467
351,351,628,454,628,454,651,417
352,352,655,410,655,410,693,358
353,353,647,426,647,426,680,378
354,354,635,428,635,428,666,383
355,355,608,450,608,450,629,415
356,356,594,452,594,452,611,420
357,357,572,436,572,436,588,404
358,358,563,421,563,421,582,386
359,359,543,408,543,408,561,373
360,360,532,318,532,318,574,264
361,361,520,213,520,213,593,146
362,362,508,168,508,168,595,98
363,363,502,148,502,148,595,77
364,364,464,174,464,174,544,107
365,365,438,215,438,215,498,156
366,366,420,242,420,242,467,190
367,367,429,293,429,293,458,251
368,368,476,325,476,325,505,282
369,369,502,373,502,373,522,336
370,370,557,434,557,434,571,404
371,371,581,488,581,488,586,469
372,372,619,481,619,481,635,452
373,373,631,524,631,524,640,506
374,374,629,532,629,532,635,518
375,375,630,524,630,524,639,506
376,376,634,525,634,525,643,507
377,377,641,513,641,513,654,489
378,378,650,506,650,506,666,479
379,379,612,497,612,497,623,474
380,380,634,518,634,518,644,497
381,381,646,536,646,536,655,518
382,382,657,541,657,541,668,523
383,383,660,589,660,589,662,586
384,384,633,628,633,628,620,647
385,385,619,645,619,645,598,676
386,386,593,652,593,652,562,694
387,387,565,664,565,664,522,720
388,388,532,640,532,640,482,695
389,389,519,611,519,611,473,656
390,390,599,582,599,582,587,592
391,391,635,568,635,568,634,565
392,392,657,548,657,548,667,533
393,393,651,542,651,542,660,527
394,394,658,550,658,550,668,535
395,395,686,551,686,551,701,531
396,396,718,548,718,548,740,521
397,397,727,550,727,550,750,522
398,398,713,546,713,546,735,520
399,399,676,555,676,555,689,538
400,400,716,594,716,594,730,582
401,401,730,616,730,616,743,609
402,402,705,660,705,660,706,674
403,403,680,679,680,679,671,708
404,404,679,708,679,708,665,750
405,405,682,720,682,720,666,766
406,406,676,745,676,745,654,806
407,407,670,778,670,778,641,857
408,408,704,806,704,806,683,888
409,409,713,832,713,832,692,926
410,410,732,897,732,897,711,1022
411,411,743,951,743,951,720,1105
412,412,740,988,740,988,712,1167
413,413,759,1012,759,1012,738,1199
414,414,750,1007,750,1007,725,1195
415,415,745,1000,745,1000,718,1186
416,416,714,953,714,953,679,1120
417,417,712,911,712,911,681,1052
418,418,784,927,784,927,779,1050
419,419,797,927,797,927,796,1045
420,420,679,898,679,898,636,1043
421,421,607,848,607,848,541,991
422,422,638,821,638,821,589,935
423,423,637,842,637,842,585,970
424,424,612,848,612,848,548,989
425,425,599,844,599,844,530,988
426,426,626,855,626,855,567,996
427,427,640,847,640,847,589,976
428,428,678,800,678,800,649,888
429,429,639,788,639,788,596,884
430,430,669,698,669,698,654,738
431,431,677,664,677,664,669,687
432,432,688,627,688,627,691,633
433,433,694,561,694,561,709,542
434,434,711,540,711,540,733,512
435,435,701,535,701,535,722,508
436,436,681,544,681,544,696,523
437,437,658,550,658,550,668,535
438,438,656,575,656,575,660,569
439,439,646,584,646,584,645,584
440,440,693,642,693,642,694,652
441,441,680,688,680,688,669,721
442,442,624,735,624,735,587,808
443,443,650,739,650,739,621,805
444,444,659,737,659,737,634,798
445,445,662,730,662,730,639,788
446,446,676,759,676,759,652,827
447,447,636,777,636,777,594,867
448,448,616,813,616,813,561,931
449,449,597,823,597,823,530,955
450,450,499,817,499,817,389,986
451,451,480,847,480,847,351,1047
452,452,465,881,465,881,318,1112
453,453,434,884,434,884,268,1134
454,454,447,937,447,937,274,1221
455,455,445,962,445,962,263,1267
456,456,443,947,443,947,264,1241
457,457,439,937,439,937,261,1225
458,458,414,924,414,924,224,1216
459,459,367,899,367,899,154,1198
460,460,380,923,380,923,168,1233
461,461,387,940,387,940,174,1260
462,462,363,907,363,907,145,1214
463,463,407,902,407,902,219,1180
464,464,463,877,463,877,316,1106
465,465,521,848,521,848,414,1029
466,466,574,857,574,857,491,1019
467,467,613,857,613,857,548,1004
468,468,628,883,628,883,564,1040
469,469,609,856,609,856,541,1003
470,470,559,816,559,816,477,959
471,471,543,828,543,828,451,985
472,472,534,829,534,829,437,990
473,473,529,818,529,818,433,975
474,474,496,805,496,805,387,968
475,475,458,801,458,801,330,979
476,476,445,808,445,808,309,997
477,477,432,810,432,810,288,1006
478,478,455,773,455,773,335,934
479,479,466,745,466,745,358,884
