,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,547,-74,547,-74,715,-131
1,1,535,94,535,94,647,21
2,2,582,193,582,193,667,120
3,3,625,255,625,255,696,184
4,4,643,303,643,303,703,236
5,5,655,347,655,347,707,284
6,6,667,377,667,377,714,318
7,7,663,403,663,403,703,349
8,8,650,428,650,428,683,381
9,9,678,436,678,436,713,387
10,10,680,457,680,457,712,412
11,11,692,421,692,421,733,367
12,12,666,411,666,411,705,359
13,13,637,414,637,414,671,365
14,14,630,442,630,442,656,402
15,15,624,430,624,430,652,387
16,16,618,399,618,399,652,350
17,17,684,301,684,301,748,231
18,18,725,268,725,268,797,195
19,19,669,374,669,374,716,315
20,20,665,411,665,411,704,358
21,21,656,437,656,437,688,391
22,22,649,459,649,459,675,419
23,23,687,461,687,461,719,416
24,24,691,471,691,471,721,428
25,25,696,492,696,492,723,454
26,26,709,512,709,512,736,477
27,27,743,493,743,493,778,449
28,28,734,483,734,483,768,438
29,29,740,483,740,483,776,437
30,30,710,542,710,542,732,514
31,31,666,581,666,581,672,575
32,32,595,580,595,580,581,591
33,33,522,534,522,534,498,546
34,34,460,520,460,520,420,543
35,35,353,479,353,479,287,519
36,36,307,473,307,473,224,526
37,37,331,509,331,509,244,570
38,38,345,493,345,493,270,542
39,39,350,563,350,563,250,645
40,40,336,563,336,563,230,650
41,41,316,546,316,546,207,632
42,42,296,588,296,588,160,704
43,43,332,591,332,591,213,694
44,44,313,560,313,560,196,654
45,45,308,555,308,555,192,648
46,46,294,525,294,525,183,609
47,47,272,445,272,445,186,497
48,48,261,407,261,407,188,446
49,49,252,387,252,387,185,420
50,50,287,417,287,417,221,451
51,51,321,418,321,418,268,441
52,52,303,461,303,461,224,510
53,53,277,492,277,492,173,564
54,54,247,559,247,559,98,680
55,55,192,478,192,478,53,577
56,56,250,469,250,469,143,541
57,57,306,410,306,410,250,435
58,58,330,397,330,397,289,409
59,59,381,406,381,406,354,408
60,60,437,449,437,449,412,452
61,61,521,519,521,519,501,525
62,62,684,548,684,548,699,528
63,63,817,589,817,589,849,558
64,64,899,616,899,616,939,582
65,65,953,648,953,648,996,616
66,66,999,656,999,656,1046,621
67,67,1048,644,1048,644,1096,603
68,68,1105,618,1105,618,1149,572
69,69,1152,605,1152,605,1191,558
70,70,1171,692,1171,692,1220,655
71,71,1183,730,1183,730,1237,699
72,72,1196,726,1196,726,1249,695
73,73,1210,676,1210,676,1254,638
74,74,1250,633,1250,633,1282,593
75,75,1259,620,1259,620,1287,580
76,76,1278,593,1278,593,1297,554
77,77,1256,653,1256,653,1291,615
78,78,1276,717,1276,717,1321,685
79,79,1255,756,1255,756,1309,729
80,80,1222,710,1222,710,1270,676
81,81,1187,673,1187,673,1232,634
82,82,1130,682,1130,682,1179,644
83,83,1040,668,1040,668,1089,633
84,84,976,657,976,657,1022,624
85,85,893,662,893,662,931,640
86,86,834,639,834,639,865,620
87,87,807,599,807,599,837,572
88,88,750,611,750,611,768,598
89,89,801,642,801,642,825,630
90,90,842,699,842,699,870,699
91,91,877,693,877,693,911,684
92,92,889,679,889,679,925,663
93,93,911,714,911,714,950,706
94,94,942,743,942,743,984,739
95,95,1004,752,1004,752,1055,742
96,96,1066,770,1066,770,1122,757
97,97,1135,772,1135,772,1195,753
98,98,1197,792,1197,792,1260,773
99,99,1256,805,1256,805,1320,787
100,100,1279,758,1279,758,1331,731
101,101,1306,720,1306,720,1347,690
102,102,1283,768,1283,768,1338,743
103,103,1274,807,1274,807,1337,789
104,104,1324,733,1324,733,1366,704
105,105,1213,747,1213,747,1268,720
106,106,1045,744,1045,744,1098,726
107,107,911,745,911,745,948,747
108,108,833,756,833,756,855,779
109,109,797,773,797,773,809,812
110,110,779,726,779,726,790,750
111,111,773,690,773,690,787,700
112,112,779,685,779,685,795,691
113,113,778,686,778,686,793,694
114,114,758,669,758,669,771,675
115,115,717,706,717,706,714,737
116,116,707,676,707,676,706,697
117,117,707,649,707,649,710,659
118,118,815,572,815,572,849,537
119,119,959,370,959,370,1008,305
120,120,1142,211,1142,211,1148,198
121,121,1250,111,1250,111,1204,166
122,122,1284,171,1284,171,1231,215
123,123,1269,232,1269,232,1231,249
124,124,1290,264,1290,264,1248,277
125,125,1307,290,1307,290,1262,301
126,126,1356,212,1356,212,1276,267
127,127,1391,184,1391,184,1287,264
128,128,1449,123,1449,123,1298,258
129,129,1524,31,1524,31,1299,260
130,130,1493,91,1493,91,1306,265
131,131,1463,176,1463,176,1317,291
132,132,1449,272,1449,272,1336,338
133,133,1452,332,1452,332,1353,378
134,134,1437,364,1437,364,1354,394
135,135,1438,410,1438,410,1366,427
136,136,1473,396,1473,396,1382,429
137,137,1497,398,1497,398,1395,438
138,138,1491,346,1491,346,1377,401
139,139,1452,352,1452,352,1358,391
140,140,1564,365,1564,365,1418,440
141,141,1603,407,1603,407,1450,482
142,142,1652,372,1652,372,1458,482
143,143,1719,330,1719,330,1465,491
144,144,1791,306,1791,306,1475,517
145,145,1786,296,1786,296,1469,510
146,146,1703,159,1703,159,1389,409
147,147,1505,161,1505,161,1330,303
148,148,1343,212,1343,212,1268,261
149,149,1243,226,1243,226,1214,237
150,150,1108,272,1108,272,1128,237
151,151,1033,321,1033,321,1072,266
152,152,962,369,962,369,1011,305
153,153,915,384,915,384,967,318
154,154,836,423,836,423,886,359
155,155,784,458,784,458,827,402
156,156,777,462,777,462,819,407
157,157,771,444,771,444,816,386
158,158,808,445,808,445,855,385
159,159,846,429,846,429,896,366
160,160,878,392,878,392,931,325
161,161,884,375,884,375,938,307
162,162,885,395,885,395,938,329
163,163,854,450,854,450,902,388
164,164,820,501,820,501,862,450
165,165,801,526,801,526,837,482
166,166,816,520,816,520,855,473
167,167,855,490,855,490,900,434
168,168,870,463,870,463,918,403
169,169,864,458,864,458,911,397
170,170,816,426,816,426,866,363
171,171,796,429,796,429,844,368
172,172,773,450,773,450,817,393
173,173,736,415,736,415,782,356
174,174,697,375,697,375,746,313
175,175,629,391,629,391,667,339
176,176,477,275,477,275,524,221
177,177,357,240,357,240,391,199
178,178,290,195,290,195,325,157
179,179,230,98,230,98,298,52
180,180,131,140,131,140,145,123
181,181,84,76,84,76,120,54
182,182,124,22,124,22,205,-18
183,183,41,67,41,67,68,54
184,184,8,59,8,59,26,53
185,185,-107,118,-107,118,-181,168
186,186,-163,105,-163,105,-256,171
187,187,-220,155,-220,155,-386,268
188,188,-192,156,-192,156,-342,257
189,189,-166,164,-166,164,-306,257
190,190,-42,17,-42,17,-15,14
191,191,39,-57,39,-57,144,-94
192,192,113,-155,113,-155,298,-209
193,193,144,-113,144,-113,310,-169
194,194,162,-37,162,-37,287,-91
195,195,159,-13,159,-13,269,-64
196,196,121,-42,121,-42,239,-91
197,197,68,-38,68,-38,170,-77
198,198,-9,-17,-9,-17,54,-36
199,199,0,-72,0,-72,103,-103
200,200,-27,-214,-27,-214,167,-254
201,201,-65,-230,-65,-230,132,-266
202,202,28,-172,28,-172,207,-218
203,203,149,-113,149,-113,316,-170
204,204,261,-119,261,-119,447,-182
205,205,208,-37,208,-37,342,-96
206,206,183,25,183,25,278,-25
207,207,173,85,173,85,232,47
208,208,164,151,164,151,183,130
209,209,162,140,162,140,187,116
210,210,147,181,147,181,144,172
211,211,127,211,127,211,100,217
212,212,114,229,114,229,71,245
213,213,164,242,164,242,134,247
214,214,205,252,205,252,185,249
215,215,209,229,209,229,202,219
216,216,245,269,245,269,231,261
217,217,240,302,240,302,208,306
218,218,233,338,233,338,182,357
219,219,183,321,183,321,119,350
220,220,148,322,148,322,68,363
221,221,85,331,85,331,-30,399
222,222,66,298,66,298,-39,359
223,223,56,313,56,313,-64,385
224,224,31,328,31,328,-110,417
225,225,1,348,1,348,-169,460
226,226,-6,371,-6,371,-195,499
227,227,-37,379,-37,379,-250,525
228,228,-36,364,-36,364,-239,502
229,229,-5,341,-5,341,-175,452
230,230,-99,379,-99,379,-352,556
231,231,-52,465,-52,465,-330,673
232,232,-20,512,-20,512,-307,735
233,233,25,541,25,541,-248,760
234,234,68,509,68,509,-159,683
235,235,158,473,158,473,3,584
236,236,208,450,208,450,90,528
237,237,236,404,236,404,154,450
238,238,259,323,259,323,224,330
239,239,272,262,272,262,271,245
240,240,322,275,322,275,330,250
241,241,367,283,367,283,385,250
242,242,409,313,409,313,426,279
243,243,447,380,447,380,450,357
244,244,471,445,471,445,459,437
245,245,526,430,526,430,533,405
246,246,559,380,559,380,588,336
247,247,602,324,602,324,653,263
248,248,642,247,642,247,716,175
249,249,632,244,632,244,706,172
250,250,650,146,650,146,749,73
251,251,676,56,676,56,795,-9
252,252,702,11,702,11,829,-43
