frame,res,X,Y
1,"[[-0.19265524]
 [ 0.12038847]
 [-0.97385347]]",1009.0,140.0
2,"[[-0.19475194]
 [ 0.14411159]
 [-0.97020798]]",1126.0,136.0
3,"[[-0.19731562]
 [ 0.16770705]
 [-0.96588865]]",1214.0,157.0
4,"[[-0.20948737]
 [ 0.16567743]
 [-0.9636732 ]]",1293.0,171.0
5,"[[-0.18233845]
 [ 0.17267711]
 [-0.96795419]]",1321.0,187.0
6,"[[-0.17814405]
 [ 0.16545632]
 [-0.96999428]]",1337.0,191.0
7,"[[-0.19479348]
 [ 0.16680267]
 [-0.96655697]]",1367.0,197.0
8,"[[-0.20548182]
 [ 0.15038382]
 [-0.96703771]]",1400.0,184.0
9,"[[-0.18717662]
 [ 0.1652491 ]
 [-0.96832724]]",1404.0,190.0
10,"[[-0.1872067 ]
 [ 0.15488616]
 [-0.97003295]]",1407.0,183.0
11,"[[-0.18237041]
 [ 0.14808277]
 [-0.97201467]]",1405.0,171.0
12,"[[-0.18119867]
 [ 0.15502161]
 [-0.97115155]]",1402.0,170.0
13,"[[-0.20058292]
 [ 0.19337371]
 [-0.96040257]]",1421.0,209.0
14,"[[-0.19353446]
 [ 0.19593419]
 [-0.96132939]]",1427.0,239.0
15,"[[-0.1880038 ]
 [ 0.19370867]
 [-0.96287669]]",1426.0,260.0
16,"[[-0.17196083]
 [ 0.19269404]
 [-0.96607374]]",1407.0,272.0
17,"[[-0.1749246 ]
 [ 0.18995343]
 [-0.9660844 ]]",1396.0,278.0
18,"[[-0.17530825]
 [ 0.18287992]
 [-0.96737891]]",1387.0,275.0
19,"[[-0.17909055]
 [ 0.18978074]
 [-0.96535478]]",1385.0,279.0
20,"[[-0.21245713]
 [ 0.15798753]
 [-0.96431422]]",1417.0,251.0
21,"[[-0.20845023]
 [ 0.16002505]
 [-0.96485257]]",1436.0,233.0
22,"[[-0.21122735]
 [ 0.16371828]
 [-0.96362821]]",1453.0,223.0
23,"[[-0.20281596]
 [ 0.16888603]
 [-0.964543  ]]",1458.0,222.0
24,"[[-0.20052181]
 [ 0.17296431]
 [-0.96429993]]",1459.0,224.0
25,"[[-0.22879622]
 [ 0.10247187]
 [-0.96806601]]",1487.0,156.0
26,"[[-0.22160252]
 [ 0.11868267]
 [-0.96788778]]",1500.0,122.0
27,"[[-0.23435553]
 [ 0.13414856]
 [-0.96285079]]",1525.0,114.0
28,"[[-0.23292412]
 [ 0.1514445 ]
 [-0.96063048]]",1544.0,125.0
29,"[[-0.23268338]
 [ 0.13089371]
 [-0.96370394]]",1556.0,114.0
30,"[[-0.22549815]
 [ 0.12666335]
 [-0.96597463]]",1558.0,100.0
31,"[[-0.22958259]
 [ 0.11986122]
 [-0.96588049]]",1563.0,83.0
32,"[[-0.23504561]
 [ 0.11047971]
 [-0.96568514]]",1572.0,61.0
33,"[[-0.22240996]
 [ 0.14841332]
 [-0.96359083]]",1567.0,84.0
34,"[[-0.22767201]
 [ 0.14991359]
 [-0.96212856]]",1568.0,102.0
35,"[[-0.20923214]
 [ 0.16091108]
 [-0.96453592]]",1548.0,126.0
36,"[[-0.21671736]
 [ 0.15935644]
 [-0.96314023]]",1542.0,141.0
37,"[[-0.19062248]
 [ 0.17687032]
 [-0.96559824]]",1510.0,170.0
38,"[[-0.19236949]
 [ 0.16656466]
 [-0.96708334]]",1490.0,180.0
