frame,res,X,Y
,[[-0.02029796  0.17176917 -0.97704392]],796,405
,[[-0.03281052  0.15406599 -0.97993402]],826,362
,[[-0.04843431  0.13756632 -0.98162892]],866,320
,[[-0.02638851  0.08255774 -0.99100926]],812,177
,[[-0.07642988  0.05218968 -0.99128129]],939,103
,[[-0.07257982  0.02996109 -0.99420401]],933,48
,[[-0.09371235  0.03577588 -0.99358698]],991,65
,[[-0.08495963  0.0116032  -0.99312279]],976,4
,[[-0.04449264  0.02467102 -0.99408731]],881,34
,[[-0.03585888  0.01270806 -0.99449773]],864,2
,[[-0.0410885   0.01411527 -0.99345391]],882,3
,[[-0.02726528  0.02361042 -0.99328732]],854,26
,[[-0.03294329  0.02694937 -0.99317062]],874,33
,[[-0.02739519  0.00891687 -0.99336055]],866,-14
,[[-0.02638462  0.00982873 -0.99489761]],870,-12
,[[-0.01291802  0.02658366 -0.99566695]],841,32
,[[ 0.00652113  0.02273692 -0.99485037]],799,22
,[[-2.49436108e-04  1.07865336e-02 -9.97351168e-01]],818,-5
,[[ 0.00939293  0.01880667 -0.99639859]],796,15
,[[ 0.01204515  0.08013761 -0.98828585]],791,173
,[[-0.01027735  0.1528726  -0.97744663]],848,360
,[[-0.01734407  0.14774451 -0.98078684]],867,349
,[[ 0.01493566  0.13763014 -0.98364267]],786,325
,[[ 0.00892192  0.14359367 -0.98388578]],802,341
,[[ 0.02086569  0.14453222 -0.98387326]],772,341
,[[ 0.01782661  0.14253445 -0.98518645]],780,334
,[[ 0.02425054  0.14492603 -0.98355721]],763,344
,[[ 0.02607716  0.13242156 -0.9858687 ]],758,312
,[[ 0.0281023   0.13627761 -0.98409252]],752,319
,[[ 0.01047837  0.12704213 -0.98579173]],797,293
,[[ 0.02715978  0.14867106 -0.98267679]],753,344
,[[ 0.03041631  0.14489211 -0.98369537]],746,333
,[[ 0.03025985  0.13765966 -0.98492841]],746,312
,[[ 0.01217653  0.13862675 -0.98671062]],794,312
,[[ 0.03657556  0.13495651 -0.98416097]],734,306
,[[ 0.03993543  0.14021718 -0.98495431]],726,319
,[[ 0.02928714  0.13648167 -0.98430546]],755,310
,[[ 0.03277632  0.13707986 -0.98562025]],746,313
,[[ 0.05571664  0.15568959 -0.98218648]],689,362
,[[ 0.03698352  0.1589317  -0.98089482]],735,371
,[[ 0.03451637  0.14325501 -0.98200181]],743,332
,[[ 0.03107611  0.14038248 -0.981021  ]],751,325
,[[ 0.00788751  0.12940145 -0.98272479]],810,298
,[[ 0.01062911  0.11970175 -0.98496291]],802,273
,[[ 0.03977479  0.13794591 -0.98218191]],731,319
,[[ 0.03029118  0.1282434  -0.98265806]],755,296
,[[ 0.03091589  0.13052618 -0.98125744]],755,299
,[[ 0.02881938  0.12291036 -0.984801  ]],761,281
,[[ 0.06459799  0.12327856 -0.98175443]],673,280
,[[ 0.07132996  0.12072953 -0.98023429]],655,274
,[[ 0.04626943  0.11975645 -0.98596755]],717,273
,[[ 0.01866043  0.11851956 -0.98766389]],786,272
,[[ 0.02862057  0.1324847  -0.98231505]],760,307
,[[ 0.05197307  0.12809274 -0.98167392]],701,295
,[[ 0.04356249  0.12285288 -0.98304759]],721,282
,[[ 0.03910159  0.11138668 -0.98602181]],731,253
,[[ 0.04761668  0.13697053 -0.98295963]],708,319
,[[ 0.04096238  0.11506927 -0.98468249]],725,260
,[[ 0.04202276  0.12402726 -0.98617937]],722,283
,[[ 0.04409884  0.1288749  -0.98389324]],717,296
,[[ 0.01743932  0.12526732 -0.98804048]],784,284
,[[ 0.03538759  0.11522955 -0.98781423]],739,261
,[[ 0.02971687  0.12295894 -0.98737972]],754,280
,[[ 0.03424261  0.12409008 -0.9869241 ]],741,283
