frame,res,X,Y
,[[-0.03147785  0.04447492 -0.98769331]],622,185
,[[-0.05285268  0.06009168 -0.98482883]],688,235
,[[-0.05871182  0.0610654  -0.98336617]],707,238
,[[-0.0428735   0.05437139 -0.98593099]],658,217
,[[-0.04173391  0.0475858  -0.98739645]],654,195
,[[-0.03010377  0.06695276 -0.98541836]],618,256
,[[-0.03430888  0.05670203 -0.98662436]],631,225
,[[-0.07484242  0.07046108 -0.98128208]],759,270
,[[-0.06744294  0.08229408 -0.97978957]],735,306
,[[-0.07555302  0.0826264  -0.98173613]],761,307
,[[-0.07356115  0.06437719 -0.97861375]],758,253
,[[-0.10240918  0.07195058 -0.97636451]],850,279
,[[-0.06588086  0.06157905 -0.98193674]],737,244
,[[-0.07562179  0.08193885 -0.97684552]],771,309
,[[-0.07982911  0.08163959 -0.98040632]],784,308
,[[-0.07335839  0.08579261 -0.98146834]],764,324
,[[-0.08156559  0.06583089 -0.97970913]],792,264
,[[-0.0786944   0.07744016 -0.97790065]],785,301
,[[-0.0876895   0.06076887 -0.97782636]],814,250
,[[-0.08716765  0.05587624 -0.9815831 ]],813,236
,[[-0.09604821  0.09322962 -0.97690658]],843,355
,[[-0.0911595   0.08626674 -0.97747793]],827,333
,[[-0.07230901  0.08628813 -0.97609722]],771,332
,[[-0.08034061  0.08778953 -0.97574242]],795,337
,[[-0.08055381  0.0747513  -0.97814941]],795,297
,[[-0.07284196  0.07995704 -0.98043038]],771,315
,[[-0.05866031  0.09046527 -0.98123747]],727,346
,[[-0.05146344  0.07955993 -0.98456934]],705,314
,[[-0.06050841  0.07242472 -0.98151874]],733,290
,[[-0.07404506  0.08663671 -0.97795971]],777,333
,[[-0.06889058  0.08495711 -0.98185909]],763,330
,[[-0.06933687  0.08520917 -0.98054754]],766,332
,[[-0.06878076  0.09039828 -0.97789806]],767,349
,[[-0.07139041  0.08021145 -0.981169  ]],778,314
,[[-0.06995002  0.07117113 -0.98149272]],773,287
,[[-0.04990726  0.08038454 -0.97933411]],714,316
,[[-0.04210561  0.07523804 -0.98210368]],691,301
,[[-0.04431373  0.07572121 -0.98239144]],699,303
,[[-0.02237576  0.07746331 -0.98230464]],632,308
,[[-0.02304538  0.07893149 -0.9820457 ]],636,314
,[[-0.01810507  0.06150752 -0.98195035]],623,258
,[[-0.02627938  0.06701361 -0.98341237]],650,275
,[[-0.02829604  0.06636781 -0.98136022]],658,271
,[[-0.01360984  0.0553982  -0.98114358]],611,237
,[[-0.01443699  0.05851011 -0.98185113]],614,245
,[[-0.03006915  0.06074436 -0.98146233]],665,251
,[[-0.0402191   0.07330313 -0.97967862]],697,290
,[[-0.04396764  0.07057781 -0.97981782]],708,282
,[[-0.04401239  0.06884051 -0.98628086]],707,276
,[[-0.02622947  0.07772306 -0.98237114]],652,307
,[[-0.04893577  0.08212446 -0.98278379]],722,319
,[[-0.05005761  0.08092125 -0.98214248]],726,314
,[[-0.05839638  0.07744318 -0.98209025]],750,304
,[[-0.04420198  0.07255649 -0.98396847]],704,288
,[[-0.05882194  0.07671193 -0.98082283]],751,302
,[[-0.05620893  0.06447012 -0.98097443]],743,264
,[[-0.06332541  0.06678666 -0.98133547]],764,272
,[[-0.03930209  0.07142719 -0.98526855]],687,286
,[[-0.0257478   0.0677032  -0.98545052]],645,275
,[[-0.0296223   0.05242812 -0.98649443]],657,225
,[[-0.01010079  0.06263878 -0.98893269]],594,258
,[[-0.01003829  0.0467328  -0.9890912 ]],592,207
,[[-0.00882777  0.05660458 -0.98675831]],586,239
,[[-8.91199083e-04  5.04386787e-02 -9.87215099e-01]],561,221
,[[-0.01470408  0.0570205  -0.98598154]],603,242
,[[-0.01210053  0.05079958 -0.98545721]],596,224
,[[-0.012368    0.05639722 -0.9836796 ]],596,241
,[[-0.0046645   0.0618436  -0.98432334]],571,257
,[[ 0.00536793  0.06776946 -0.98279097]],540,275
,[[-0.01284183  0.05015587 -0.98843457]],596,223
