frame,res,X,Y
,[[-0.04581455  0.08044198 -0.95525984]],778,260
,[[-0.04496526  0.07993835 -0.95235067]],777,259
,[[-0.04080367  0.0845289  -0.95649418]],770,265
,[[-0.04236346  0.08485831 -0.95671436]],772,266
,[[-0.0521261   0.08183521 -0.95257761]],789,262
,[[-0.03658742  0.074176   -0.95699075]],762,247
,[[-0.06006729  0.0823579  -0.95428987]],803,264
,[[-0.03435101  0.07316198 -0.9544623 ]],758,246
,[[ 0.01126448  0.05894536 -0.95547306]],681,220
,[[ 0.00479124  0.05762784 -0.95721527]],692,219
,[[-0.01732898  0.0577641  -0.96036604]],730,220
,[[-0.02064726  0.06572033 -0.95907129]],735,233
,[[ 0.01347153  0.05409315 -0.96516618]],678,213
,[[ 0.0020949   0.02392058 -0.97001229]],697,161
,[[-0.00112749  0.02087251 -0.96945517]],703,156
,[[ 0.00204629  0.01091261 -0.97176274]],698,140
,[[ 0.00374165  0.01669485 -0.97121153]],695,150
,[[ 0.01090783  0.01976381 -0.97298331]],683,155
,[[ 0.02537782  0.00674275 -0.97431448]],659,133
,[[ 0.01557321  0.01357921 -0.97372594]],675,144
,[[ 0.0021886   0.01568468 -0.972059  ]],697,148
,[[ 0.0144942   0.02694387 -0.97569947]],676,167
,[[-7.80704998e-04  3.00264055e-02 -9.78617358e-01]],700,173
,[[-0.07314133  0.04477789 -0.96586071]],823,198
,[[-0.09999388  0.04128134 -0.96675331]],867,191
,[[-0.10007579  0.04564998 -0.96768714]],866,198
,[[-0.09503756  0.03022183 -0.97281773]],856,173
,[[-0.11167722  0.03978391 -0.97135488]],885,190
,[[-0.11215111  0.03150528 -0.96610221]],887,176
,[[-0.11818107  0.04706821 -0.96440431]],897,202
,[[-0.11181304  0.05141793 -0.96765202]],885,210
,[[-0.13658161  0.06502975 -0.96322348]],928,233
,[[-0.14214003  0.06749465 -0.96116686]],937,237
,[[-0.14966114  0.08608612 -0.95873457]],951,269
,[[-0.15212958  0.08733147 -0.95536759]],956,271
,[[-0.15374325  0.08968844 -0.95577493]],958,276
,[[-0.14566924  0.07937833 -0.95803094]],944,259
,[[-0.14542545  0.0898202  -0.95626928]],944,277
,[[-0.16534693  0.10666385 -0.9514698 ]],980,308
,[[-0.15127351  0.11916062 -0.9537089 ]],955,329
,[[-0.1518045   0.12198615 -0.94805323]],958,335
,[[-0.15622498  0.11688678 -0.94947343]],964,326
,[[-0.19586925  0.13812222 -0.94620834]],1035,365
,[[-0.19908388  0.13716727 -0.94557176]],1040,362
,[[-0.18009192  0.12846885 -0.95114361]],1006,345
,[[-0.19018789  0.12227636 -0.95190525]],1022,334
,[[-0.19090672  0.1345758  -0.94818293]],1025,357
,[[-0.19972582  0.12756651 -0.94777915]],1041,345
