frame,res,X,Y
,[[-0.003095    0.30474762 -0.94617395]],613,606
,[[-8.78010415e-04  3.14266580e-01 -9.44494392e-01]],608,636
,[[ 0.01767794  0.31442672 -0.94385731]],552,634
,[[ 0.00478672  0.30914975 -0.94727272]],589,618
,[[-0.01325557  0.30036291 -0.94693394]],643,588
,[[-0.0223452   0.31765479 -0.93846156]],669,645
,[[-0.01529507  0.31544968 -0.93764401]],649,647
,[[-0.00814297  0.33198239 -0.93372475]],628,704
,[[ 0.03518103  0.32104595 -0.94246058]],502,667
,[[ 0.03045277  0.32739191 -0.94280609]],519,688
,[[ 0.01735981  0.30070525 -0.95028553]],561,602
,[[-0.03120073  0.31969527 -0.94519749]],709,666
,[[-0.0216737   0.32457618 -0.93498559]],684,695
,[[-0.02746235  0.29647977 -0.95008271]],705,597
,[[-0.01167841  0.34254065 -0.93227883]],661,752
,[[ 0.03136199  0.34084053 -0.9332619 ]],531,750
,[[ 0.04175371  0.3302107  -0.9381875 ]],502,716
,[[ 0.04380022  0.32847474 -0.93613258]],496,712
,[[ 0.02822384  0.30020806 -0.95242941]],546,613
,[[ 0.0194163   0.29978376 -0.95284221]],571,614
,[[ 0.02571228  0.30334038 -0.95176608]],553,625
,[[-0.00755784  0.27597446 -0.95758647]],653,536
,[[-0.01721916  0.27840728 -0.95650373]],683,547
,[[-0.03190832  0.27983577 -0.95399038]],727,551
,[[-0.01485017  0.3058776  -0.94919079]],673,632
,[[ 0.00973679  0.28207494 -0.95658315]],597,553
,[[ 0.01119685  0.27918262 -0.9576113 ]],592,542
,[[-0.03347936  0.27641867 -0.95312406]],721,539
,[[-5.64676840e-04  3.02353522e-01 -9.44930676e-01]],619,622
,[[ 0.01889933  0.27815775 -0.95251459]],560,540
,[[ 0.00784132  0.28433125 -0.95237269]],592,561
,[[-0.01656111  0.28498765 -0.94880622]],663,563
,[[-0.01304796  0.28704107 -0.94968887]],652,569
,[[ 0.00148098  0.29764765 -0.95024119]],607,602
,[[ 0.00785861  0.29075381 -0.94963814]],589,579
,[[ 0.0082754   0.29980082 -0.94861502]],587,607
,[[ 0.00880093  0.29145038 -0.9510172 ]],587,582
,[[ 0.01026784  0.2951222  -0.94979663]],583,595
,[[-0.01947316  0.32031292 -0.94011474]],675,678
,[[-0.00567562  0.30645279 -0.94689336]],635,630
,[[-0.00779604  0.30804304 -0.94631077]],641,637
