frame,res,X,Y
,[[-0.07850563  0.24376856 -0.96390932]],697,459
,[[-0.08381776  0.2364963  -0.96276372]],716,432
,[[-0.11349873  0.28895586 -0.94927473]],808,582
,[[-0.06255706  0.31121217 -0.94664293]],666,649
,[[-0.08152146  0.26462583 -0.94714798]],724,511
,[[-0.1188249   0.24915068 -0.95089259]],833,463
,[[-0.07979563  0.2360002  -0.96370112]],726,416
,[[-0.1303574   0.24233652 -0.95854449]],875,436
,[[-0.09396363  0.24795754 -0.96006119]],777,456
,[[-0.08448923  0.24454854 -0.96419926]],753,443
,[[-0.06208621  0.23939974 -0.96383295]],692,431
,[[-0.07780276  0.23708222 -0.96211425]],738,424
,[[-0.0804765   0.25233385 -0.95609618]],749,474
,[[-0.05488881  0.24086655 -0.95938952]],677,438
,[[-0.04205657  0.22337294 -0.964715  ]],642,384
,[[-0.0840345   0.20997604 -0.96906259]],760,344
,[[-0.09646015  0.22164194 -0.96738016]],797,379
,[[-0.05998689  0.22958212 -0.96569007]],695,405
,[[-0.07135031  0.21663456 -0.96321544]],727,372
,[[-0.05626055  0.29723004 -0.95271652]],683,629
,[[-0.02690787  0.22956301 -0.96795187]],594,431
,[[-0.05097847  0.27049062 -0.9555823 ]],661,560
,[[ 0.00279184  0.29457911 -0.94948632]],501,635
,[[-0.01817379  0.29464651 -0.95533879]],560,619
,[[-0.01645753  0.26027285 -0.95894092]],550,506
,[[-0.08244828  0.23253743 -0.96464854]],731,417
,[[-0.09491022  0.22482841 -0.96475022]],764,398
,[[-0.07525657  0.2644597  -0.95091916]],711,529
,[[-0.04932175  0.22996917 -0.96640622]],635,427
,[[-0.01856075  0.23123852 -0.96556266]],547,421
,[[-0.04985892  0.23455575 -0.9589947 ]],633,424
,[[-0.07374008  0.24494623 -0.95886526]],697,454
,[[-0.06044787  0.23121427 -0.96023686]],659,430
,[[-0.07948647  0.22222646 -0.95962536]],712,419
,[[-0.0957515   0.21688171 -0.95939912]],757,405
