,factor,subject,avg_blinks_per_trial
0,EAR,s25,6.8
1,EAR,s81,7.2
2,EAR,s61,6.7
3,EAR,s87,8.1
4,EAR,s86,6.9
5,EAR,s58,6.6
6,EAR,s3,7.2
7,EAR,s53,6.5
8,EAR,s66,6.7
9,EAR,s73,6.3
10,EAR,s75,6.6
11,EAR,s71,6.2
12,EAR,s2,8.0
13,EAR,s46,7.5
14,EAR,s23,6.7
15,EAR,s59,9.0
16,EAR,s39,6.8
17,EAR,s63,6.2
18,EAR,s9,5.857142857142857
19,EAR,s19,6.4
20,EAR,s114,7.9
21,EAR,s5,7.1
22,EAR,s113,6.3
23,EAR,s98,7.0
24,EAR,s104,7.0
25,EAR,s77,6.0
26,EAR,s34,8.0
27,EAR,s111,8.5
28,EAR,s78,6.4
29,EAR,s40,7.0
30,EAR,s79,8.0
31,EAR,s55,7.1
32,EAR,s1,6.0
33,EAR,s21,6.8
34,EAR,s41,6.3
35,EAR,s68,6.3
36,EAR,s90,9.3
37,EAR,s30,7.2
38,EAR,s64,7.9
39,EAR,s28,9.7
40,EAR,s110,6.7
41,EAR,s20,6.5
42,EAR,s85,6.3
43,EAR,s8,6.3
44,EAR,s27,9.3
45,EAR,s60,7.2
46,EAR,s18,6.7
47,EAR,s80,7.1
48,EAR,s93,7.0
49,EAR,s43,6.9
50,EAR,s56,6.8
51,EAR,s82,6.0
52,EAR,s31,6.0
53,EAR,s52,6.3
54,EAR,s17,7.6
55,EAR,s92,7.1
56,EAR,s4,6.0
57,EAR,s6,6.5
58,EAR,s117,7.5
59,EAR,s49,6.9
60,EAR,s115,8.2
61,EAR,s103,5.7
62,EAR,s102,6.5
63,EAR,s32,6.3
64,EAR,s44,7.2
65,RT_BENE,s25,7.4
66,RT_BENE,s81,2.333333333333333
67,RT_BENE,s61,6.0
68,RT_BENE,s87,3.375
69,RT_BENE,s86,5.3
70,RT_BENE,s58,3.625
71,RT_BENE,s53,6.0
72,RT_BENE,s66,6.0
73,RT_BENE,s73,6.0
74,RT_BENE,s75,6.0
75,RT_BENE,s71,6.0
76,RT_BENE,s2,6.0
77,RT_BENE,s46,0.0
78,RT_BENE,s23,6.2
79,RT_BENE,s59,1.5555555555555556
80,RT_BENE,s39,6.0
81,RT_BENE,s63,4.8
82,RT_BENE,s19,5.2
83,RT_BENE,s114,3.9
84,RT_BENE,s5,5.4
85,RT_BENE,s113,7.0
86,RT_BENE,s98,6.0
87,RT_BENE,s104,6.0
88,RT_BENE,s77,1.5714285714285714
89,RT_BENE,s34,6.0
90,RT_BENE,s111,4.4
91,RT_BENE,s78,5.4
92,RT_BENE,s40,6.0
93,RT_BENE,s79,2.888888888888889
94,RT_BENE,s55,6.0
95,RT_BENE,s1,6.0
96,RT_BENE,s21,2.6
97,RT_BENE,s41,6.0
98,RT_BENE,s68,6.0
99,RT_BENE,s90,6.2
100,RT_BENE,s30,5.428571428571429
101,RT_BENE,s64,6.3
102,RT_BENE,s28,2.8
103,RT_BENE,s110,6.0
104,RT_BENE,s20,5.7
105,RT_BENE,s85,6.0
106,RT_BENE,s8,6.0
107,RT_BENE,s27,7.2
108,RT_BENE,s60,6.0
109,RT_BENE,s18,5.8
110,RT_BENE,s80,6.0
111,RT_BENE,s93,6.0
112,RT_BENE,s43,6.2
113,RT_BENE,s56,5.8
114,RT_BENE,s82,5.8
115,RT_BENE,s31,6.0
116,RT_BENE,s52,6.1
117,RT_BENE,s17,6.0
118,RT_BENE,s92,4.0
119,RT_BENE,s4,6.0
120,RT_BENE,s6,3.9
121,RT_BENE,s117,3.0
122,RT_BENE,s49,6.0
123,RT_BENE,s115,2.2
124,RT_BENE,s103,5.0
125,RT_BENE,s102,5.8
126,RT_BENE,s32,5.8
127,RT_BENE,s44,5.7
