,subb,trial_latencies,num_of_blinks,blink_durations,avg_latency,avg_blinks_per_trial,avg_blink_duration
0,s25,"{1: array([268, 234, 670, 234, 301, 268, 603]), 2: array([470, 470, 302, 302, 336, 403, 336]), 3: array([ 403.,  537., 1578.,   nan,   nan,  235.,  335.]), 4: array([370., 269.,  nan, 235., 168., 201., 302.]), 5: array([ 269,  269,  302,  269,  100, 1042,  538]), 6: array([302., 235.,  nan, 100.,  nan, 268., 302.]), 7: array([303., 235., 438., 235., 202.,  nan, 471.]), 8: array([ 269.,   nan,  235., 1244., 1042.,  168., 1042.]), 9: array([336, 235, 235, 134, 403, 268, 268]), 10: array([335., 268.,  nan, 268.,  67., 268., 268.])}","{1: 9, 2: 8, 3: 7, 4: 7, 5: 7, 6: 5, 7: 5, 8: 7, 9: 7, 10: 7}","{1: array([704, 502, 368, 335, 536, 335, 301, 301, 234, 201, 167]), 2: array([840, 336, 403, 336, 336, 369, 235, 302, 201, 201, 134]), 3: array([705, 537, 772, 436, 369, 335, 335, 201, 134,  67]), 4: array([740, 740, 336, 504, 336, 336, 302, 201]), 5: array([841, 740, 471, 336, 403, 504, 336, 201, 235]), 6: array([739, 504, 504, 403, 504, 403]), 7: array([505, 404, 505, 202, 303, 438]), 8: array([773, 672, 672, 369, 403, 538, 605, 201, 302, 201]), 9: array([436, 403, 336, 403, 336, 302, 336, 369, 235]), 10: array([871, 570, 502, 402, 435, 435, 368, 335, 201])}",331.16129032258067,6.8,409.5730337078652
1,s81,"{1: array([230,  32, 230, 164, 263, 296,  65]), 2: array([296.,  nan, 263.,  nan, 296., 296., 263.]), 3: array([263.,  nan, 230., 230., 164.,  nan, 230.]), 4: array([1348,  230,  164,  263,  197,  263,  263]), 5: array([197., 263., 230.,  98., 263., 230.,  nan]), 6: array([501., 267., 233.,  33., 300.,  nan, 334.]), 7: array([ 234.,  234.,  234.,  267.,  267., 1507.,   nan]), 8: array([267., 234., 234., 267., 267., 234.,  nan]), 9: array([335, 268, 268, 167, 301, 335, 703]), 10: array([ 368,  402,  268,  268,  402,  301, 1005])}","{1: 7, 2: 5, 3: 7, 4: 7, 5: 9, 6: 7, 7: 7, 8: 6, 9: 9, 10: 7}","{1: array([791, 659, 296, 560, 395, 230, 263, 428]), 2: array([625, 526, 427, 427, 427, 329, 230, 230,  98]), 3: array([724, 428, 526, 329, 263, 428, 230, 263, 230]), 4: array([625, 526, 559, 394, 329, 361, 296,  65, 131]), 5: array([657, 361, 361, 295, 361, 361, 460, 295,  65, 295,  65, 263]), 6: array([601, 567, 501, 367, 300, 267, 434, 334, 267, 233]), 7: array([803, 703, 401, 468, 401, 334, 334, 267]), 8: array([702, 334, 501, 334, 267, 368, 267,  66]), 9: array([703, 536, 536, 435, 368, 301, 469, 335, 301,  67]), 10: array([771, 502, 871, 335, 268, 268, 201, 301, 301])}",266.11290322580646,7.2,391.79347826086956
2,s61,"{1: array([ nan,  33., 201.,  nan, 235., 235., 235.]), 2: array([335, 201, 234,  33, 268, 234, 268]), 3: array([ 201,  268,  268, 1007,  201,  302,  302]), 4: array([269, 538, 235, 235, 235, 269, 269]), 5: array([235,  33, 201, 168, 235, 268, 235]), 6: array([302, 235, 268, 235, 235, 235, 604]), 7: array([370, 235, 269, 269, 269, 370, 303]), 8: array([134, 235, 168, 201, 235, 134, 168]), 9: array([168, 168, 235, 269, 201, 235, 235]), 10: array([604, 201, 235,  33, 167, 167, 201])}","{1: 6, 2: 6, 3: 10, 4: 6, 5: 6, 6: 7, 7: 6, 8: 8, 9: 6, 10: 8}","{1: array([673, 740, 504, 673, 370, 336, 336, 269]), 2: array([536, 402, 503, 268, 335, 335, 268]), 3: array([604, 537, 335, 369, 369, 335, 369, 268, 302,  67, 235, 235, 268]), 4: array([706, 504, 437, 336, 403, 302, 369, 336, 269, 134]), 5: array([571, 537, 369, 437, 268, 403, 403, 302]), 6: array([470, 369, 470, 335, 402, 302, 369, 100]), 7: array([539, 336, 438, 336, 303, 370, 303, 101]), 8: array([504, 336, 504, 336, 336, 336, 302,  67, 100, 201]), 9: array([605, 370, 470, 336, 403, 336, 370, 201, 201]), 10: array([537, 537, 436, 369, 402, 402, 402, 134, 369, 302])}",238.2058823529412,6.7,368.8241758241758
3,s87,"{1: array([  33,  601, 1503,  668,  367,  167,  467]), 2: array([434, 200, 167, 133, 501, 468, 535]), 3: array([  66,  233,  466,  166,  199,  133, 1099]), 4: array([701, 534, 267, 501, 534, 534, 701]), 5: array([669, 401, 434, 401, 167, 368, 368]), 6: array([767, 267, 333, 233, 267,  66, 267]), 7: array([233, 167, 467, 267, 267, 300, 334]), 8: array([367, 133, 100, 267, 500, 367, 467]), 9: array([469, 368, 368, 402, 268, 469, 402]), 10: array([501., 634.,  nan, 534., 400., 300., 233.])}","{1: 9, 2: 9, 3: 12, 4: 9, 5: 9, 6: 7, 7: 7, 8: 7, 9: 8, 10: 6}","{1: array([768, 300, 935, 233, 300, 434, 434, 167, 200, 133, 133, 167]), 2: array([635, 802, 535, 702, 267, 434, 334, 468, 434, 234, 200]), 3: array([633, 633, 766, 433, 533, 333, 399, 366, 366, 433, 466, 299, 266,
       233, 366]), 4: array([734, 467, 334, 501, 334, 267, 334, 267, 300, 200, 133]), 5: array([635, 602, 401, 602, 535, 267, 301, 334, 200, 334, 301, 200, 100]), 6: array([1001,  767,  734,  600,  534,  400,  333,  467,  100,  133,  233,
        166]), 7: array([801, 467, 501, 334, 434, 334, 233, 300, 100]), 8: array([801, 534, 601, 534, 601, 634, 601, 100, 267]), 9: array([670, 569, 502, 402, 402, 335, 301, 368,  67]), 10: array([668, 601, 534, 567, 400, 601, 167, 601, 300])}",373.9855072463768,8.1,411.1
4,s86,"{1: array([167, 167, 234, 100,  33, 302, 302]), 2: array([137, 103, 137, 103, 206, 206, 240]), 3: array([402., 234., 268., 268., 234.,  nan, 335.]), 4: array([269, 235, 302, 269, 302, 201, 302]), 5: array([302, 302, 235, 302, 302, 302, 336]), 6: array([436, 268, 201, 268, 537, 369, 335]), 7: array([235,  67, 100, 268, 302, 302, 201]), 8: array([469, 436, 335, 503, 234, 536, 503]), 9: array([302, 302, 235, 268, 504, 201, 268]), 10: array([369, 706, 235, 269, 302, 302, 470])}","{1: 7, 2: 6, 3: 6, 4: 7, 5: 6, 6: 8, 7: 7, 8: 10, 9: 8, 10: 6}","{1: array([570, 402, 402, 369, 369, 369, 369, 100, 335]), 2: array([824, 446, 446, 412, 343, 309, 206]), 3: array([872, 503, 368, 368, 436, 201, 234, 301, 301]), 4: array([807, 470, 571, 403, 336, 302, 336, 302, 100]), 5: array([807, 504, 403, 370, 336, 336, 336, 100]), 6: array([604, 705, 436, 436, 571, 268, 201, 268, 436, 235, 335, 201, 100]), 7: array([638, 537, 537, 604, 403, 302, 403, 100, 335]), 8: array([704, 637, 536, 402, 536, 536, 268, 201, 201,  67,  67,  67]), 9: array([638, 605, 437, 470, 168, 437, 437, 437,  67, 134]), 10: array([605, 504, 605, 302, 369, 336, 302, 134, 134])}",284.40579710144925,6.9,378.13684210526316
5,s58,"{1: array([464, 431, 398, 332, 431, 332, 464]), 2: array([267., 367., 534.,  nan, 434., 400., 434.]), 3: array([399., 399.,  nan, 498., 465., 399., 365.]), 4: array([204, 578, 442, 442, 272, 442, 408]), 5: array([465., 432., 432.,  nan, 399., 365., 332.]), 6: array([439, 473, 439, 371, 473, 574, 507]), 7: array([399, 466, 366, 366, 366, 499, 233]), 8: array([533, 400, 333, 433, 300, 433, 533]), 9: array([497, 430, 464, 563, 331, 464, 563]), 10: array([542, 474, 474, 135, 406, 474, 440])}","{1: 6, 2: 6, 3: 8, 4: 6, 5: 6, 6: 6, 7: 7, 8: 6, 9: 7, 10: 8}","{1: array([664, 498, 531, 398, 365, 232, 265, 398,  66]), 2: array([901, 768, 434, 367, 601, 434, 300, 300]), 3: array([731, 632, 532, 299, 365, 332, 232, 332,  66, 199]), 4: array([544, 476, 374, 408, 510, 238, 204, 340, 374]), 5: array([598, 698, 399, 365, 498, 365, 399, 232]), 6: array([642, 507, 405, 473, 608, 439, 371]), 7: array([799, 432, 599, 466, 333, 333, 333, 399,  66, 266]), 8: array([600, 533, 466, 433, 333, 366, 333]), 9: array([662, 397, 464, 464, 430, 364, 464,  99]), 10: array([745, 677, 915, 338, 271, 237, 305, 305, 101, 237])}",427.43283582089555,6.6,420.63953488372096
6,s3,"{1: array([370., 168., 269.,  nan, 236., 168., 607.]), 2: array([402., 402., 402.,  nan, 301., 201.,  33.]), 3: array([403, 100,  67, 369, 336, 571, 369]), 4: array([ 335, 1007,  302,  402,  201,  369,  201]), 5: array([335., 201., 268.,  nan, 369., 167., 134.]), 6: array([301, 301, 134, 301, 335, 369, 301]), 7: array([1075,  302, 1109,  403,  369,  235,  369]), 8: array([371.,  nan, 337., 303., 438., 303., 404.]), 9: array([402, 268, 335, 301, 100, 301, 167]), 10: array([302.,  nan, 100., 369., 134., 134., 335.])}","{1: 7, 2: 7, 3: 7, 4: 8, 5: 6, 6: 8, 7: 9, 8: 5, 9: 8, 10: 7}","{1: array([674, 741, 573, 472, 370, 438, 236, 168]), 2: array([737, 704, 570, 435, 268, 301, 402, 435]), 3: array([605, 504, 470, 235, 470, 302, 201, 201]), 4: array([705, 570, 302, 436, 402, 235, 235, 235,  67, 268, 167]), 5: array([705, 738, 671, 402, 470, 302, 537, 201, 100, 167]), 6: array([771, 603, 268, 570, 436, 268, 100, 201, 134, 167]), 7: array([806, 638, 705, 605, 268, 739, 437, 336, 638, 134, 134,  67]), 8: array([742, 607, 506, 472, 337, 472, 337]), 9: array([804, 603, 435, 435, 502, 368, 368, 201, 301, 234]), 10: array([604, 570, 570, 570, 637, 436, 671, 402, 268])}",296.3076923076923,7.2,429.02150537634407
7,s53,"{1: array([334., 334., 368., 568., 568.,  nan, 267.]), 2: array([368, 402, 268, 301, 301, 368, 335]), 3: array([335, 268, 268, 301, 301, 301, 268]), 4: array([635, 368, 267, 401, 301, 535, 468]), 5: array([435, 301, 334, 334, 334, 334, 301]), 6: array([402, 234, 268, 234, 268, 301, 234]), 7: array([368, 301, 267, 267, 301, 301, 267]), 8: array([301, 234, 268, 301, 301, 335, 234]), 9: array([304, 202, 202, 135, 270, 270, 304]), 10: array([635, 468, 367, 334, 334, 367, 401])}","{1: 6, 2: 6, 3: 7, 4: 7, 5: 6, 6: 7, 7: 7, 8: 6, 9: 6, 10: 7}","{1: array([970, 669, 401, 334, 368, 368, 267, 301]), 2: array([703, 469, 603, 402, 435, 335, 201]), 3: array([570, 502, 402, 435, 335, 402,  67, 335,  67]), 4: array([736, 468, 502, 368, 435, 267, 267, 234, 234]), 5: array([736, 334, 736, 301, 301,  66, 301, 234, 234]), 6: array([738, 536, 436, 402, 402, 369, 301, 100]), 7: array([602, 635, 435, 569, 435, 301, 301,  66, 267,  66]), 8: array([704, 637, 436, 301, 335, 402, 234]), 9: array([507, 473, 439, 405, 405, 270, 270]), 10: array([501, 401, 367, 367, 334, 300, 267, 234, 300])}",323.39130434782606,6.5,393.421686746988
8,s66,"{1: array([434, 267, 234, 301, 368, 301, 267]), 2: array([402, 368, 368, 402, 301, 368, 402]), 3: array([367, 234, 301, 267, 267, 267, 301]), 4: array([234, 302, 302, 335, 335, 369, 369]), 5: array([368, 368, 335, 402, 201, 469,  33]), 6: array([369, 268, 201, 201, 301, 268, 301]), 7: array([ 300,  300,  334,  300,  300,  334, 1036]), 8: array([335, 301, 301, 335, 335, 368, 134]), 9: array([301, 200, 267, 334, 334, 334, 167]), 10: array([335, 335, 268, 167, 402, 335, 335])}","{1: 6, 2: 6, 3: 7, 4: 6, 5: 6, 6: 7, 7: 8, 8: 8, 9: 6, 10: 7}","{1: array([568, 501, 434, 368, 535, 334, 301]), 2: array([737, 569, 502, 368, 368, 335, 335]), 3: array([401, 367, 401, 334, 367, 434, 334, 301]), 4: array([704, 469, 570, 402, 402, 402, 302, 402]), 5: array([737, 368, 838, 268, 368, 670, 335]), 6: array([637, 436, 469, 402, 301, 436, 469,  67]), 7: array([735, 300, 501, 267, 334, 234, 234, 267,  66, 167]), 8: array([737, 502, 637, 301, 335, 637, 268, 268, 100]), 9: array([870, 602, 401, 401, 368, 334, 334,  66]), 10: array([570, 369, 469, 268, 302, 302, 268, 201, 268, 167])}",311.65714285714284,6.7,402.0731707317073
9,s73,"{1: array([601, 300, 334, 367, 367, 434, 367]), 2: array([366, 333, 300, 300, 233, 333, 333]), 3: array([436, 302, 335, 335, 234, 335, 369]), 4: array([599, 499, 299, 633, 499, 333, 433]), 5: array([334, 334, 367, 334, 334, 300, 334]), 6: array([467, 334, 400, 367, 668,  33, 734]), 7: array([434, 301, 334, 334, 301, 669, 501]), 8: array([572, 303, 269, 303, 572, 269, 471]), 9: array([569., 334., 703., 435., 535.,  nan,  nan]), 10: array([367, 333, 267, 400, 567, 333, 333])}","{1: 6, 2: 6, 3: 7, 4: 6, 5: 6, 6: 10, 7: 6, 8: 6, 9: 6, 10: 7}","{1: array([701, 601, 467, 334, 701, 400, 367, 334]), 2: array([766, 533, 466, 566, 300, 366, 333]), 3: array([536, 402, 503, 436, 402, 302, 469, 302, 369, 402]), 4: array([799, 599, 766, 199, 399, 499,  66, 133]), 5: array([701, 434, 601, 400, 367, 367, 367, 133]), 6: array([668, 567, 601, 501, 567, 400, 501, 434, 434, 367, 100, 267]), 7: array([702, 468, 568, 434, 401, 468, 234, 301, 334]), 8: array([842, 707, 640, 539, 370, 269, 303]), 9: array([669, 535, 736, 468, 167, 334,  66, 301]), 10: array([734, 600, 667, 467, 534, 500, 400, 100])}",394.6029411764706,6.3,457.84705882352944
