,frame,pred_x,pred_y
0,1,887,625
1,2,881,564
2,3,835,638
3,4,840,611
4,5,872,512
5,6,869,527
6,7,864,544
7,8,810,663
8,9,1334,347
9,10,1490,412
10,11,1536,446
11,12,1485,543
12,13,1474,478
13,14,1454,453
14,15,1413,509
15,16,1473,499
16,17,1413,572
17,18,1527,419
18,19,1445,489
19,20,1507,381
20,21,1385,548
21,22,1379,609
22,23,1448,498
23,24,1496,435
24,25,1589,492
25,26,1542,482
26,27,1436,562
27,28,1591,438
28,29,1469,522
29,30,1456,549
30,31,1332,626
31,32,1417,622
32,33,1384,680
33,34,1306,694
34,35,1387,654
35,36,1417,592
36,37,1406,539
37,38,1469,527
38,39,1547,500
39,40,1409,510
40,41,1368,463
41,42,1499,473
42,43,1304,546
43,44,1429,516
44,45,1405,538
45,46,1499,483
46,47,1463,446
47,48,1425,525
48,49,1575,430
49,50,1587,279
50,51,1581,409
51,52,1587,388
52,53,1482,439
53,54,1588,335
54,55,1534,570
55,56,1658,497
56,57,1535,534
57,58,1565,452
58,59,1404,503
59,60,1594,368
60,61,1432,558
61,62,1416,559
62,63,1496,525
63,64,1403,595
64,65,1507,605
65,66,1551,451
66,67,1442,564
67,68,1529,469
68,69,1527,461
69,70,1557,405
70,71,1542,559
71,72,1535,562
72,73,1613,562
73,74,1601,455
74,75,1589,416
75,76,1492,458
76,77,1500,513
77,78,1429,505
78,79,1570,503
79,80,1541,568
80,81,1563,583
81,82,1563,548
82,83,1587,426
83,84,1587,420
84,85,1604,477
85,86,1585,435
86,87,1599,451
87,88,1655,399
88,89,1683,459
89,90,1664,448
90,91,1522,601
91,92,1573,559
92,93,1501,622
93,94,1460,546
94,95,1472,560
95,96,1513,593
96,97,1550,478
97,98,1634,398
98,99,1572,454
99,100,1515,348
100,101,1467,458
101,102,1431,546
102,103,1414,486
103,104,826,697
104,105,109,644
105,106,33,749
106,107,-55,692
107,108,26,727
108,109,45,694
109,110,26,693
110,111,-39,689
111,112,-48,718
112,113,86,700
113,114,8,683
114,115,71,569
115,116,114,687
116,117,181,688
117,118,125,647
118,119,-9,656
119,120,-25,646
120,121,-5,814
121,122,85,764
122,123,131,795
123,124,41,705
124,125,111,619
125,126,19,657
126,127,121,664
127,128,-13,693
128,129,158,659
129,130,150,699
130,131,113,764
131,132,117,672
132,133,115,682
133,134,115,669
134,135,126,685
135,136,221,700
136,137,216,669
137,138,139,673
138,139,77,678
139,140,-25,659
140,141,-70,758
141,142,39,749
142,143,-77,722
143,144,-194,659
144,145,-86,719
145,146,113,751
146,147,42,729
147,148,-88,748
148,149,-131,671
149,150,-79,727
150,151,-111,733
151,152,-84,712
152,153,-2,714
153,154,-48,658
154,155,41,675
155,156,71,656
156,157,105,739
157,158,102,732
158,159,-2,759
159,160,8,717
160,161,-20,694
161,162,-105,729
162,163,-40,724
163,164,-17,717
164,165,-27,701
165,166,-91,689
166,167,9,645
167,168,93,753
168,169,-56,678
169,170,-83,710
170,171,46,667
171,172,128,680
172,173,4,667
173,174,-44,640
174,175,113,681
175,176,91,681
176,177,-15,682
177,178,30,600
178,179,145,603
179,180,68,558
180,181,-11,703
181,182,-35,747
182,183,-56,754
183,184,-51,694
184,185,-4,667
185,186,101,692
186,187,31,663
187,188,21,676
188,189,55,706
189,190,13,687
190,191,-8,686
191,192,-14,660
192,193,-32,707
193,194,79,710
194,195,76,781
195,196,481,753
196,197,749,728
197,198,709,700
198,199,688,659
199,200,744,542
200,201,826,603
201,202,884,520
202,203,853,604
203,204,775,567
204,205,705,552
205,206,734,449
206,207,754,419
207,208,770,424
208,209,755,432
209,210,818,447
210,211,768,646
211,212,754,631
212,213,817,641
213,214,825,580
214,215,881,577
215,216,851,567
216,217,809,463
217,218,653,529
218,219,762,516
219,220,711,362
220,221,761,588
221,222,769,549
222,223,791,713
223,224,992,955
224,225,791,948
225,226,30,894
226,227,1615,773
227,228,1332,619
228,229,835,679
229,230,757,665
230,231,776,758
231,232,681,728
232,233,770,615
233,234,723,641
234,235,761,558
235,236,775,434
236,237,743,575
237,238,741,572
238,239,711,479
239,240,738,525
240,241,728,613
241,242,716,581
242,243,788,574
243,244,713,556
244,245,662,553
245,246,742,537
246,247,750,565
247,248,735,556
248,249,819,570
249,250,732,545
250,251,831,588
251,252,724,562
252,253,749,301
253,254,713,403
254,255,733,426
255,256,858,303
256,257,750,463
257,258,783,350
258,259,798,409
259,260,799,261
260,261,759,552
261,262,798,565
262,263,758,449
263,264,665,496
264,265,627,605
265,266,753,628
266,267,696,620
267,268,764,625
268,269,731,646
269,270,788,671
270,271,746,618
271,272,714,562
272,273,799,583
273,274,731,527
274,275,775,586
275,276,730,517
276,277,865,401
277,278,761,456
278,279,803,493
279,280,765,497
280,281,729,485
281,282,734,474
282,283,832,500
283,284,752,399
284,285,792,443
285,286,728,447
286,287,747,544
287,288,856,525
288,289,941,469
289,290,857,626
290,291,1080,648
291,292,1094,634
292,293,1105,660
293,294,1021,678
294,295,1072,599
295,296,1054,609
296,297,1017,633
297,298,954,603
298,299,983,679
299,300,1046,684
300,301,997,684
301,302,988,748
302,303,982,719
303,304,961,665
304,305,1020,559
305,306,1001,568
306,307,984,665
307,308,999,616
308,309,878,631
309,310,919,665
310,311,1047,749
311,312,1081,648
312,313,1060,673
313,314,998,648
314,315,966,688
315,316,1016,600
316,317,1044,569
317,318,1047,596
318,319,1041,660
319,320,1022,597
320,321,1048,672
321,322,1018,607
322,323,911,604
323,324,888,619
324,325,888,597
325,326,986,486
326,327,1011,596
327,328,1061,589
328,329,1029,615
329,330,1070,523
330,331,1023,651
331,332,940,639
332,333,938,688
333,334,970,691
334,335,947,719
335,336,908,697
336,337,893,739
337,338,971,564
338,339,955,601
339,340,998,697
340,341,985,750
341,342,1038,692
342,343,1018,709
343,344,960,616
344,345,933,753
345,346,928,716
346,347,911,658
347,348,940,665
348,349,956,672
349,350,937,614
350,351,962,687
351,352,942,655
352,353,972,655
353,354,986,600
354,355,979,608
355,356,1041,591
356,357,1035,576
357,358,1038,563
358,359,1010,643
359,360,944,616
360,361,1058,694
361,362,1102,602
362,363,1060,610
363,364,1098,565
364,365,1014,618
365,366,967,646
366,367,968,661
367,368,1010,620
368,369,978,652
369,370,978,597
370,371,1059,624
371,372,1112,637
372,373,912,715
373,374,984,654
374,375,1072,598
375,376,1061,561
376,377,1042,550
377,378,999,525
378,379,975,659
379,380,1008,646
380,381,986,614
381,382,967,615
382,383,978,551
383,384,1012,564
384,385,989,550
385,386,1007,641
386,387,627,562
387,388,35,428
388,389,47,389
389,390,189,456
390,391,44,582
391,392,-34,577
392,393,-6,468
393,394,-7,441
394,395,48,367
395,396,99,369
396,397,31,355
397,398,-58,481
398,399,18,394
399,400,18,387
400,401,18,622
401,402,-8,556
402,403,-89,491
403,404,-98,505
404,405,-48,576
405,406,-50,526
406,407,-124,467
407,408,-76,508
408,409,85,568
409,410,78,559
410,411,-44,537
411,412,81,414
412,413,-19,441
413,414,-88,429
414,415,-30,441
415,416,7,303
416,417,-2,391
417,418,-106,367
418,419,-50,431
419,420,-26,347
420,421,112,532
421,422,41,448
422,423,50,322
423,424,74,443
424,425,88,393
425,426,44,329
426,427,-7,274
427,428,95,266
428,429,112,374
429,430,196,195
430,431,95,335
431,432,50,358
432,433,76,342
433,434,147,242
434,435,111,292
435,436,84,418
436,437,115,286
437,438,93,250
438,439,33,337
439,440,-12,297
440,441,34,309
441,442,32,468
442,443,-17,466
443,444,43,418
444,445,59,489
445,446,66,382
446,447,84,453
447,448,89,403
448,449,72,464
449,450,65,430
450,451,-16,476
451,452,-95,506
452,453,-29,464
453,454,4,418
454,455,-36,436
455,456,-4,375
456,457,-69,535
457,458,-63,542
458,459,-114,469
459,460,-88,495
460,461,-40,511
461,462,-69,466
462,463,-115,405
463,464,-92,391
464,465,-25,442
465,466,-72,454
466,467,-13,405
467,468,-90,413
468,469,30,483
469,470,43,443
470,471,-2,554
471,472,19,577
472,473,-12,544
473,474,-28,458
474,475,53,473
475,476,54,349
476,477,16,466
477,478,415,680
478,479,1198,826
479,480,1515,756
480,481,1564,746
481,482,1431,796
482,483,1581,748
483,484,1696,667
484,485,1788,640
485,486,1734,652
486,487,1606,701
487,488,1615,708
488,489,1672,650
489,490,1701,648
490,491,1601,730
491,492,1544,787
492,493,1529,745
493,494,1493,723
494,495,1570,670
495,496,1501,711
496,497,1611,671
497,498,1660,689
498,499,1707,673
499,500,1603,711
500,501,1606,772
501,502,1509,784
502,503,1622,737
503,504,1668,717
504,505,1598,769
505,506,1571,770
506,507,1532,751
507,508,1549,791
508,509,1489,806
509,510,1545,751
510,511,1569,780
511,512,1505,800
512,513,1525,754
513,514,1608,697
514,515,1530,765
515,516,1546,737
516,517,1551,703
517,518,1517,760
518,519,1423,814
519,520,1538,765
520,521,1512,767
521,522,1465,770
522,523,1435,781
523,524,1439,725
524,525,1524,746
525,526,1519,740
526,527,1417,779
527,528,1537,751
528,529,1697,706
529,530,1606,735
530,531,1473,758
531,532,1481,734
532,533,1403,811
533,534,1425,784
534,535,1411,807
535,536,1354,817
536,537,1451,795
537,538,1382,828
538,539,1469,776
539,540,1466,775
540,541,1660,734
541,542,1678,652
542,543,1628,690
543,544,1640,705
544,545,1613,713
545,546,1620,676
546,547,1654,652
547,548,1661,633
548,549,1770,590
549,550,1822,596
550,551,1632,758
551,552,1602,729
552,553,1653,735
553,554,1709,705
554,555,1697,702
555,556,1584,726
556,557,1682,667
557,558,1667,674
558,559,1774,655
559,560,1689,675
560,561,1626,657
561,562,1609,674
562,563,1689,612
563,564,1665,628
564,565,1692,640
565,566,1242,748
566,567,1073,794
567,568,1001,775
568,569,825,837
569,570,801,797
570,571,740,873
571,572,914,736
572,573,867,865
573,574,825,739
574,575,756,758
575,576,698,796
576,577,719,754
577,578,804,650
578,579,846,732
579,580,867,671
580,581,822,847
581,582,774,822
582,583,751,805
583,584,787,831
584,585,818,792
585,586,868,810
586,587,797,779
587,588,846,755
588,589,844,849
589,590,809,811
590,591,760,828
591,592,834,693
592,593,886,771
593,594,702,769
594,595,906,723
595,596,818,777
596,597,855,749
597,598,871,789
598,599,878,803
599,600,841,869
600,601,915,870
601,602,779,900
602,603,832,880
603,604,849,884
604,605,859,829
605,606,845,858
606,607,765,763
607,608,805,792
608,609,857,804
609,610,718,775
610,611,834,789
611,612,955,772
612,613,941,854
613,614,948,804
614,615,871,791
615,616,901,800
616,617,829,812
617,618,940,818
618,619,836,835
619,620,849,852
620,621,854,766
621,622,915,703
622,623,866,738
623,624,888,641
624,625,949,787
625,626,964,794
626,627,966,724
627,628,853,741
628,629,879,796
629,630,894,816
630,631,846,880
631,632,835,857
632,633,934,834
633,634,751,814
634,635,902,820
635,636,776,850
636,637,820,839
637,638,859,808
638,639,925,777
639,640,882,783
640,641,753,839
641,642,818,788
642,643,839,807
643,644,769,833
644,645,776,879
645,646,787,814
646,647,855,759
647,648,727,823
648,649,765,857
649,650,880,831
650,651,803,799
651,652,806,792
652,653,836,821
653,654,787,831
654,655,781,783
655,656,1180,569
656,657,1427,160
657,658,1415,22
658,659,1498,102
659,660,1413,-61
660,661,1528,226
661,662,1566,262
662,663,1423,201
663,664,1493,157
664,665,1404,-11
665,666,1433,143
666,667,1494,-56
667,668,1455,15
668,669,1440,58
669,670,1427,16
670,671,1436,148
671,672,1427,-156
672,673,1549,150
673,674,1491,110
674,675,1501,86
675,676,1573,-146
676,677,1454,-93
677,678,1501,12
678,679,1562,-17
679,680,1594,-13
680,681,1594,21
681,682,1563,9
682,683,1508,72
683,684,1658,18
684,685,1614,-44
685,686,1554,-75
686,687,1538,-53
687,688,1577,-25
688,689,1544,-49
689,690,1611,-62
690,691,1609,-54
691,692,1609,-197
692,693,1528,-43
693,694,1442,-118
694,695,1400,66
695,696,1525,-119
696,697,1569,23
697,698,1762,2
698,699,1767,-111
699,700,1694,-296
700,701,1502,7
701,702,1509,80
702,703,1471,106
703,704,1523,89
704,705,1529,21
705,706,1589,-43
706,707,1520,-54
707,708,1524,-70
708,709,1485,63
709,710,1462,120
710,711,1391,234
711,712,1363,185
712,713,1436,121
713,714,1426,120
714,715,1500,70
715,716,1481,97
716,717,1417,32
717,718,1442,103
718,719,1393,102
719,720,1458,87
720,721,1456,154
721,722,1525,224
722,723,1477,105
723,724,1473,181
724,725,1452,115
725,726,1406,123
726,727,1380,139
727,728,1434,132
728,729,1380,137
729,730,1493,232
730,731,1470,149
731,732,1398,1
732,733,1401,98
733,734,1334,129
734,735,1376,-20
735,736,1417,58
736,737,1512,-16
737,738,1472,44
738,739,1506,-2
739,740,1428,24
740,741,1423,191
741,742,1411,226
742,743,1420,18
743,744,1462,-19
744,745,954,205
745,746,162,111
746,747,-136,109
747,748,-149,88
748,749,-120,-90
749,750,-87,39
750,751,-99,150
751,752,-133,148
752,753,-57,192
753,754,28,81
754,755,-56,27
755,756,-97,77
756,757,-88,-63
757,758,-72,-87
758,759,-25,-62
759,760,-20,64
760,761,-43,153
761,762,-90,102
762,763,-136,64
763,764,-50,-11
764,765,-6,97
765,766,-35,69
766,767,75,102
767,768,82,18
768,769,-38,106
769,770,-25,119
770,771,7,153
771,772,-53,64
772,773,-30,72
773,774,-53,149
774,775,-37,3
775,776,-27,-33
776,777,-41,77
777,778,-90,139
778,779,-85,57
779,780,-28,-74
780,781,45,-42
781,782,37,-222
782,783,115,-216
783,784,113,-253
784,785,77,-167
785,786,62,-133
786,787,2,-223
787,788,47,-362
788,789,-19,-146
789,790,20,-115
790,791,12,-293
791,792,70,-235
792,793,-63,-108
793,794,-144,-17
794,795,-80,-223
795,796,-55,-97
796,797,-95,-140
797,798,-15,-251
798,799,96,-235
799,800,123,-319
800,801,-16,51
801,802,68,-170
802,803,53,-114
803,804,66,-28
804,805,87,-184
805,806,117,-144
806,807,40,-158
807,808,69,-163
808,809,5,10
809,810,-22,-142
810,811,77,-48
811,812,115,-154
812,813,99,-201
813,814,61,-14
814,815,112,-132
815,816,59,-113
816,817,39,14
817,818,40,42
818,819,68,-103
819,820,60,-43
820,821,56,18
821,822,-8,61
822,823,-24,79
823,824,-48,85
824,825,43,72
825,826,0,-61
826,827,53,-102
827,828,53,-20
828,829,72,-100
829,830,46,-1
830,831,141,-148
831,832,146,-135
