,frame,pred_x,pred_y
0,1,395,967
1,2,721,955
2,3,560,929
3,4,696,716
4,5,791,640
5,6,990,788
6,7,1135,729
7,8,1208,714
8,9,1141,698
9,10,1093,701
10,11,955,639
11,12,907,653
12,13,826,553
13,14,801,569
14,15,818,518
15,16,814,565
16,17,842,604
17,18,811,569
18,19,813,538
19,20,844,523
20,21,814,594
21,22,781,564
22,23,784,526
23,24,811,530
24,25,896,668
25,26,880,683
26,27,868,634
27,28,890,648
28,29,875,653
29,30,818,647
30,31,851,689
31,32,883,701
32,33,893,674
33,34,828,693
34,35,819,687
35,36,838,692
36,37,853,666
37,38,847,649
38,39,810,577
39,40,814,600
40,41,755,642
41,42,757,635
42,43,826,685
43,44,830,607
44,45,816,608
45,46,858,520
46,47,829,523
47,48,907,503
48,49,884,430
49,50,896,408
50,51,858,494
51,52,933,516
52,53,852,455
53,54,906,469
54,55,931,428
55,56,884,369
56,57,983,339
57,58,1031,344
58,59,1024,266
59,60,972,218
60,61,990,238
61,62,989,269
62,63,1004,292
63,64,1012,253
64,65,1030,219
65,66,1028,219
66,67,1032,151
67,68,1054,151
68,69,1042,149
69,70,1057,218
70,71,1019,174
71,72,969,128
72,73,1028,219
73,74,1012,197
74,75,1066,245
75,76,1050,246
76,77,1021,231
77,78,1017,221
78,79,1034,138
79,80,1036,196
80,81,959,331
81,82,1001,416
82,83,948,500
83,84,979,540
84,85,928,620
85,86,964,617
86,87,818,608
87,88,825,624
88,89,784,590
89,90,802,606
90,91,741,553
91,92,715,562
92,93,730,603
93,94,730,598
94,95,656,572
95,96,716,596
96,97,854,529
97,98,837,494
98,99,843,553
99,100,844,557
100,101,874,538
101,102,933,573
102,103,953,546
103,104,916,518
104,105,952,541
105,106,919,511
106,107,946,582
107,108,925,526
108,109,936,562
109,110,957,582
110,111,966,642
111,112,943,591
112,113,932,587
113,114,941,604
114,115,997,552
115,116,986,510
116,117,986,428
117,118,1039,510
118,119,1024,529
119,120,1104,541
120,121,1186,426
121,122,1144,417
122,123,1121,435
123,124,1119,336
124,125,1176,386
125,126,1221,482
126,127,1234,450
127,128,1155,417
128,129,1283,458
129,130,1277,491
130,131,1251,500
131,132,1223,525
132,133,1232,417
133,134,1230,461
134,135,1231,438
135,136,1286,511
136,137,1292,510
137,138,1186,466
138,139,1257,466
139,140,1227,489
140,141,1223,521
141,142,1251,524
142,143,1213,511
143,144,1139,511
144,145,1188,540
145,146,1173,544
146,147,1036,494
147,148,1061,552
148,149,997,468
149,150,1005,465
150,151,931,508
151,152,903,507
152,153,888,537
153,154,901,523
154,155,825,496
155,156,850,517
156,157,571,864
157,158,439,995
158,159,260,994
159,160,232,983
160,161,187,912
161,162,307,828
162,163,350,771
163,164,385,717
164,165,621,632
165,166,623,603
166,167,987,803
167,168,862,811
168,169,71,863
169,170,304,971
170,171,236,941
171,172,110,846
172,173,159,710
173,174,427,703
174,175,600,594
175,176,673,606
176,177,790,665
177,178,733,576
178,179,824,586
179,180,773,568
180,181,734,685
181,182,715,676
182,183,750,709
183,184,768,702
184,185,774,690
185,186,814,723
186,187,847,696
187,188,815,643
188,189,846,624
189,190,874,631
190,191,793,647
191,192,748,625
192,193,811,614
193,194,837,568
194,195,840,581
195,196,809,606
196,197,811,552
197,198,756,542
198,199,770,517
199,200,775,524
200,201,764,490
201,202,787,467
202,203,795,517
203,204,801,492
204,205,828,488
205,206,840,493
206,207,884,550
207,208,836,496
208,209,829,464
209,210,831,470
210,211,846,503
211,212,797,637
212,213,800,638
213,214,778,691
214,215,746,636
215,216,813,673
216,217,854,718
217,218,841,727
218,219,888,772
219,220,857,765
220,221,871,734
221,222,794,755
222,223,798,760
223,224,756,750
224,225,766,754
225,226,777,751
226,227,755,727
227,228,697,714
228,229,665,798
229,230,708,837
230,231,614,817
231,232,607,798
232,233,643,840
233,234,696,819
234,235,649,821
235,236,710,795
236,237,576,781
237,238,572,836
238,239,541,799
239,240,573,756
240,241,644,852
241,242,704,870
242,243,680,842
243,244,793,765
244,245,751,701
245,246,807,697
246,247,778,706
247,248,777,706
248,249,708,699
249,250,728,727
250,251,781,642
251,252,784,688
252,253,723,692
253,254,773,689
254,255,746,688
255,256,727,710
256,257,778,617
257,258,779,646
258,259,721,597
259,260,751,648
260,261,733,587
261,262,789,630
262,263,772,672
263,264,792,640
264,265,927,636
265,266,971,628
266,267,950,656
267,268,953,633
268,269,943,568
269,270,949,674
270,271,983,700
271,272,951,646
272,273,960,646
273,274,952,643
274,275,940,623
275,276,939,622
276,277,875,616
277,278,862,646
278,279,874,676
279,280,890,672
280,281,848,692
281,282,886,684
282,283,859,686
283,284,851,676
284,285,858,700
285,286,866,707
286,287,854,705
287,288,868,726
288,289,746,559
289,290,738,541
290,291,724,471
291,292,753,477
292,293,823,495
293,294,840,494
294,295,854,435
295,296,857,435
296,297,912,411
297,298,917,390
298,299,966,426
299,300,946,345
300,301,995,403
301,302,1004,383
302,303,1058,339
303,304,1095,373
304,305,1102,464
305,306,1108,461
306,307,1133,415
307,308,1125,449
308,309,1131,429
309,310,1119,410
310,311,1128,441
311,312,1081,301
312,313,1193,464
313,314,1224,424
314,315,1193,446
315,316,1177,524
316,317,1170,450
317,318,1150,438
318,319,1144,484
319,320,1139,486
320,321,1153,449
321,322,1164,449
322,323,1125,415
323,324,1090,411
324,325,981,435
325,326,932,453
326,327,858,550
327,328,860,533
328,329,765,547
329,330,737,596
330,331,684,668
331,332,655,651
332,333,691,622
333,334,763,806
334,335,829,885
335,336,586,941
336,337,456,978
337,338,389,855
338,339,608,795
339,340,530,806
340,341,772,670
341,342,748,654
342,343,771,547
343,344,822,597
344,345,769,621
345,346,823,613
346,347,694,546
347,348,813,600
348,349,804,475
349,350,767,498
350,351,762,573
351,352,737,588
352,353,775,560
353,354,733,562
354,355,740,588
355,356,757,586
356,357,768,608
357,358,791,561
358,359,801,574
359,360,769,521
360,361,747,537
361,362,737,539
362,363,733,532
363,364,742,512
364,365,738,497
365,366,760,528
366,367,780,492
367,368,782,499
368,369,775,573
369,370,801,529
370,371,758,605
371,372,766,594
372,373,782,628
373,374,765,605
374,375,715,594
375,376,685,575
376,377,714,654
377,378,719,642
378,379,643,682
379,380,621,711
380,381,618,728
381,382,619,691
382,383,551,686
383,384,517,699
384,385,473,686
385,386,458,692
386,387,466,700
387,388,437,719
388,389,427,725
389,390,429,694
