,frame,pred_x,pred_y
0,1,735,589
1,2,766,492
2,3,765,491
3,4,771,461
4,5,768,444
5,6,774,429
6,7,779,445
7,8,739,456
8,9,739,434
9,10,733,451
10,11,778,464
11,12,795,409
12,13,807,396
13,14,813,394
14,15,831,378
15,16,829,413
16,17,830,425
17,18,818,436
18,19,820,460
19,20,836,463
20,21,895,466
21,22,839,493
22,23,837,471
23,24,832,499
24,25,872,537
25,26,876,531
26,27,876,545
27,28,870,515
28,29,825,541
29,30,806,541
30,31,811,563
31,32,778,572
32,33,794,574
33,34,793,562
34,35,794,560
35,36,794,591
36,37,815,657
37,38,813,673
38,39,818,673
39,40,818,633
40,41,780,611
41,42,793,659
42,43,793,600
43,44,771,599
44,45,740,595
45,46,747,589
46,47,780,611
47,48,755,571
48,49,822,646
49,50,805,641
50,51,770,640
51,52,780,627
52,53,790,618
53,54,798,639
54,55,796,630
55,56,765,632
56,57,727,622
57,58,689,623
58,59,702,609
59,60,707,618
60,61,559,615
61,62,560,622
62,63,583,617
63,64,581,629
64,65,603,629
65,66,564,653
66,67,524,637
67,68,516,649
68,69,473,629
69,70,496,625
70,71,515,642
71,72,552,624
72,73,510,680
73,74,496,659
74,75,504,666
75,76,509,652
76,77,510,658
77,78,485,625
78,79,444,629
79,80,479,618
80,81,498,636
81,82,476,630
82,83,473,646
83,84,505,630
84,85,475,673
85,86,492,679
86,87,496,645
87,88,525,648
88,89,497,646
89,90,503,638
90,91,514,682
91,92,506,666
92,93,496,665
93,94,451,643
94,95,565,649
95,96,593,677
96,97,627,734
97,98,647,729
98,99,665,725
99,100,685,733
100,101,640,713
101,102,629,734
102,103,629,735
103,104,634,739
104,105,644,748
105,106,648,732
106,107,641,723
107,108,633,740
108,109,655,721
109,110,596,707
110,111,397,543
111,112,351,483
112,113,308,433
113,114,322,440
114,115,328,436
115,116,315,422
116,117,312,373
117,118,292,417
118,119,326,401
119,120,380,400
120,121,326,366
121,122,304,364
122,123,321,358
123,124,311,384
124,125,303,386
125,126,281,377
126,127,260,372
127,128,267,395
128,129,299,333
129,130,308,360
130,131,295,332
131,132,265,351
132,133,264,383
133,134,226,410
134,135,240,353
135,136,269,377
136,137,251,340
137,138,265,357
138,139,282,379
139,140,299,402
140,141,275,416
141,142,296,376
142,143,327,385
143,144,272,424
144,145,296,365
145,146,291,366
146,147,300,408
147,148,296,366
