,frame,pred_x,pred_y
0,1,826,791
1,2,849,675
2,3,870,576
3,4,881,520
4,5,901,477
5,6,910,447
6,7,918,417
7,8,932,409
8,9,1055,391
9,10,1199,410
10,11,1311,423
11,12,1394,432
12,13,1454,430
13,14,1500,421
14,15,1529,407
15,16,1555,408
16,17,1565,413
17,18,1580,414
18,19,1593,423
19,20,1587,409
20,21,1581,407
21,22,1573,415
22,23,1578,436
23,24,1574,436
24,25,1592,452
25,26,1603,461
26,27,1610,475
27,28,1623,493
28,29,1617,488
29,30,1625,492
30,31,1611,498
31,32,1606,502
32,33,1605,520
33,34,1613,522
34,35,1623,522
35,36,1629,508
36,37,1628,488
37,38,1628,481
38,39,1639,469
39,40,1646,459
40,41,1636,462
41,42,1635,480
42,43,1647,469
43,44,1647,469
44,45,1637,453
45,46,1625,469
46,47,1612,470
47,48,1604,484
48,49,1593,482
49,50,1601,468
50,51,1596,473
51,52,1591,460
52,53,1588,453
53,54,1580,453
54,55,1591,469
55,56,1597,496
56,57,1591,503
57,58,1587,497
58,59,1578,467
59,60,1572,461
60,61,1573,470
61,62,1572,475
62,63,1568,475
63,64,1569,477
64,65,1584,483
65,66,1591,483
66,67,1590,485
67,68,1595,482
68,69,1590,478
69,70,1589,471
70,71,1588,472
71,72,1587,469
72,73,1600,482
73,74,1601,484
74,75,1592,485
75,76,1582,486
76,77,1577,488
77,78,1578,495
78,79,1581,490
79,80,1592,492
80,81,1587,490
81,82,1584,486
82,83,1588,497
83,84,1588,497
84,85,1578,501
85,86,1575,493
86,87,1579,495
87,88,1584,501
88,89,1585,506
89,90,1583,495
90,91,1585,512
91,92,1576,517
92,93,1577,524
93,94,1582,534
94,95,1583,523
95,96,1571,520
96,97,1552,509
97,98,1545,516
98,99,1548,525
99,100,1552,503
100,101,1565,495
101,102,1577,488
102,103,1541,476
103,104,1296,571
104,105,981,665
105,106,748,738
106,107,567,783
107,108,435,814
108,109,353,832
109,110,286,846
110,111,224,851
111,112,197,857
112,113,187,857
113,114,171,851
114,115,137,836
115,116,141,836
116,117,165,848
117,118,165,870
118,119,157,889
119,120,144,906
120,121,103,934
121,122,84,956
122,123,79,995
123,124,64,1010
124,125,58,991
125,126,49,990
126,127,47,990
127,128,48,1013
128,129,59,1014
129,130,57,1037
130,131,64,1031
131,132,61,1002
132,133,45,989
133,134,38,989
134,135,45,994
135,136,60,1016
136,137,69,1029
137,138,65,1036
138,139,75,1041
139,140,84,997
140,141,130,946
141,142,179,934
142,143,210,909
143,144,229,866
144,145,204,845
145,146,189,850
146,147,163,848
147,148,168,864
148,149,166,875
149,150,162,885
150,151,136,901
151,152,111,899
152,153,111,884
153,154,102,855
154,155,116,853
155,156,112,866
156,157,90,898
157,158,73,901
158,159,78,908
159,160,62,929
160,161,62,931
161,162,61,913
162,163,76,912
163,164,75,923
164,165,59,911
165,166,69,883
166,167,80,888
167,168,97,905
168,169,96,914
169,170,93,909
170,171,84,917
171,172,98,923
172,173,87,922
173,174,75,908
174,175,69,894
175,176,72,879
176,177,61,873
177,178,70,872
178,179,88,843
179,180,79,833
