,frame,pred_x,pred_y
0,1,582,16
1,2,639,145
2,3,759,303
3,4,854,414
4,5,887,476
5,6,922,527
6,7,953,533
7,8,977,538
8,9,981,530
9,10,965,512
10,11,960,502
11,12,957,490
12,13,935,494
13,14,922,491
14,15,914,489
15,16,908,491
16,17,907,501
17,18,907,513
18,19,908,524
19,20,907,538
20,21,905,549
21,22,884,546
22,23,867,535
23,24,867,536
24,25,879,513
25,26,905,502
26,27,912,489
27,28,910,481
28,29,912,482
29,30,898,479
30,31,892,476
31,32,889,478
32,33,886,488
33,34,881,495
34,35,879,498
35,36,879,495
36,37,874,490
37,38,878,486
38,39,865,480
39,40,854,481
40,41,845,485
41,42,839,491
42,43,839,501
43,44,843,502
44,45,843,509
45,46,843,492
46,47,842,470
47,48,850,457
48,49,867,437
49,50,892,421
50,51,897,398
51,52,914,381
52,53,933,361
53,54,940,345
54,55,967,322
55,56,982,304
56,57,1000,286
57,58,1014,275
58,59,1027,241
59,60,1033,218
60,61,1065,186
61,62,1089,161
62,63,1104,154
63,64,1117,147
64,65,1124,143
65,66,1125,135
66,67,1123,135
67,68,1121,130
68,69,1119,130
69,70,1114,131
70,71,1125,123
71,72,1134,111
72,73,1147,114
73,74,1157,115
74,75,1163,116
75,76,1168,122
76,77,1174,119
77,78,1177,115
78,79,1185,106
79,80,1183,109
80,81,1148,152
81,82,1114,202
82,83,1075,260
83,84,1045,298
84,85,1020,342
85,86,1005,381
86,87,973,427
87,88,940,452
88,89,925,473
89,90,923,483
90,91,911,483
91,92,900,479
92,93,878,474
93,94,864,474
94,95,838,476
95,96,823,476
96,97,824,480
97,98,817,481
98,99,806,481
99,100,806,486
100,101,810,497
101,102,816,511
102,103,828,520
103,104,837,526
104,105,843,537
105,106,851,538
106,107,850,540
107,108,851,533
108,109,861,506
109,110,861,506
110,111,869,512
111,112,875,516
112,113,905,523
113,114,932,512
114,115,966,482
115,116,993,475
116,117,1018,478
117,118,1040,472
118,119,1057,465
119,120,1088,463
120,121,1126,454
121,122,1146,457
122,123,1162,461
123,124,1176,459
124,125,1197,460
125,126,1213,474
126,127,1221,490
127,128,1224,477
128,129,1239,461
129,130,1251,448
130,131,1251,448
131,132,1261,437
132,133,1270,440
133,134,1277,439
134,135,1286,437
135,136,1297,446
136,137,1298,452
137,138,1286,460
138,139,1285,463
139,140,1293,462
140,141,1308,456
141,142,1316,453
142,143,1307,447
143,144,1279,442
144,145,1231,426
145,146,1192,411
146,147,1138,421
147,148,1097,425
148,149,1043,428
149,150,1002,442
150,151,960,459
151,152,921,463
152,153,890,464
153,154,873,459
154,155,851,461
155,156,843,477
156,157,862,574
157,158,821,591
158,159,800,490
159,160,773,415
160,161,861,365
161,162,897,352
162,163,907,381
163,164,896,452
164,165,882,509
165,166,875,537
166,167,873,539
167,168,877,537
168,169,994,195
169,170,1062,-15
170,171,1122,-117
171,172,1177,-122
172,173,1200,-102
173,174,1146,14
174,175,1093,178
175,176,1061,303
176,177,1011,392
177,178,964,442
178,179,943,491
179,180,927,523
180,181,902,513
181,182,889,500
182,183,886,477
183,184,882,462
184,185,880,442
185,186,869,454
186,187,869,458
187,188,868,455
188,189,872,449
189,190,869,454
190,191,856,478
191,192,833,490
192,193,838,501
193,194,843,509
194,195,839,520
195,196,832,520
196,197,836,505
197,198,834,493
198,199,837,490
199,200,837,489
200,201,831,492
201,202,828,493
202,203,817,498
203,204,810,503
204,205,817,495
205,206,816,492
206,207,816,489
207,208,820,484
208,209,810,488
209,210,801,488
210,211,796,485
211,212,778,498
212,213,767,540
213,214,766,594
214,215,768,595
215,216,766,606
216,217,767,640
217,218,771,664
218,219,761,713
219,220,754,748
220,221,747,780
221,222,738,818
222,223,721,851
223,224,708,875
224,225,691,877
225,226,683,881
