,frame,pred_x,pred_y
0,1,941,359
1,2,1073,339
2,3,1021,370
3,4,1075,467
4,5,984,418
5,6,1026,466
6,7,997,440
7,8,1014,441
8,9,1265,360
9,10,1369,355
10,11,1513,458
11,12,1527,500
12,13,1627,520
13,14,1564,554
14,15,1604,443
15,16,1525,548
16,17,1523,473
17,18,1631,542
18,19,1694,469
19,20,1645,373
20,21,1675,417
21,22,1654,464
22,23,1511,495
23,24,1634,466
24,25,1602,476
25,26,1595,465
26,27,1540,391
27,28,1501,429
28,29,1371,407
29,30,1526,441
30,31,1480,415
31,32,1447,500
32,33,1416,477
33,34,1470,480
34,35,1522,462
35,36,1432,451
36,37,1448,404
37,38,1400,447
38,39,1496,432
39,40,1466,460
40,41,1468,391
41,42,1524,462
42,43,1439,375
43,44,1468,435
44,45,1467,430
45,46,1448,461
46,47,1490,370
47,48,1516,412
48,49,1513,414
49,50,1568,418
50,51,1540,409
51,52,1608,231
52,53,1542,327
53,54,1537,290
54,55,1527,352
55,56,1615,326
56,57,1606,405
57,58,1483,419
58,59,1552,329
59,60,1437,299
60,61,1476,466
61,62,1625,487
62,63,1616,385
63,64,1588,442
64,65,1679,513
65,66,1558,482
66,67,1518,451
67,68,1520,430
68,69,1559,344
69,70,1605,422
70,71,1625,436
71,72,1553,314
72,73,1614,414
73,74,1501,415
74,75,1623,446
75,76,1495,448
76,77,1584,472
77,78,1530,470
78,79,1656,440
79,80,1678,386
80,81,1552,387
81,82,1522,360
82,83,1737,280
83,84,1568,298
84,85,1599,366
85,86,1622,397
86,87,1527,434
87,88,1657,357
88,89,1637,419
89,90,1580,349
90,91,1654,490
91,92,1544,446
92,93,1595,455
93,94,1576,508
94,95,1639,437
95,96,1568,446
96,97,1434,396
97,98,1568,474
98,99,1596,522
99,100,1501,364
100,101,1706,395
101,102,1614,425
102,103,1604,415
103,104,613,822
104,105,236,765
105,106,79,788
106,107,91,765
107,108,7,781
108,109,104,756
109,110,313,803
110,111,82,806
111,112,92,781
112,113,183,795
113,114,105,774
114,115,48,754
115,116,99,780
116,117,187,804
117,118,73,709
118,119,223,719
119,120,243,738
120,121,156,820
121,122,127,778
122,123,140,830
123,124,80,799
124,125,-1,808
125,126,231,738
126,127,154,820
127,128,218,823
128,129,129,807
129,130,56,791
130,131,97,780
131,132,124,693
132,133,43,770
133,134,17,725
134,135,121,823
135,136,194,819
136,137,235,750
137,138,169,808
138,139,48,844
139,140,40,705
140,141,125,726
141,142,231,816
142,143,145,845
143,144,45,734
144,145,132,684
145,146,196,580
146,147,13,753
147,148,202,759
148,149,115,728
149,150,125,744
150,151,132,724
151,152,146,668
152,153,190,662
153,154,81,574
154,155,171,704
155,156,111,740
156,157,16,785
157,158,54,747
158,159,120,706
159,160,179,781
160,161,114,780
161,162,61,770
162,163,110,801
163,164,68,857
164,165,7,820
165,166,121,792
166,167,82,776
167,168,37,854
168,169,183,730
169,170,60,800
170,171,154,852
171,172,239,881
172,173,146,789
173,174,72,738
174,175,245,741
175,176,224,680
176,177,192,686
177,178,288,719
178,179,155,744
179,180,151,788
180,181,-2,774
181,182,62,667
182,183,-2,737
183,184,147,744
184,185,223,839
185,186,108,828
186,187,145,798
187,188,167,743
188,189,255,833
189,190,172,813
190,191,78,662
191,192,144,816
192,193,50,752
193,194,119,709
194,195,163,618
195,196,438,670
196,197,494,667
197,198,777,658
198,199,736,449
199,200,768,511
200,201,892,430
201,202,896,423
