,frame,pred_x,pred_y
0,1,993,507
1,2,1190,582
2,3,1028,703
3,4,872,743
4,5,960,745
5,6,1172,689
6,7,1019,631
7,8,1030,701
8,9,1009,687
9,10,949,659
10,11,1037,723
11,12,1041,692
12,13,1023,712
13,14,955,712
14,15,837,631
15,16,822,659
16,17,810,644
17,18,919,683
18,19,959,700
19,20,892,699
20,21,793,696
21,22,727,673
22,23,702,637
23,24,764,673
24,25,751,674
25,26,862,658
26,27,812,633
27,28,789,654
28,29,826,655
29,30,577,638
30,31,651,678
31,32,774,667
32,33,712,700
33,34,648,685
34,35,723,722
35,36,708,708
36,37,887,661
37,38,852,707
38,39,797,711
39,40,878,677
40,41,745,711
41,42,731,726
42,43,765,728
43,44,796,702
44,45,825,681
45,46,656,592
46,47,677,589
47,48,829,623
48,49,837,687
49,50,806,575
50,51,771,546
51,52,837,533
52,53,772,595
53,54,792,635
54,55,825,665
55,56,869,642
56,57,966,590
57,58,852,633
58,59,830,531
59,60,896,623
60,61,954,455
61,62,940,464
62,63,1044,497
63,64,939,519
64,65,945,458
65,66,958,470
66,67,1064,497
67,68,1060,497
68,69,1052,523
69,70,1050,523
70,71,1022,453
71,72,1069,455
72,73,1210,368
73,74,1190,373
74,75,1181,338
75,76,1172,290
76,77,935,373
77,78,950,346
78,79,936,378
79,80,827,448
80,81,985,434
81,82,894,491
82,83,728,613
83,84,854,572
84,85,902,553
85,86,944,517
86,87,837,499
87,88,857,521
88,89,834,527
89,90,941,515
90,91,818,468
91,92,623,518
92,93,726,581
93,94,775,588
94,95,701,659
95,96,781,631
96,97,731,646
97,98,767,611
98,99,790,651
99,100,788,635
100,101,787,702
101,102,649,693
102,103,670,706
103,104,640,683
104,105,699,685
105,106,682,706
106,107,689,697
107,108,666,691
108,109,662,698
109,110,709,714
110,111,728,631
111,112,712,649
112,113,847,649
113,114,917,636
114,115,959,630
115,116,934,638
116,117,980,620
117,118,1000,603
118,119,1040,608
119,120,991,664
120,121,881,576
121,122,970,552
122,123,885,565
123,124,1056,540
124,125,1060,549
125,126,1198,562
126,127,1085,601
127,128,1118,604
128,129,1182,519
129,130,1258,494
130,131,1192,617
131,132,1239,595
132,133,1156,650
133,134,1163,638
134,135,1217,645
135,136,1162,644
136,137,1174,656
137,138,1160,659
138,139,1163,653
139,140,1161,603
140,141,1198,610
141,142,1220,609
142,143,1247,598
143,144,1075,639
144,145,1236,509
145,146,1167,535
146,147,1000,641
147,148,1026,621
148,149,880,609
149,150,882,599
150,151,775,680
151,152,829,698
152,153,814,706
153,154,920,673
154,155,778,665
155,156,714,693
156,157,1080,745
157,158,913,678
158,159,903,241
159,160,1200,615
160,161,859,736
161,162,669,727
162,163,701,728
163,164,939,793
164,165,844,753
165,166,1047,766
166,167,935,806
167,168,810,815
168,169,282,213
169,170,762,-47
170,171,442,96
171,172,645,372
172,173,629,756
173,174,746,803
174,175,715,765
175,176,868,780
176,177,769,771
177,178,905,790
178,179,825,695
179,180,835,682
180,181,726,748
181,182,591,735
182,183,600,713
183,184,455,671
184,185,565,691
185,186,729,711
186,187,731,676
187,188,792,678
188,189,839,666
189,190,751,721
190,191,674,786
191,192,620,710
192,193,804,754
193,194,893,759
194,195,824,719
195,196,867,752
196,197,725,708
197,198,749,726
198,199,647,708
199,200,629,700
200,201,800,746
201,202,849,720
202,203,768,720
203,204,996,775
204,205,850,773
205,206,787,741
206,207,854,701
207,208,800,712
208,209,858,715
209,210,896,718
210,211,777,725
211,212,755,749
212,213,948,799
213,214,921,820
214,215,631,808
215,216,868,818
216,217,747,805
