,frame,pred_x,pred_y
0,1,651,687
1,2,532,617
2,3,779,584
3,4,762,609
4,5,750,617
5,6,675,599
6,7,783,626
7,8,719,438
8,9,673,455
9,10,745,474
10,11,745,495
11,12,804,521
12,13,816,471
13,14,843,410
14,15,969,469
15,16,876,504
16,17,1051,563
17,18,1017,523
18,19,962,518
19,20,984,541
20,21,922,473
21,22,887,457
22,23,870,411
23,24,863,475
24,25,763,488
25,26,740,470
26,27,750,435
27,28,768,438
28,29,708,421
29,30,675,450
30,31,702,532
31,32,701,486
32,33,760,451
33,34,754,445
34,35,796,439
35,36,763,521
36,37,788,606
37,38,807,562
38,39,776,566
39,40,713,536
40,41,730,538
41,42,650,517
42,43,655,533
43,44,697,500
44,45,805,576
45,46,831,531
46,47,710,507
47,48,740,498
48,49,761,539
49,50,771,595
50,51,787,524
51,52,770,547
52,53,796,466
53,54,807,517
54,55,772,547
55,56,802,417
56,57,770,404
57,58,795,506
58,59,824,432
59,60,787,477
60,61,611,408
61,62,513,490
62,63,522,373
63,64,530,435
64,65,441,389
65,66,450,437
66,67,468,473
67,68,433,505
68,69,431,429
69,70,556,512
70,71,504,545
71,72,520,537
72,73,474,502
73,74,464,513
74,75,378,535
75,76,388,525
76,77,496,550
77,78,512,565
78,79,466,538
79,80,506,519
80,81,408,506
81,82,403,457
82,83,573,503
83,84,449,455
84,85,487,475
85,86,491,509
86,87,523,475
87,88,487,475
88,89,504,482
89,90,492,492
90,91,500,472
91,92,440,494
92,93,517,424
93,94,504,508
94,95,511,527
95,96,519,526
96,97,542,609
97,98,563,630
98,99,624,595
99,100,674,614
100,101,596,606
101,102,625,612
102,103,617,557
103,104,723,533
104,105,622,562
105,106,544,518
106,107,702,530
107,108,695,618
108,109,646,611
109,110,607,561
110,111,318,194
111,112,188,257
112,113,226,234
113,114,235,158
114,115,236,222
115,116,115,123
116,117,151,157
117,118,30,78
118,119,41,141
119,120,51,118
120,121,67,195
121,122,87,198
122,123,50,190
123,124,34,164
124,125,31,183
125,126,-49,152
126,127,-69,80
127,128,-118,64
128,129,-37,149
129,130,-99,136
130,131,-128,122
131,132,-62,166
132,133,-118,121
133,134,-44,131
134,135,-174,114
135,136,-198,20
136,137,-151,-77
137,138,-112,90
138,139,-109,35
139,140,-125,-40
140,141,-86,32
141,142,1,140
142,143,-125,53
143,144,-38,90
144,145,121,136
