,model,subject,std
0,MPII,s25,256.3031045570459
1,MPII,s81,187.35572453787216
2,MPII,s61,76.97808992907717
3,MPII,s87,109.8453826454941
4,MPII,s86,133.81596034969274
5,MPII,s58,207.69491840966376
6,MPII,s3,148.58654790550153
7,MPII,s53,75.47247167513062
8,MPII,s66,158.9394793648992
9,MPII,s73,193.1477662832243
10,MPII,s75,137.79051587808246
11,MPII,s71,105.53602749029685
12,MPII,s2,245.06089340756492
13,MPII,s46,165.83241323568697
14,MPII,s23,205.52258265877617
15,MPII,s59,165.89681957890855
16,MPII,s39,102.69978252579376
17,MPII,s63,141.8692873215861
18,MPII,s9,246.48249807441948
19,MPII,s19,253.78387980508052
20,MPII,s114,166.7617905037341
21,MPII,s5,121.08070920698508
22,MPII,s113,178.07496103541544
23,MPII,s98,135.3899398553907
24,MPII,s104,148.55151345707463
25,MPII,s77,163.75877915198416
26,MPII,s34,216.16454688664857
27,MPII,s111,167.42708548658987
28,MPII,s78,195.9470269742428
29,MPII,s40,201.69019846199396
30,MPII,s79,211.75132849165956
31,MPII,s55,210.2001536639611
32,MPII,s1,112.7963938725618
33,MPII,s21,192.69543344030288
34,MPII,s41,180.5550862696608
35,MPII,s68,119.08710374150957
36,MPII,s90,236.9991056862163
37,MPII,s30,153.14937376665824
38,MPII,s64,167.903103240745
39,MPII,s28,155.4420220812567
40,MPII,s110,115.48228044242408
41,MPII,s20,114.2979984671538
42,MPII,s85,209.885390278299
43,MPII,s8,177.33426465229974
44,MPII,s27,167.65343646323953
45,MPII,s60,92.241733124204
46,MPII,s18,192.2087339456079
47,MPII,s80,116.29973446211632
48,MPII,s93,157.1047140725148
49,MPII,s43,163.40886601127886
50,MPII,s56,101.20787588200996
51,MPII,s82,241.5370113726861
52,MPII,s31,125.2904030003023
53,MPII,s52,192.5382506879908
54,MPII,s17,131.02833136588228
55,MPII,s92,128.56390934021994
56,MPII,s4,138.1115701275453
57,MPII,s6,204.96412559670785
58,MPII,s117,211.12294943380712
59,MPII,s49,128.73995504686548
60,MPII,s115,119.99647014729544
61,MPII,s103,95.25271309556132
62,MPII,s102,177.4170797152504
63,MPII,s32,156.39511983288324
64,MPII,s44,102.38783633144544
65,ETH,s25,276.7893690142877
66,ETH,s81,200.72146633727496
67,ETH,s61,74.8079558794141
68,ETH,s87,91.6886815960398
69,ETH,s86,139.79221191544073
70,ETH,s58,167.09469300991094
71,ETH,s3,128.7726130543787
72,ETH,s53,59.24546825820066
73,ETH,s66,166.25601676378514
74,ETH,s73,152.7840114195157
75,ETH,s75,105.83928269050004
76,ETH,s71,82.60870116303118
77,ETH,s2,154.2190624055258
78,ETH,s46,92.31414292480362
79,ETH,s23,173.7150970131391
80,ETH,s59,168.16916375327787
81,ETH,s39,86.40402871752529
82,ETH,s63,81.98168385786053
83,ETH,s9,242.0458619350783
84,ETH,s19,205.8630179416495
85,ETH,s114,117.0148605764322
86,ETH,s5,81.64020966437604
87,ETH,s113,163.46626627043952
88,ETH,s98,107.8061538046568
89,ETH,s104,155.74738375601964
90,ETH,s77,151.5787067014247
91,ETH,s34,151.63854560019294
92,ETH,s111,114.855562937744
93,ETH,s78,127.90320267643028
94,ETH,s40,171.38652177338344
95,ETH,s79,186.098471364098
96,ETH,s55,203.5963226637348
97,ETH,s1,93.16522752603298
98,ETH,s21,144.00618137143024
99,ETH,s41,117.41624941458733
100,ETH,s68,67.66642765590574
101,ETH,s90,266.8979962693701
102,ETH,s30,123.66570700036728
103,ETH,s64,54.11440592242103
104,ETH,s28,118.62032349944596
105,ETH,s110,94.64101691922096
106,ETH,s20,80.36998823597698
107,ETH,s85,135.57847174825957
108,ETH,s8,102.26577965772528
109,ETH,s27,141.0171556025224
110,ETH,s60,87.00363475702872
111,ETH,s18,160.9104163746755
112,ETH,s80,117.98674780252028
113,ETH,s93,119.86864913597348
114,ETH,s43,147.2258313017881
115,ETH,s56,77.77191050286966
116,ETH,s82,187.0256002544542
117,ETH,s31,73.64130665376695
118,ETH,s52,222.9830072824014
119,ETH,s17,77.54025014522627
120,ETH,s92,76.5726356483724
121,ETH,s4,106.57135373317692
122,ETH,s6,130.09396481540503
123,ETH,s117,216.70855719563895
124,ETH,s49,124.7648596815347
125,ETH,s115,109.5617959864634
126,ETH,s103,67.75403670440991
127,ETH,s102,96.29877833964852
128,ETH,s32,138.66445627865613
129,ETH,s44,77.44058313164048
130,FAZE,s25,172.16980196071293
131,FAZE,s81,95.739529819426
132,FAZE,s61,57.12807210086216
133,FAZE,s87,80.51818765395805
134,FAZE,s86,80.82576783055009
135,FAZE,s58,151.161244916171
136,FAZE,s3,121.40710912895727
137,FAZE,s53,42.24672379313998
138,FAZE,s66,86.10756157110728
139,FAZE,s73,172.92763893823675
140,FAZE,s75,83.37961253646151
141,FAZE,s71,50.20931751134526
142,FAZE,s2,109.05085766512975
143,FAZE,s46,59.86773087563974
144,FAZE,s23,126.84457701887337
145,FAZE,s59,137.65557396651482
146,FAZE,s39,40.85284980265198
147,FAZE,s63,50.66280362976086
148,FAZE,s9,184.86964759740096
149,FAZE,s19,93.55674146462532
150,FAZE,s114,78.60314458015236
151,FAZE,s5,49.15401361237559
152,FAZE,s113,146.3524379792389
153,FAZE,s98,65.44010678643308
154,FAZE,s104,105.0576503915067
155,FAZE,s77,111.92512047119708
156,FAZE,s34,77.05060029935676
157,FAZE,s111,77.99496862767754
158,FAZE,s78,148.19211380967008
159,FAZE,s40,104.69184847537277
160,FAZE,s79,133.50856230705648
161,FAZE,s55,144.66685188782748
162,FAZE,s1,39.079871897302425
163,FAZE,s21,87.72712728085503
164,FAZE,s41,88.2794251340631
165,FAZE,s68,53.94853818346203
166,FAZE,s90,185.7343094196085
167,FAZE,s30,78.28567832059511
168,FAZE,s64,150.2885771770642
169,FAZE,s28,72.64494456339447
170,FAZE,s110,49.34975375228953
171,FAZE,s20,49.96024697336965
172,FAZE,s85,112.1874025499358
173,FAZE,s8,54.39998498939592
174,FAZE,s27,99.61178000221724
175,FAZE,s60,48.13240617819893
176,FAZE,s18,112.10127988223284
177,FAZE,s80,63.28668365779902
178,FAZE,s93,70.18842953765773
179,FAZE,s43,83.10592815353664
180,FAZE,s56,43.563346219754855
181,FAZE,s82,97.87516355514778
182,FAZE,s31,39.25106702776444
183,FAZE,s52,134.55989560633824
184,FAZE,s17,62.5151728956428
185,FAZE,s92,45.504551132814704
186,FAZE,s4,48.63446420241903
187,FAZE,s6,93.39724754347726
188,FAZE,s117,107.391969522971
189,FAZE,s49,69.22813747351248
190,FAZE,s115,65.53822786282032
191,FAZE,s103,43.52366582307438
192,FAZE,s102,78.86704901033525
193,FAZE,s32,90.71332404900332
194,FAZE,s44,58.29987885945428
