,model,subject,avg_AUC
0,MPII,s25,0.5228454596601874
1,MPII,s81,0.5781045788407183
2,MPII,s61,0.4798744059252787
3,MPII,s87,0.6967439517753334
4,MPII,s86,0.5485492807899973
5,MPII,s58,0.5782227230457917
6,MPII,s3,0.5712759626507218
7,MPII,s53,0.5216293848221639
8,MPII,s66,0.6198961306787586
9,MPII,s73,0.46097188748312345
10,MPII,s75,0.5232474590747145
11,MPII,s71,0.754472485589403
12,MPII,s2,0.4234185635006521
13,MPII,s46,0.4901135609945168
14,MPII,s23,0.5339833959981285
15,MPII,s59,0.6423537535230741
16,MPII,s39,0.6755625088798912
17,MPII,s63,0.6694007158546504
18,MPII,s9,0.5472559860198936
19,MPII,s19,0.4512009508714994
20,MPII,s114,0.4919794610651428
21,MPII,s5,0.6234915484096655
22,MPII,s113,0.48112825910187795
23,MPII,s98,0.6064236534986093
24,MPII,s104,0.5248801626026919
25,MPII,s77,0.6895984138062312
26,MPII,s34,0.5831197279574858
27,MPII,s111,0.5651078868787126
28,MPII,s78,0.7203848315104687
29,MPII,s40,0.5636499765252952
30,MPII,s79,0.49966499655215724
31,MPII,s55,0.41169777442215777
32,MPII,s1,0.6682897820943551
33,MPII,s21,0.49305942574406864
34,MPII,s41,0.4778800112685471
35,MPII,s68,0.5379009835835283
36,MPII,s90,0.4672765033799625
37,MPII,s30,0.5801663668881086
38,MPII,s64,0.559829154404698
39,MPII,s28,0.5913377656809772
40,MPII,s110,0.6264377066672511
41,MPII,s20,0.6173294260145905
42,MPII,s85,0.45212579450636686
43,MPII,s8,0.4086983722307425
44,MPII,s27,0.6828465205314295
45,MPII,s60,0.5320212043279036
46,MPII,s18,0.48010631291932526
47,MPII,s80,0.5168426294769211
48,MPII,s93,0.5750006581637974
49,MPII,s43,0.6436113472187823
50,MPII,s56,0.49282756121219107
51,MPII,s82,0.4505415125802298
52,MPII,s31,0.41662853800111405
53,MPII,s52,0.5288739012013581
54,MPII,s17,0.5226525277869345
55,MPII,s92,0.5600566163798614
56,MPII,s4,0.5945205384349157
57,MPII,s6,0.5100811185168204
58,MPII,s117,0.554156525073989
59,MPII,s49,0.6154572248730623
60,MPII,s115,0.52617798479742
