,model,subject,n_entropy
0,MPII,s25,0.4471250448624773
1,MPII,s81,0.40551247724183737
2,MPII,s61,0.35387211114389433
3,MPII,s87,0.337939783356777
4,MPII,s86,0.4138112679912119
5,MPII,s58,0.4584698447944199
6,MPII,s3,0.36570009070070775
7,MPII,s53,0.32406006897072814
8,MPII,s66,0.39623003427020215
9,MPII,s73,0.4328046993126836
10,MPII,s75,0.420768228594043
11,MPII,s71,0.2383820985918632
12,MPII,s2,0.4513969825991031
13,MPII,s46,0.41219266026810014
14,MPII,s23,0.40751734132233547
15,MPII,s59,0.38578269157209133
16,MPII,s39,0.3710043116293681
17,MPII,s63,0.416392042134928
18,MPII,s9,0.40685239516304456
19,MPII,s19,0.47212086312431945
20,MPII,s114,0.40807263453623266
21,MPII,s5,0.40169186423063197
22,MPII,s113,0.45558410672381966
23,MPII,s98,0.40129840080574547
24,MPII,s104,0.3404339453881184
25,MPII,s77,0.25253298751864717
26,MPII,s34,0.46266700266437183
27,MPII,s111,0.43893492139685786
28,MPII,s78,0.22361030855759417
29,MPII,s40,0.44951510465983524
30,MPII,s79,0.46738255983283955
31,MPII,s55,0.43344103068273854
32,MPII,s1,0.3892455584930208
33,MPII,s21,0.4736809005229369
34,MPII,s41,0.4649542414438256
35,MPII,s68,0.3513213680036308
36,MPII,s90,0.46002374382272926
37,MPII,s30,0.3781081177564445
38,MPII,s64,0.3970414889419511
39,MPII,s28,0.40512273611153965
40,MPII,s110,0.38627117182158754
41,MPII,s20,0.36986636547051444
42,MPII,s85,0.44725739935515707
43,MPII,s8,0.4518650613907501
44,MPII,s27,0.37888995847522444
45,MPII,s60,0.3724010010555641
46,MPII,s18,0.40710632942974534
47,MPII,s80,0.4315613111101478
48,MPII,s93,0.41610878726688216
49,MPII,s43,0.322969976129742
50,MPII,s56,0.38648925229865155
51,MPII,s82,0.42588389294600953
52,MPII,s31,0.4377274590372694
53,MPII,s52,0.40638775069154703
54,MPII,s17,0.41046367325042427
55,MPII,s92,0.4477094919050961
56,MPII,s4,0.36542408310976665
57,MPII,s6,0.46146846692921384
58,MPII,s117,0.39099370075101925
59,MPII,s49,0.39145625664626255
60,MPII,s115,0.42258874420053094
61,MPII,s103,0.3157686365813622
62,MPII,s102,0.4506984968102869
63,MPII,s32,0.4031255283690184
64,MPII,s44,0.3566414704469807
65,ETH,s25,0.35690411576568054
66,ETH,s81,0.44010919864919434
67,ETH,s61,0.3484455388688502
68,ETH,s87,0.3736770221425786
69,ETH,s86,0.41949461705301383
70,ETH,s58,0.441047405899066
