,Model,Subject,Durations
0,MPII,s25,525.875
1,MPII,s81,530.475
2,MPII,s61,561.6833333333333
3,MPII,s87,557.0916666666667
4,MPII,s86,528.3666666666667
5,MPII,s58,543.725
6,MPII,s3,538.3916666666667
7,MPII,s53,580.5166666666667
8,MPII,s66,554.675
9,MPII,s73,532.8166666666667
10,MPII,s75,519.8833333333333
11,MPII,s71,547.0583333333333
12,MPII,s2,388.75
13,MPII,s46,529.625
14,MPII,s23,576.3083333333333
15,MPII,s59,499.94166666666666
16,MPII,s39,563.1166666666667
17,MPII,s63,525.225
18,MPII,s9,493.93277310924367
19,MPII,s19,490.1166666666667
20,MPII,s114,561.0166666666667
21,MPII,s5,539.2833333333333
22,MPII,s113,562.8166666666667
23,MPII,s98,501.98333333333335
24,MPII,s104,491.01666666666665
25,MPII,s77,473.6666666666667
26,MPII,s34,477.15
27,MPII,s111,515.6166666666667
28,MPII,s78,531.8333333333334
29,MPII,s40,554.2833333333333
30,MPII,s79,464.85
31,MPII,s55,535.5083333333333
32,MPII,s1,555.0333333333333
33,MPII,s21,524.1166666666667
34,MPII,s41,522.7666666666667
35,MPII,s68,539.575
36,MPII,s90,551.7666666666667
37,MPII,s30,537.075
38,MPII,s64,563.0084745762712
39,MPII,s28,457.225
40,MPII,s110,596.2666666666667
41,MPII,s20,587.8916666666667
42,MPII,s85,491.4583333333333
43,MPII,s8,568.875
44,MPII,s27,543.1166666666667
45,MPII,s60,571.2916666666666
46,MPII,s18,525.7833333333333
47,MPII,s80,531.9
48,MPII,s93,583.5666666666667
49,MPII,s43,598.4
50,MPII,s56,506.0833333333333
51,MPII,s82,550.35
52,MPII,s31,529.825
53,MPII,s52,597.5416666666666
54,MPII,s17,575.8833333333333
55,MPII,s92,546.6416666666667
56,MPII,s4,585.85
57,MPII,s6,503.05833333333334
58,MPII,s117,588.9333333333333
59,MPII,s49,525.2083333333334
60,MPII,s115,572.9083333333333
61,MPII,s103,563.8166666666667
62,MPII,s102,568.5333333333333
63,MPII,s32,561.0
64,MPII,s44,528.4333333333333
0,ETH,s25,648.8416666666667
1,ETH,s81,542.0
2,ETH,s61,559.8083333333333
3,ETH,s87,619.8166666666667
4,ETH,s86,510.65
5,ETH,s58,499.94166666666666
6,ETH,s3,577.025
7,ETH,s53,624.7416666666667
8,ETH,s66,569.2083333333334
9,ETH,s73,564.6083333333333
10,ETH,s75,609.3916666666667
11,ETH,s71,588.5833333333334
12,ETH,s2,436.6
13,ETH,s46,515.7
14,ETH,s23,593.4833333333333
15,ETH,s59,492.01666666666665
16,ETH,s39,602.9083333333333
17,ETH,s63,558.5083333333333
18,ETH,s9,477.0840336134454
19,ETH,s19,599.5333333333333
20,ETH,s114,571.85
21,ETH,s5,599.4916666666667
22,ETH,s113,565.825
23,ETH,s98,595.725
24,ETH,s104,583.1083333333333
25,ETH,s77,576.8083333333333
26,ETH,s34,599.675
27,ETH,s111,574.3916666666667
28,ETH,s78,589.3166666666667
29,ETH,s40,573.9916666666667
30,ETH,s79,495.3833333333333
31,ETH,s55,572.1416666666667
32,ETH,s1,533.5916666666667
33,ETH,s21,524.15
34,ETH,s41,544.0083333333333
35,ETH,s68,599.9333333333333
36,ETH,s90,580.725
37,ETH,s30,504.3666666666667
38,ETH,s64,574.6833333333333
39,ETH,s28,551.9333333333333
40,ETH,s110,581.0333333333333
41,ETH,s20,606.4416666666667
42,ETH,s85,476.6666666666667
43,ETH,s8,580.2083333333334
44,ETH,s27,535.0416666666666
45,ETH,s60,599.1916666666667
46,ETH,s18,591.7416666666667
47,ETH,s80,524.6333333333333
48,ETH,s93,585.825
49,ETH,s43,631.8
50,ETH,s56,533.5583333333333
51,ETH,s82,612.0083333333333
52,ETH,s31,573.4916666666667
53,ETH,s52,628.2583333333333
54,ETH,s17,596.5083333333333
55,ETH,s92,601.4083333333333
56,ETH,s4,630.0583333333333
57,ETH,s6,581.2333333333333
58,ETH,s117,619.0333333333333
59,ETH,s49,511.125
60,ETH,s115,596.8
61,ETH,s103,546.9
62,ETH,s102,563.4
63,ETH,s32,597.7666666666667
64,ETH,s44,556.15
0,FAZE,s25,631.4583333333334
1,FAZE,s81,555.7916666666666
2,FAZE,s61,605.1083333333333
3,FAZE,s87,591.55
4,FAZE,s86,584.35
5,FAZE,s58,569.6
6,FAZE,s3,587.6833333333333
7,FAZE,s53,605.225
8,FAZE,s66,568.5916666666667
9,FAZE,s73,574.1
10,FAZE,s75,602.9666666666667
11,FAZE,s71,581.0833333333334
12,FAZE,s2,564.125
13,FAZE,s46,558.7666666666667
14,FAZE,s23,576.7916666666666
15,FAZE,s59,609.0666666666667
16,FAZE,s39,649.5416666666666
17,FAZE,s63,593.3
18,FAZE,s9,585.775
19,FAZE,s19,562.1166666666667
20,FAZE,s114,612.3
21,FAZE,s5,624.9
22,FAZE,s113,550.625
23,FAZE,s98,590.0916666666667
24,FAZE,s104,603.2083333333334
25,FAZE,s77,659.575
26,FAZE,s34,587.375
27,FAZE,s111,559.45
28,FAZE,s78,503.475
29,FAZE,s40,563.1583333333333
30,FAZE,s79,555.15
31,FAZE,s55,569.3833333333333
32,FAZE,s1,634.1416666666667
33,FAZE,s21,564.275
34,FAZE,s41,600.025
35,FAZE,s68,569.225
36,FAZE,s90,568.4833333333333
37,FAZE,s30,552.3666666666667
38,FAZE,s64,583.0338983050848
39,FAZE,s28,533.1166666666667
