,Model,Subject,Onsets
0,MPII,s25,254.55833333333334
1,MPII,s81,202.2
2,MPII,s61,262.51666666666665
3,MPII,s87,325.2416666666667
4,MPII,s86,214.20833333333334
5,MPII,s58,215.04166666666666
6,MPII,s3,278.775
7,MPII,s53,346.40833333333336
8,MPII,s66,362.35
9,MPII,s73,315.3833333333333
10,MPII,s75,289.31666666666666
11,MPII,s71,341.55833333333334
12,MPII,s2,275.775
13,MPII,s46,361.3333333333333
14,MPII,s23,296.43333333333334
15,MPII,s59,223.19166666666666
16,MPII,s39,290.475
17,MPII,s63,354.925
18,MPII,s9,136.1764705882353
19,MPII,s19,189.33333333333334
20,MPII,s114,219.39166666666668
21,MPII,s5,230.31666666666666
22,MPII,s113,237.15833333333333
23,MPII,s98,263.9916666666667
24,MPII,s104,263.4916666666667
25,MPII,s77,211.04166666666666
26,MPII,s34,211.81666666666666
27,MPII,s111,247.25
28,MPII,s78,214.53333333333333
29,MPII,s40,212.76666666666668
30,MPII,s79,265.85
31,MPII,s55,167.00833333333333
32,MPII,s1,296.95
33,MPII,s21,263.65833333333336
34,MPII,s41,211.08333333333334
35,MPII,s68,226.49166666666667
36,MPII,s90,270.325
37,MPII,s30,225.94166666666666
38,MPII,s64,285.90677966101697
39,MPII,s28,339.43333333333334
40,MPII,s110,303.5416666666667
41,MPII,s20,262.90833333333336
42,MPII,s85,206.23333333333332
43,MPII,s8,287.275
44,MPII,s27,210.61666666666667
45,MPII,s60,321.975
46,MPII,s18,339.575
47,MPII,s80,355.44166666666666
48,MPII,s93,201.15833333333333
49,MPII,s43,307.075
50,MPII,s56,347.15
51,MPII,s82,205.625
52,MPII,s31,265.68333333333334
53,MPII,s52,227.44166666666666
54,MPII,s17,208.75
55,MPII,s92,325.03333333333336
56,MPII,s4,254.83333333333334
57,MPII,s6,239.375
58,MPII,s117,122.88333333333334
59,MPII,s49,315.89166666666665
60,MPII,s115,251.56666666666666
61,MPII,s103,320.80833333333334
62,MPII,s102,301.6166666666667
63,MPII,s32,271.2
64,MPII,s44,397.225
0,ETH,s25,167.50833333333333
1,ETH,s81,238.69166666666666
2,ETH,s61,261.90833333333336
3,ETH,s87,317.5083333333333
4,ETH,s86,251.86666666666667
5,ETH,s58,283.6666666666667
6,ETH,s3,265.73333333333335
7,ETH,s53,355.64166666666665
8,ETH,s66,381.1666666666667
9,ETH,s73,350.575
10,ETH,s75,246.81666666666666
11,ETH,s71,353.575
12,ETH,s2,308.1
13,ETH,s46,425.98333333333335
14,ETH,s23,278.78333333333336
15,ETH,s59,170.91666666666666
16,ETH,s39,316.51666666666665
17,ETH,s63,332.3333333333333
18,ETH,s9,213.8655462184874
19,ETH,s19,223.09166666666667
20,ETH,s114,277.2083333333333
21,ETH,s5,320.10833333333335
22,ETH,s113,213.475
23,ETH,s98,298.35833333333335
