,model,subject,recall,MCC
0,MPII,s25,0.5625,0.549604309258181
1,MPII,s81,0.25,0.21380899352993948
2,MPII,s61,1.0,1.0
3,MPII,s87,0.9375,0.9372466978064098
4,MPII,s86,0.3125,0.28507865803991933
5,MPII,s58,0.3125,0.2878331051844618
6,MPII,s3,0.5625,0.5448041796855991
7,MPII,s53,1.0,1.0
8,MPII,s66,0.875,0.8739804390886586
9,MPII,s73,0.6875,0.6810052246069989
10,MPII,s75,0.25,0.21380899352993948
11,MPII,s71,0.6875,0.6839855680567695
12,MPII,s2,0.125,0.07492686492653552
13,MPII,s46,0.3125,0.2906689678051038
14,MPII,s23,0.5,0.49190985824841454
15,MPII,s59,0.125,0.09507653770830567
16,MPII,s39,1.0,1.0
17,MPII,s63,0.6875,0.6780635036208105
18,MPII,s9,0.0625,0.0
19,MPII,s19,0.3125,0.2772667972853527
20,MPII,s114,0.4375,0.40860313476419935
21,MPII,s5,0.875,0.8739804390886586
22,MPII,s113,0.4375,0.41039134083406165
23,MPII,s98,0.5,0.4787898976397386
24,MPII,s104,0.5,0.48304589153964794
25,MPII,s77,0.25,0.22360679774997896
26,MPII,s34,0.4375,0.41590019592802907
27,MPII,s111,0.5625,0.5520524474738834
28,MPII,s78,0.1875,0.15936381457791915
29,MPII,s40,0.25,0.2127980706395726
30,MPII,s79,0.3125,0.28373076085276344
31,MPII,s55,0.3125,0.2864459496157732
32,MPII,s1,0.75,0.7458698539828915
33,MPII,s21,0.625,0.612904702146299
34,MPII,s41,0.1875,0.14253932901995967
35,MPII,s68,0.3125,0.28240180384728314
36,MPII,s90,0.375,0.3497487083913345
37,MPII,s30,0.5,0.48304589153964794
38,MPII,s64,0.625,0.6238502938920436
39,MPII,s28,0.4375,0.41220323194363573
40,MPII,s110,0.9375,0.9372466978064098
41,MPII,s20,1.0,1.0
42,MPII,s85,0.125,0.07302967433402215
43,MPII,s8,0.375,0.3450327796711771
44,MPII,s27,0.375,0.34199278402838473
45,MPII,s60,0.8125,0.8101914936669333
46,MPII,s18,0.625,0.6102571532587294
47,MPII,s80,1.0,1.0
48,MPII,s93,0.5625,0.5424508028966484
49,MPII,s43,0.375,0.3450327796711771
50,MPII,s56,0.75,0.7426755358613555
51,MPII,s82,0.25,0.21587482888834633
52,MPII,s31,0.125,0.07302967433402215
53,MPII,s52,0.8125,0.8101914936669333
54,MPII,s17,0.5625,0.5545335945707054
55,MPII,s92,0.5,0.4809037706009084
56,MPII,s4,0.4375,0.41590019592802907
